rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R3;r3=R4;r4=R2;r5=R10;c1=int:1","benchmark_awfy_bounce_noopt",426
92,10000,1,1,8,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | MKREF_REG_REG(r4,r5) | LOAD_REG_INT(r6,c1) | SETTP_REG_INT(r4,c2)","r1=R7;r2=R0;r3=R4;r4=R9;r5=R2;r6=R8;c1=int:1;c2=int:768","benchmark_awfy_bounce_noopt",784
93,10000,1,1,8,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | MKREF_REG_REG(r4,r5) | LOAD_REG_INT(r6,c2)","r1=R0;r2=R4;c1=int:0;r3=R7;r4=R9;r5=R2;r6=R8;c2=int:1","benchmark_awfy_bounce_noopt",780
94,10000,1,1,7,over_3_symbols,"MKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | CALL_REG_FUNC_REG(r4,c3,r3)","r1=R9;r2=R2;r3=R8;c1=int:1;c2=int:768;r4=R10;c3=func@12176","benchmark_awfy_bounce_noopt",788
95,10000,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)","c1=int:1;r1=R0;r2=R9","benchmark_awfy_bounce_noopt",268
96,10000,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | UNLINK_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_bounce_noopt",266
97,10000,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","c1=int:1;r1=R0;r2=R9;r3=R5","benchmark_awfy_bounce_noopt",270
98,10000,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | IMOD_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | ICOPY_REG_REG(r4,r2)","r1=R0;r2=R6;r3=R4;c1=int:500;r4=R7;r5=R2;c2=int:3","benchmark_awfy_bounce_noopt",319
99,10000,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | IMOD_REG_REG_INT(r3,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | ICOPY_REG_REG(r4,r3)","r1=R0;r2=R6;r3=R7;c1=int:500;r4=R4;r5=R2;c2=int:1","benchmark_awfy_bounce_noopt",290
100,5000,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | GETATTRS_REG_REG_INT(r3,r4,c3) | IGT_REG_REG_REG(r5,r2,r3)","c1=label@899;r1=R8;r2=R5;c2=int:1;r3=R11;r4=R0;c3=int:0;r5=R12","benchmark_awfy_bounce_noopt",825
101,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | INC_REG(r4)","r1=R7;r2=R6;r3=R5;r4=R10","benchmark_awfy_bounce_noopt",889
102,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INC_REG(r3) | BR_ID(c1)","r1=R6;r2=R5;r3=R10;c1=label@821","benchmark_awfy_bounce_noopt",891
103,5000,1,1,6,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3) | MINATTRS_REG_REG_INT(r2,r4,c1)","r1=R11;r2=R0;c1=int:0;r3=R12;r4=R5;c2=label@887","benchmark_awfy_bounce_noopt",831
104,5000,1,1,9,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | GETATTRS_REG_REG_INT(r5,r6,c3)","r1=R8;r2=R10;r3=R9;c1=label@899;r4=R5;c2=int:1;r5=R11;r6=R0;c3=int:0","benchmark_awfy_bounce_noopt",821
105,5000,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2) | BRT_ID_REG(c3,r4)","r1=R5;c1=int:1;r2=R11;r3=R0;c2=int:0;r4=R12;c3=label@887","benchmark_awfy_bounce_noopt",828
106,5000,1,1,3,candidate,"UNLINK_REG(r1) | ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3)","r1=R7;r2=R6;r3=R5","benchmark_awfy_bounce_noopt",887
107,200,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R4;c1=int:1;r2=R5;c2=int:100;r3=R6;c3=label@810","benchmark_awfy_bounce_noopt",767
108,100,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R4;r2=R1;c1=int:0;r3=R10;c2=int:1;r4=R9;c3=int:50","benchmark_awfy_bounce_noopt",810
109,100,1,1,8,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | CALL_REG_FUNC_REG(r5,c3,r4)","r1=R4;r2=R5;r3=R1;c1=label@137;r4=R3;c2=int:0;r5=R6;c3=func@5456","benchmark_awfy_bounce_noopt",78
110,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R9;c1=int:50;r2=R8;r3=R10;c2=label@899;r4=R5;c3=int:1","benchmark_awfy_bounce_noopt",818
111,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | MINATTRS_REG_REG_INT(r4,r3,c3)","r1=R5;c1=int:100;r2=R6;r3=R4;c2=label@810;r4=R0;c3=int:0","benchmark_awfy_bounce_noopt",770
112,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | IGT_REG_REG_REG(r4,r2,r3)","r1=R1;c1=int:0;r2=R10;c2=int:1;r3=R9;c3=int:50;r4=R8","benchmark_awfy_bounce_noopt",812
113,100,1,1,4,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c1)","r1=R0;c1=int:0;c2=string@1128;c3=int:18","benchmark_awfy_bounce_noopt",728
114,100,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | LOAD_REG_INT(r2,c2)","c1=int:1;r1=R0;r2=R4;c2=int:0","benchmark_awfy_bounce_noopt",754
115,100,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_bounce_noopt",752
116,100,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | RET_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_bounce_noopt",738
117,100,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r1)","c1=int:1;r1=R2;c2=int:74755;r2=R1;r3=R0","benchmark_awfy_bounce_noopt",195
118,100,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | LOAD_REG_INT(r2,c2) | CALL_REG_FUNC_REG(r3,c3,r2)","c1=int:1;r1=R0;r2=R4;c2=int:0;r3=R2;c3=func@9768","benchmark_awfy_bounce_noopt",756
119,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_bounce_noopt",33
120,1,1,1,4,over_3_symbols,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@8272;c2=int:0","benchmark_awfy_bounce_noopt",153
121,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r1,r1,r3)","r1=R10;c1=string@7680;r2=R1;c2=string@7840;r3=R2","benchmark_awfy_bounce_noopt",143
122,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R6;r2=R5;r3=R1;r4=R10;c1=string@7680","benchmark_awfy_bounce_noopt",137
123,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R10;c1=string@7680;c2=string@7840","benchmark_awfy_bounce_noopt",139
124,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_bounce_noopt",25
125,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@72","benchmark_awfy_bounce_noopt",45
126,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_bounce_noopt",29
127,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@8272","benchmark_awfy_bounce_noopt",151
128,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@7680;c2=string@7840;r3=R2","benchmark_awfy_bounce_noopt",141
129,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_bounce_noopt",39
130,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_bounce_noopt",22
131,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R5;c1=int:1;r2=R4;r3=R1;c2=label@137;r4=R3;c3=int:0","benchmark_awfy_bounce_noopt",75
132,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R5;c2=int:1;r3=R4;r4=R1;c3=label@137","benchmark_awfy_bounce_noopt",72
133,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_bounce_noopt",36
134,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1)","r1=R10;c1=string@7840;r2=R2","benchmark_awfy_bounce_noopt",147
135,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_bounce_noopt",6
136,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_bounce_noopt",4
137,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_bounce_noopt",8
138,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_bounce_noopt",43
