rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,172394,2,1,9,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r1,c1,c2,r6,r3,c3)","r1=R4;r2=R67;r3=R3;r4=R68;r5=R6;c1=int:23;c2=int:6;r6=R5;c3=int:1","benchmark_awfy_richards_opt",3014
94,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r7,r8,c3)","r1=R7;r2=R28;r3=R9;r4=R3;r5=R15;r6=R13;c1=int:20;c2=int:6;r7=R14;r8=R10;c3=int:1","benchmark_awfy_richards_opt",2869
95,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4)","r1=R9;r2=R3;r3=R15;r4=R13;c1=int:20;c2=int:6;r5=R14;r6=R10;c3=int:1;r7=R17;c4=int:0","benchmark_awfy_richards_opt",2872
96,23246,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R3;r2=R14;r3=R13;r4=R1;r5=R10;r6=R5","benchmark_awfy_richards_opt",2860
97,23246,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5)","r1=R10;r2=R7;r3=R9;r4=R1;r5=R27","benchmark_awfy_richards_opt",2847
98,23246,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1)","r1=R7;r2=R10;c1=int:0;r3=R9;r4=R27;c2=int:15;r5=R28","benchmark_awfy_richards_opt",2829
99,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2)","r1=R10;r2=R9;r3=R28;c1=int:0;r4=R7;r5=R27;c2=int:15","benchmark_awfy_richards_opt",2824
100,23246,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c3)","c1=int:18;c2=int:1;r1=R0;r2=R27;r3=R10;c3=int:15","benchmark_awfy_richards_opt",2740
101,23246,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r4,c1)","r1=R10;r2=R9;r3=R1;r4=R27;r5=R14;c1=int:2","benchmark_awfy_richards_opt",2850
102,23246,1,1,5,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R10;r2=R8;r3=R0;r4=R7;r5=R2","benchmark_awfy_richards_opt",2759
103,23246,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R9;r2=R27;c1=int:18;r3=R7;c2=int:17","benchmark_awfy_richards_opt",2814
104,20929,9,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2)","r1=R17;r2=R4;r3=R13;c1=int:0;r4=R12;r5=R11;c2=int:9","benchmark_awfy_richards_opt",632
105,20310,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1)","r1=R34;r2=R53;r3=R52;c1=int:4","benchmark_awfy_richards_opt",3937
106,20310,1,1,5,candidate,"UNLINK_REG(r1) | IGTE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R52;r2=R53;r3=R34;c1=int:4;c2=label@3990","benchmark_awfy_richards_opt",3940
107,20118,3,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R9;c1=int:18;c2=int:1;r2=R5;c3=int:9","benchmark_awfy_richards_opt",1914
108,20114,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R5;c1=int:0;r3=R6;r4=R11;c2=label@2126","benchmark_awfy_richards_opt",2112
109,20114,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4)","r1=R19;r2=R13;c1=int:20;c2=int:6;r3=R21;r4=R10;c3=int:1;r5=R15;r6=R18;c4=int:256","benchmark_awfy_richards_opt",2960
110,20114,3,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r5,c5,r2,r6,r3)","r1=R15;r2=R13;c1=int:20;c2=int:6;r3=R18;r4=R10;c3=int:1;c4=int:256;r5=R14;c5=func@69176;r6=R7","benchmark_awfy_richards_opt",2968
111,20114,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11","benchmark_awfy_richards_opt",2107
112,20114,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_opt",2099
113,19435,5,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10","benchmark_awfy_richards_opt",2169
114,19308,2,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R7;r2=R17;c1=int:8;r3=R6;r4=R8","benchmark_awfy_richards_opt",3279
115,18588,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4)","c1=label@4367;r1=R53;r2=R46;r3=R61;c2=int:3;c3=int:6;r4=R48;r5=R51;c4=int:1;r6=R49","benchmark_awfy_richards_opt",4270
116,18588,1,1,11,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5)","r1=R53;r2=R50;c1=int:0;c2=label@4367;r3=R46;r4=R61;c3=int:3;c4=int:6;r5=R48;r6=R51;c5=int:1","benchmark_awfy_richards_opt",4266
117,17086,2,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4)","r1=R14;r2=R15;c1=label@2960;r3=R17;r4=R19;r5=R13;c2=int:20;c3=int:6;r6=R18;r7=R10;c4=int:1","benchmark_awfy_richards_opt",2887
118,14760,1,1,10,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4)","c1=label@3216;r1=R5;r2=R11;r3=R67;r4=R6;c2=int:23;c3=int:6;r5=R9;r6=R68;c4=int:1","benchmark_awfy_richards_opt",3166
119,14760,1,1,10,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r6,r4,c4,r3)","r1=R11;r2=R67;r3=R6;c1=int:23;c2=int:6;r4=R9;r5=R68;c3=int:1;r6=R3;c4=int:0","benchmark_awfy_richards_opt",3169
120,14760,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | COPY_REG_REG(r4,r5) | BR_ID(c2)","r1=R3;r2=R9;c1=int:0;r3=R6;r4=R67;r5=R11;c2=label@3261","benchmark_awfy_richards_opt",3206
121,14760,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5)","r1=R9;r2=R6;c1=label@3216;r3=R5;r4=R11;r5=R67","benchmark_awfy_richards_opt",3163
122,14759,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2)","c1=label@2960;r1=R17;r2=R19;r3=R13;c2=int:20;c3=int:6;r4=R18;r5=R10;c4=int:1;r6=R7","benchmark_awfy_richards_opt",2890
123,14759,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1)","r1=R16;r2=R20;c1=int:1;r3=R18;r4=R13;c2=int:24;c3=int:6;r5=R10;r6=R14;r7=R9","benchmark_awfy_richards_opt",2913
124,14759,1,1,10,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1)","r1=R18;r2=R7;r3=R19;r4=R13;c1=int:23;c2=int:6;r5=R20;r6=R10;c3=int:1;r7=R16","benchmark_awfy_richards_opt",2901
125,14759,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1)","r1=R14;r2=R13;c1=int:24;c2=int:6;r3=R16;r4=R9;c3=int:1;r5=R21;r6=R20","benchmark_awfy_richards_opt",2926
126,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3)","r1=R19;r2=R13;c1=int:20;c2=int:6;r3=R18;r4=R10;c3=int:1;r5=R7;c4=int:23;r6=R20","benchmark_awfy_richards_opt",2893
127,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6)","r1=R18;r2=R13;c1=int:24;c2=int:6;r3=R20;r4=R10;c3=int:1;r5=R14;r6=R16;r7=R9;r8=R21","benchmark_awfy_richards_opt",2918
128,13956,6,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R21;r2=R32;c1=int:0;c2=label@3670;r3=R8;r4=R28;c3=int:10","benchmark_awfy_richards_opt",3648
129,12327,2,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R7;r2=R8;c1=int:0;c2=label@3371","benchmark_awfy_richards_opt",3289
130,12327,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R8;r2=R17;c1=int:8;r3=R7;c2=int:0","benchmark_awfy_richards_opt",3285
131,11627,1,1,7,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R36;r2=R31;c1=int:0;c2=label@3863;r3=R22;r4=R41;c3=int:16","benchmark_awfy_richards_opt",3771
132,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3)","r1=R22;r2=R41;c1=int:16;r3=R23;r4=R31;c2=int:0;r5=R21;c3=int:1","benchmark_awfy_richards_opt",3778
133,11627,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2)","r1=R23;r2=R22;r3=R31;c1=int:0;r4=R21;c2=int:1","benchmark_awfy_richards_opt",3782
134,10467,2,1,7,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c2)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0","benchmark_awfy_richards_opt",2126
135,10127,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1)","r1=R0;r2=R7;r3=R6;c1=int:0","benchmark_awfy_richards_opt",2138
136,10127,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | RET_REG(r5)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R10;r5=R11","benchmark_awfy_richards_opt",2173
137,10127,1,1,5,candidate,"UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R0;c1=int:0;c2=label@2169","benchmark_awfy_richards_opt",2141
138,10000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ISUB_REG_REG_INT(r4,r3,c2)","r1=R17;r2=R67;r3=R7;c1=int:8;r4=R6;c2=int:1","benchmark_awfy_richards_opt",3268
139,10000,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IEQ_REG_REG_INT(r4,r3,c2)","r1=R17;c1=int:8;r2=R6;r3=R8;r4=R7;c2=int:0","benchmark_awfy_richards_opt",3281
140,10000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R6;r2=R7;c1=int:1;r3=R17;c2=int:8","benchmark_awfy_richards_opt",3275
141,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R7;r2=R17;c1=int:8;r3=R6;c2=int:1","benchmark_awfy_richards_opt",3271
142,9999,1,1,4,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R22;r2=R23;c1=int:1;c2=int:0","benchmark_awfy_richards_opt",3375
143,9999,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r5,r6,c4) | LINKATTR1_REG_REG_INT(r7,r4,c2)","r1=R5;r2=R6;c1=int:0;r3=R7;r4=R13;c2=int:24;c3=int:6;r5=R8;r6=R1;c4=int:1;r7=R9","benchmark_awfy_richards_opt",2688
144,9999,2,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3)","r1=R17;c1=int:7;r2=R8;r3=R25;c2=int:4;c3=int:256","benchmark_awfy_richards_opt",3398
145,9999,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R23;r2=R17;c1=int:7;r3=R22;c2=int:1","benchmark_awfy_richards_opt",3371
146,9999,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R20;r2=R17;c1=int:7;r3=R8;c2=int:2","benchmark_awfy_richards_opt",3388
147,9999,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c5,c2,r6,r4,c3)","r1=R7;r2=R13;c1=int:19;c2=int:6;r3=R6;r4=R1;c3=int:1;r5=R5;c4=int:0;c5=int:24;r6=R8","benchmark_awfy_richards_opt",2680
148,9999,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1) | LINKATTR1_REG_REG_INT(r6,r2,c4)","r1=R6;r2=R13;c1=int:24;c2=int:6;r3=R8;r4=R1;c3=int:1;r5=R9;r6=R5;c4=int:2","benchmark_awfy_richards_opt",2693
149,9999,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R25;c1=int:4;r2=R17;c2=int:256;r3=R15;c3=func@94248","benchmark_awfy_richards_opt",3402
150,9999,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","c1=int:18;c2=int:1;r1=R4;r2=R13;r3=R3;r4=R14","benchmark_awfy_richards_opt",2634
151,9999,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGT_REG_REG_REG(r4,r5,r1)","r1=R3;r2=R9;c1=int:6;r3=R5;c2=int:1;r4=R11;r5=R8","benchmark_awfy_richards_opt",2709
152,9999,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | RET_REG(r4)","r1=R8;r2=R6;c1=label@2732;r3=R11;r4=R1","benchmark_awfy_richards_opt",2724
153,9999,1,1,4,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R23;r2=R22;c1=int:0;c2=label@3421","benchmark_awfy_richards_opt",3379
154,9999,1,1,5,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | UNLINKN_REG_REG(r4,r5)","r1=R5;r2=R11;r3=R8;r4=R3;r5=R9","benchmark_awfy_richards_opt",2715
155,9987,1,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RET_REG(r3)","r1=R7;r2=R11;c1=int:0;c2=label@2126;r3=R10","benchmark_awfy_richards_opt",2117
156,9332,31,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_INT(r5,r4,c3)","r1=R14;r2=R12;c1=int:0;r3=R4;r4=R11;c2=int:15;r5=R13;c3=int:9","benchmark_awfy_richards_opt",494
157,9332,31,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R13;r2=R14;r3=R12;c1=int:0;r4=R4;r5=R11;c2=int:15","benchmark_awfy_richards_opt",492
158,9308,1,1,7,candidate,"BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r4,r2,c3)","c1=label@3730;r1=R22;r2=R20;r3=R28;c2=int:26;r4=R8;c3=int:1","benchmark_awfy_richards_opt",3597
159,9308,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISUB_REG_REG_INT(r3,r1,c2)","r1=R20;r2=R21;c1=int:65;r3=R31;c2=int:1","benchmark_awfy_richards_opt",3638
160,9308,1,1,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R20;r2=R21;c1=int:26;c2=label@3634","benchmark_awfy_richards_opt",3618
161,9308,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R22;r2=R32;r3=R25;c1=label@3730;r4=R20;r5=R28;c2=int:26","benchmark_awfy_richards_opt",3593
162,9308,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGT_REG_REG_INT(r4,r3,c1)","r1=R28;c1=int:26;r2=R8;r3=R21;r4=R20","benchmark_awfy_richards_opt",3610
163,9308,1,1,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R31;r2=R20;c1=int:1;r3=R21;r4=R32;c2=int:0;c3=label@3670","benchmark_awfy_richards_opt",3644
164,9308,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","r1=R21;r2=R28;c1=int:26;r3=R20","benchmark_awfy_richards_opt",3614
165,9308,1,1,6,candidate,"UNLINK_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R21;r2=R31;r3=R20;c1=int:1;r4=R32;c2=int:0","benchmark_awfy_richards_opt",3642
166,9302,7,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IADD_REG_REG_INT(r4,r3,c2)","r1=R11;r2=R60;r3=R12;c1=int:9;r4=R13;c2=int:1","benchmark_awfy_richards_opt",462
167,9302,5,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R12;r2=R11;c1=int:9;r3=R13;r4=R4;c2=int:17","benchmark_awfy_richards_opt",473
168,9300,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ISETUNLINKN_REG_REG_REG(r3,r1,r4) | SETTP_REG_INT(r5,c2)","r1=R51;r2=R34;c1=int:1;r3=R53;r4=R52;r5=R41;c2=int:256","benchmark_awfy_richards_opt",4217
169,9300,1,1,11,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | IGETUNLINK_REG_REG(r8,r6)","r1=R45;r2=R3;r3=R43;r4=R51;r5=R41;c1=int:5;c2=int:6;r6=R53;r7=R32;c3=int:1;r8=R25","benchmark_awfy_richards_opt",3859
170,9300,1,1,8,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | SETTP_REG_INT(r4,c1) | CALL2_REG_FUNC_REG_REG(r5,c2,r4,r6)","r1=R53;r2=R51;r3=R52;r4=R41;c1=int:256;r5=R40;c2=func@98904;r6=R33","benchmark_awfy_richards_opt",4221
171,9300,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IADD_REG_REG_INT(r5,r6,c3)","r1=R52;r2=R41;c1=int:14;r3=R53;r4=R25;c2=int:0;r5=R51;r6=R34;c3=int:1","benchmark_awfy_richards_opt",4208
172,9300,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IADD_REG_REG_INT(r4,r5,c2) | ISETUNLINKN_REG_REG_REG(r1,r4,r2)","r1=R53;r2=R52;r3=R25;c1=int:0;r4=R51;r5=R34;c2=int:1","benchmark_awfy_richards_opt",4212
173,9300,4,1,9,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r6,r4,r7,c1)","r1=R52;r2=R51;r3=R33;c1=int:0;r4=R49;r5=R41;c2=int:10;r6=R50;r7=R25","benchmark_awfy_richards_opt",4091
174,9300,1,1,12,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r7,c1,c2,r8,r9,c3)","r1=R42;r2=R52;r3=R45;r4=R3;r5=R43;r6=R51;r7=R41;c1=int:5;c2=int:6;r8=R53;r9=R32;c3=int:1","benchmark_awfy_richards_opt",3856
175,9300,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R49;r2=R53;r3=R51;r4=R34;c1=int:0","benchmark_awfy_richards_opt",4075
176,9297,2,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r4,r1,c3)","r1=R19;c1=int:6;r2=R5;r3=R20;c2=int:19;r4=R8;c3=int:2","benchmark_awfy_richards_opt",3311
177,9297,2,1,6,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGETUNLINK_REG_REG(r4,r1)","r1=R20;r2=R22;c1=int:6;r3=R21;c2=int:1;r4=R18","benchmark_awfy_richards_opt",3344
178,9297,2,1,5,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","r1=R22;r2=R17;r3=R19;r4=R14;r5=R18","benchmark_awfy_richards_opt",3355
179,9297,2,1,4,candidate,"UNLINK_REG(r1) | IGETUNLINK_REG_REG(r2,r3) | UNLINK_REG(r4)","r1=R21;r2=R18;r3=R20;r4=R22","benchmark_awfy_richards_opt",3350
180,9296,1,1,7,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | COPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r4,c1)","r1=R53;r2=R50;r3=R48;r4=R65;r5=R61;r6=R49;c1=int:6","benchmark_awfy_richards_opt",4375
