rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | COPY_REG_REG(r5,r1)","r1=R1;r2=R27;r3=R14;c1=int:2;r4=R3;r5=R13","benchmark_awfy_richards_opt",2853
77,23246,1,1,13,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r7,r8,c3) | IEQ_REG_REG_INT(r9,r7,c4)","r1=R7;r2=R28;r3=R9;r4=R3;r5=R15;r6=R13;c1=int:20;c2=int:6;r7=R14;r8=R10;c3=int:1;r9=R17;c4=int:0","benchmark_awfy_richards_opt",2869
78,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4) | UNLINKN_REG_REG(r5,r3)","r1=R9;r2=R3;r3=R15;r4=R13;c1=int:20;c2=int:6;r5=R14;r6=R10;c3=int:1;r7=R17;c4=int:0","benchmark_awfy_richards_opt",2872
79,23246,1,1,8,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R3;r2=R14;r3=R13;r4=R1;r5=R10;r6=R5;r7=R7;r8=R28","benchmark_awfy_richards_opt",2860
80,23246,1,1,7,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r5,c1)","r1=R10;r2=R7;r3=R9;r4=R1;r5=R27;r6=R14;c1=int:2","benchmark_awfy_richards_opt",2847
81,23246,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r1)","r1=R2;r2=R9;r3=R10;r4=R8;r5=R0;r6=R7","benchmark_awfy_richards_opt",2756
82,23246,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R7;r2=R10;c1=int:0;r3=R9;r4=R27;c2=int:15;r5=R28;c3=int:1","benchmark_awfy_richards_opt",2829
83,23246,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r4,c3,r3)","r1=R27;c1=int:18;r2=R7;r3=R9;c2=int:17;r4=R10;r5=R28;c3=int:0","benchmark_awfy_richards_opt",2816
84,23246,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R14;r2=R27;c1=int:2;r3=R3;r4=R13;r5=R1;r6=R10;r7=R5","benchmark_awfy_richards_opt",2856
85,23246,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4) | COPY_REG_REG(r5,r2)","r1=R7;r2=R27;c1=int:1;r3=R10;r4=R9;r5=R1","benchmark_awfy_richards_opt",2843
86,23246,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R9;r2=R27;c1=int:17;r3=R10;r4=R28;c2=int:0;r5=R7;c3=int:15","benchmark_awfy_richards_opt",2820
87,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | COPY_REG_REG(r5,r6)","r1=R9;r2=R10;r3=R28;c1=int:0;r4=R2;r5=R8;r6=R0","benchmark_awfy_richards_opt",2751
88,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1)","r1=R10;r2=R9;r3=R28;c1=int:0;r4=R7;r5=R27;c2=int:15","benchmark_awfy_richards_opt",2824
89,23246,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c4)","c1=int:18;c2=int:1;r1=R0;r2=R27;r3=R10;c3=int:15;r4=R9;r5=R28;c4=int:0","benchmark_awfy_richards_opt",2740
90,23246,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r4,c1) | IGETUNLINK_REG_REG(r6,r5)","r1=R10;r2=R9;r3=R1;r4=R27;r5=R14;c1=int:2;r6=R3","benchmark_awfy_richards_opt",2850
91,23246,1,1,6,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_INT(r1,r4,c1)","r1=R10;r2=R8;r3=R0;r4=R7;r5=R2;c1=int:0","benchmark_awfy_richards_opt",2759
92,23246,1,1,8,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r5,c3)","r1=R9;r2=R27;c1=int:18;r3=R7;c2=int:17;r4=R10;r5=R28;c3=int:0","benchmark_awfy_richards_opt",2814
93,20926,8,1,8,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2) | IGETUNLINK_REG_REG(r6,r1)","r1=R17;r2=R4;r3=R13;c1=int:0;r4=R12;r5=R11;c2=int:9;r6=R10","benchmark_awfy_richards_opt",632
94,20921,3,1,8,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2) | LINKATTR1_REG_REG_INT(r3,r5,c3)","r1=R51;r2=R49;c1=int:6;r3=R52;c2=int:1;r4=R48;r5=R55;c3=int:2","benchmark_awfy_richards_opt",3894
95,20921,3,1,7,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | COPY_REG_REG(r4,r5)","r1=R51;r2=R53;r3=R25;c1=int:0;c2=label@3928;r4=R55;r5=R41","benchmark_awfy_richards_opt",3874
96,20310,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R34;r2=R53;r3=R52;c1=int:4;c2=label@3990","benchmark_awfy_richards_opt",3937
97,20310,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | IGTE_REG_REG_INT(r1,r4,c2)","r1=R53;r2=R52;r3=R25;c1=int:0;r4=R34;c2=int:4","benchmark_awfy_richards_opt",3932
98,20114,1,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r2,r4,c4)","r1=R9;c1=int:18;c2=int:1;r2=R6;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_opt",2097
99,20114,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | IEQ_REG_REG_INT(r5,r6,c2)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7;r6=R11","benchmark_awfy_richards_opt",2103
100,20114,3,1,13,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r7,c5,r2,r8,r6)","r1=R19;r2=R13;c1=int:20;c2=int:6;r3=R21;r4=R10;c3=int:1;r5=R15;r6=R18;c4=int:256;r7=R14;c5=func@69176;r8=R7","benchmark_awfy_richards_opt",2960
101,20114,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11;c2=label@2126","benchmark_awfy_richards_opt",2107
102,20114,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0;r5=R7","benchmark_awfy_richards_opt",2099
103,18588,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4) | UNLINK_REG(r2)","c1=label@4367;r1=R53;r2=R46;r3=R61;c2=int:3;c3=int:6;r4=R48;r5=R51;c4=int:1;r6=R49","benchmark_awfy_richards_opt",4270
104,18588,1,1,12,candidate,"ICOPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c3,c4,r6,r7,c5)","r1=R50;r2=R1;r3=R53;c1=int:0;c2=label@4367;r4=R46;r5=R61;c3=int:3;c4=int:6;r6=R48;r7=R51;c5=int:1","benchmark_awfy_richards_opt",4263
105,18588,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5) | IGETUNLINK_REG_REG(r7,r5)","r1=R53;r2=R50;c1=int:0;c2=label@4367;r3=R46;r4=R61;c3=int:3;c4=int:6;r5=R48;r6=R51;c5=int:1;r7=R49","benchmark_awfy_richards_opt",4266
106,17913,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r5,r4)","r1=R9;r2=R7;c1=label@3076;r3=R6;r4=R5;c2=int:0;r5=R8","benchmark_awfy_richards_opt",3062
107,14760,1,1,12,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r2,c2,c3,r5,r6,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c5,r4)","c1=label@3216;r1=R5;r2=R11;r3=R67;r4=R6;c2=int:23;c3=int:6;r5=R9;r6=R68;c4=int:1;r7=R3;c5=int:0","benchmark_awfy_richards_opt",3166
108,14760,1,1,11,candidate,"COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r6,r4,c4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c5,c2,r4,r5,c3)","r1=R11;r2=R67;r3=R6;c1=int:23;c2=int:6;r4=R9;r5=R68;c3=int:1;r6=R3;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3169
109,14760,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r4,r5)","r1=R5;r2=R9;c1=int:0;r3=R6;c2=label@3216;r4=R11;r5=R67","benchmark_awfy_richards_opt",3159
110,14760,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c5,c3,r2,r5,c4)","r1=R3;r2=R9;c1=int:0;r3=R6;r4=R11;c2=int:25;c3=int:6;r5=R68;c4=int:1;c5=int:19","benchmark_awfy_richards_opt",3180
111,14760,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | COPY_REG_REG(r6,r2) | BR_ID(c5)","r1=R6;r2=R11;c1=int:19;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:0;r6=R67;c5=label@3261","benchmark_awfy_richards_opt",3198
112,14760,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r1,r6,c4)","r1=R9;r2=R6;c1=label@3216;r3=R5;r4=R11;r5=R67;c2=int:23;c3=int:6;r6=R68;c4=int:1","benchmark_awfy_richards_opt",3163
113,14759,1,1,12,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r3,c5,c3,r7,r5,c4)","c1=label@2960;r1=R17;r2=R19;r3=R13;c2=int:20;c3=int:6;r4=R18;r5=R10;c4=int:1;r6=R7;c5=int:23;r7=R20","benchmark_awfy_richards_opt",2890
114,14759,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c3,c4,r6,r7,c5)","r1=R17;r2=R14;c1=int:0;r3=R15;c2=label@2960;r4=R19;r5=R13;c3=int:20;c4=int:6;r6=R18;r7=R10;c5=int:1","benchmark_awfy_richards_opt",2883
115,14759,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1) | IGT_REG_REG_REG(r8,r2,r1)","r1=R16;r2=R20;c1=int:1;r3=R18;r4=R13;c2=int:24;c3=int:6;r5=R10;r6=R14;r7=R9;r8=R21","benchmark_awfy_richards_opt",2913
116,14759,1,1,11,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c4,c2,r5,r6,c3)","r1=R18;r2=R7;r3=R19;r4=R13;c1=int:23;c2=int:6;r5=R20;r6=R10;c3=int:1;r7=R16;c4=int:24","benchmark_awfy_richards_opt",2901
117,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1) | UNLINKN_REG_REG(r6,r7)","r1=R14;r2=R13;c1=int:24;c2=int:6;r3=R16;r4=R9;c3=int:1;r5=R21;r6=R20;r7=R18","benchmark_awfy_richards_opt",2926
118,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c4,c2,r5,r7,c3)","r1=R18;r2=R13;c1=int:23;c2=int:6;r3=R20;r4=R10;c3=int:1;r5=R16;c4=int:24;r6=R14;r7=R9","benchmark_awfy_richards_opt",2905
119,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r6,c3,r3)","r1=R19;r2=R13;c1=int:20;c2=int:6;r3=R18;r4=R10;c3=int:1;r5=R7;c4=int:23;r6=R20;r7=R16","benchmark_awfy_richards_opt",2893
120,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6) | UNLINKN_REG_REG(r6,r5)","r1=R18;r2=R13;c1=int:24;c2=int:6;r3=R20;r4=R10;c3=int:1;r5=R14;r6=R16;r7=R9;r8=R21","benchmark_awfy_richards_opt",2918
121,14759,1,1,12,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R14;r2=R15;c1=label@2960;r3=R17;r4=R19;r5=R13;c2=int:20;c3=int:6;r6=R18;r7=R10;c4=int:1;r8=R7","benchmark_awfy_richards_opt",2887
122,12327,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R8;r2=R17;c1=int:8;r3=R7;c2=int:0;c3=label@3371","benchmark_awfy_richards_opt",3285
123,11627,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","c1=label@3863;r1=R36;r2=R22;r3=R41;c2=int:16;r4=R23;r5=R31;c3=int:0;r6=R21;c4=int:1","benchmark_awfy_richards_opt",3775
124,11627,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R31;r2=R1;r3=R36;c1=int:0;c2=label@3863;r4=R22;r5=R41;c3=int:16","benchmark_awfy_richards_opt",3768
125,11627,1,1,8,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c1)","r1=R36;r2=R31;c1=int:0;c2=label@3863;r3=R22;r4=R41;c3=int:16;r5=R23","benchmark_awfy_richards_opt",3771
126,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3) | UNLINKN_REG_REG(r3,r1)","r1=R22;r2=R41;c1=int:16;r3=R23;r4=R31;c2=int:0;r5=R21;c3=int:1","benchmark_awfy_richards_opt",3778
127,11627,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c3,r4)","r1=R23;r2=R22;r3=R31;c1=int:0;r4=R21;c2=int:1;c3=label@3831","benchmark_awfy_richards_opt",3782
128,10127,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c2) | IGETUNLINK_REG_REG(r6,r5)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0;r6=R0","benchmark_awfy_richards_opt",2126
129,10127,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R0;r2=R7;r3=R6;c1=int:0;c2=label@2169","benchmark_awfy_richards_opt",2138
130,10127,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | RET_REG(r6)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10;r6=R11","benchmark_awfy_richards_opt",2169
131,10127,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | INE_REG_REG_INT(r1,r4,c1)","r1=R7;r2=R6;r3=R11;c1=int:0;r4=R0","benchmark_awfy_richards_opt",2133
132,10000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | ISUB_REG_REG_INT(r5,r4,c3)","c1=label@3460;r1=R9;r2=R17;r3=R67;r4=R7;c2=int:8;r5=R6;c3=int:1","benchmark_awfy_richards_opt",3265
133,10000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ISUB_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R17;r2=R67;r3=R7;c1=int:8;r4=R6;c2=int:1","benchmark_awfy_richards_opt",3268
134,10000,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IEQ_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R17;c1=int:8;r2=R6;r3=R8;r4=R7;c2=int:0","benchmark_awfy_richards_opt",3281
135,10000,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r4,r3,c2)","r1=R6;r2=R7;c1=int:1;r3=R17;c2=int:8;r4=R8","benchmark_awfy_richards_opt",3275
136,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R7;r2=R17;c1=int:8;r3=R6;c2=int:1","benchmark_awfy_richards_opt",3271
137,10000,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R7;r2=R17;c1=int:8;r3=R6;r4=R8;c2=int:0","benchmark_awfy_richards_opt",3279
138,9999,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1) | ICOPY_REG_REG(r3,r4)","r1=R13;c1=int:18;c2=int:1;r2=R4;r3=R3;r4=R14","benchmark_awfy_richards_opt",2632
139,9999,1,1,5,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R22;r2=R23;c1=int:1;c2=int:0;c3=label@3421","benchmark_awfy_richards_opt",3375
140,9999,1,1,12,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c2,c3,r5,r6,c4) | LINKATTR1_REG_REG_INT(r7,r4,c2) | LINKATTR1_REG_REG_INT(r1,r4,c5)","r1=R5;r2=R6;c1=int:0;r3=R7;r4=R13;c2=int:24;c3=int:6;r5=R8;r6=R1;c4=int:1;r7=R9;c5=int:2","benchmark_awfy_richards_opt",2688
141,9999,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3) | CALL2_REG_FUNC_REG_REG(r4,c4,r1,r3)","r1=R17;c1=int:7;r2=R8;r3=R25;c2=int:4;c3=int:256;r4=R15;c4=func@94248","benchmark_awfy_richards_opt",3398
142,9999,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r3,c3)","r1=R23;r2=R17;c1=int:7;r3=R22;c2=int:1;c3=int:0","benchmark_awfy_richards_opt",3371
143,9999,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | IGT_REG_REG_REG(r5,r6,r3)","r1=R5;r2=R13;c1=int:2;r3=R3;r4=R9;c2=int:6;c3=int:1;r5=R11;r6=R8","benchmark_awfy_richards_opt",2705
144,9999,1,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c5,c2,r6,r4,c3) | LINKATTR1_REG_REG_INT(r7,r2,c5)","r1=R7;r2=R13;c1=int:19;c2=int:6;r3=R6;r4=R1;c3=int:1;r5=R5;c4=int:0;c5=int:24;r6=R8;r7=R9","benchmark_awfy_richards_opt",2680
