rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,737611,13,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_noopt",0
93,220,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IGTE_REG_REG_REG(r3,r4,r3) | BRF_ID_REG(c1,r3) | RET()","r1=R3;r2=R7;r3=R8;r4=R5;c1=label@606","benchmark_awfy_towers_noopt",595
94,150,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R1;c1=int:1;r3=R5;r4=R3;c2=int:0","benchmark_awfy_towers_noopt",197
95,150,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET_REG(r2)","r1=R2;r2=R1;c1=int:2;r3=R3","benchmark_awfy_towers_noopt",209
96,150,2,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c4)","r1=R1;c1=int:4;c2=string@1416;c3=int:18;c4=int:0","benchmark_awfy_towers_noopt",181
97,150,2,1,5,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | SETNUMDGTS_INT(c2) | SETNUMFUZ_INT(c3) | SETNUMFRM_INT(c4)","r1=R1;c1=string@1416;c2=int:18;c3=int:0;c4=int:1","benchmark_awfy_towers_noopt",184
98,140,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c3,r2)","c1=label@1097;r1=R6;r2=R9;c2=int:1;r3=R10;r4=R4;r5=R3;c3=func@10504","benchmark_awfy_towers_noopt",1044
99,140,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R2;r2=R5;r3=R3;c1=int:0;r4=R1;c2=int:2","benchmark_awfy_towers_noopt",201
100,140,1,1,7,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | SWAP_REG_REG(r5,r2)","r1=R6;r2=R4;r3=R5;c1=label@1097;r4=R9;c2=int:1;r5=R10","benchmark_awfy_towers_noopt",1040
101,140,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3)","c1=int:1;r1=R2;r2=R1;r3=R5","benchmark_awfy_towers_noopt",193
102,140,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","c1=int:1;r1=R2;r2=R1;r3=R5","benchmark_awfy_towers_noopt",195
103,140,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IADD_REG_REG_REG(r5,r6,r5) | BR_ID(c1)","r1=R3;r2=R11;r3=R15;r4=R12;r5=R4;r6=R8;c1=label@1025","benchmark_awfy_towers_noopt",1085
104,140,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | IADD_REG_REG_REG(r7,r8,r7)","r1=R14;r2=R10;r3=R3;r4=R11;r5=R15;r6=R12;r7=R4;r8=R8","benchmark_awfy_towers_noopt",1082
105,20,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R2;r2=R1;c1=int:0;r3=R0;c2=int:7","benchmark_awfy_towers_noopt",354
106,20,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R2;r2=R0;c1=int:5;r3=R1;c2=int:0","benchmark_awfy_towers_noopt",350
107,20,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R3;c1=int:0;r2=R4;c2=int:13;r3=R1;c3=int:3;r4=R12;c4=int:256","benchmark_awfy_towers_noopt",397
108,20,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R4;c1=int:13;r2=R1;c2=int:3;r3=R12;c3=int:256;r4=R2","benchmark_awfy_towers_noopt",400
109,10,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | ISUB_REG_INT_REG(r5,c1,r4)","r1=R4;r2=R16;r3=R5;c1=int:0;r4=R7;c2=int:1;r5=R8","benchmark_awfy_towers_noopt",1012
110,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R1;r2=R2;c1=int:0;r3=R0;c2=int:5","benchmark_awfy_towers_noopt",342
111,10,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R4;r2=R3;r3=R8;c1=int:13;r4=R9;c2=int:0","benchmark_awfy_towers_noopt",426
112,10,1,1,8,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | CALL_REG_FUNC_REG(r5,c3,r4)","r1=R4;r2=R5;r3=R1;c1=label@137;r4=R3;c2=int:0;r5=R6;c3=func@6192","benchmark_awfy_towers_noopt",78
113,10,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c2)","r1=R1;r2=R0;c1=int:3;r3=R2;c2=int:0","benchmark_awfy_towers_noopt",338
114,10,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ISUB_REG_INT_REG(r2,c2,r1) | ILT_REG_REG_INT(r3,r2,c2) | BRT_ID_REG(c3,r3)","r1=R7;c1=int:1;r2=R8;c2=int:0;r3=R6;c3=label@1040","benchmark_awfy_towers_noopt",1018
115,10,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ISUB_REG_INT_REG(r3,c1,r2) | ILT_REG_REG_INT(r4,r3,c1)","r1=R5;c1=int:0;r2=R7;c2=int:1;r3=R8;r4=R6","benchmark_awfy_towers_noopt",1015
116,10,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | LOAD_REG_INT(r4,c4)","r1=R8;c1=int:13;r2=R9;c2=int:0;r3=R10;c3=int:1;r4=R6;c4=int:4","benchmark_awfy_towers_noopt",431
117,10,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c2)","c1=int:1;r1=R4;r2=R16;r3=R5;c2=int:0","benchmark_awfy_towers_noopt",1008
118,10,1,1,6,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3)","c1=int:1;r1=R2;c2=int:0;r2=R1;r3=R0;c3=int:3","benchmark_awfy_towers_noopt",331
119,10,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LOAD_REG_INT(r2,c3)","c1=int:1;r1=R3;c2=int:0;r2=R4;c3=int:13","benchmark_awfy_towers_noopt",393
120,10,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | ICOPY_REG_REG(r1,r2)","c1=int:1;r1=R4;r2=R16","benchmark_awfy_towers_noopt",1006
121,10,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c1)","c1=int:1;r1=R4;r2=R16;r3=R5;c2=int:0;r4=R7","benchmark_awfy_towers_noopt",1010
122,10,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3) | ICOPY_REG_REG(r2,r1)","c1=int:1;r1=R2;c2=int:0;r2=R1;r3=R0;c3=int:3","benchmark_awfy_towers_noopt",333
123,10,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LOAD_REG_INT(r2,c3) | LOAD_REG_INT(r3,c4)","c1=int:1;r1=R3;c2=int:0;r2=R4;c3=int:13;r3=R1;c4=int:3","benchmark_awfy_towers_noopt",395
124,10,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | ICOPY_REG_REG(r4,r3)","r1=R12;r2=R2;r3=R3;c1=int:0;r4=R4;c2=int:1","benchmark_awfy_towers_noopt",416
125,10,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R4;r2=R8;c1=int:13;r3=R9;c2=int:0;r4=R10;c3=int:1","benchmark_awfy_towers_noopt",429
126,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_towers_noopt",33
127,1,1,1,4,over_3_symbols,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@9008;c2=int:0","benchmark_awfy_towers_noopt",153
128,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r1,r1,r3)","r1=R10;c1=string@8416;r2=R1;c2=string@8576;r3=R2","benchmark_awfy_towers_noopt",143
129,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R6;r2=R5;r3=R1;r4=R10;c1=string@8416","benchmark_awfy_towers_noopt",137
130,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R10;c1=string@8416;c2=string@8576","benchmark_awfy_towers_noopt",139
131,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_towers_noopt",25
132,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@72","benchmark_awfy_towers_noopt",45
133,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_towers_noopt",29
134,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@9008","benchmark_awfy_towers_noopt",151
135,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@8416;c2=string@8576;r3=R2","benchmark_awfy_towers_noopt",141
136,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_towers_noopt",39
137,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_towers_noopt",22
138,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R5;c1=int:1;r2=R4;r3=R1;c2=label@137;r4=R3;c3=int:0","benchmark_awfy_towers_noopt",75
139,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R5;c2=int:1;r3=R4;r4=R1;c3=label@137","benchmark_awfy_towers_noopt",72
140,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_towers_noopt",36
141,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1)","r1=R10;c1=string@8576;r2=R2","benchmark_awfy_towers_noopt",147
142,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_towers_noopt",6
143,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_towers_noopt",4
144,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_towers_noopt",8
145,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_towers_noopt",43
