rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R19;r2=R17;r3=R18;r4=R5;r5=R16;c1=int:1","benchmark_awfy_bounce_opt",1049
92,10000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R0;r2=R17;r3=R6;r4=R8;c1=int:1","benchmark_awfy_bounce_opt",257
93,5000,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | GETATTRS_REG_REG_INT(r3,r4,c3) | IGT_REG_REG_REG(r5,r2,r3)","c1=label@1436;r1=R9;r2=R6;c2=int:1;r3=R12;r4=R0;c3=int:0;r5=R13","benchmark_awfy_bounce_opt",1000
94,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | BCTP_ID_REG(c1,r4)","r1=R8;r2=R7;r3=R6;c1=label@996;r4=R11","benchmark_awfy_bounce_opt",1427
95,5000,1,1,6,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3) | MINATTRS_REG_REG_INT(r2,r4,c1)","r1=R12;r2=R0;c1=int:0;r3=R13;r4=R6;c2=label@1425","benchmark_awfy_bounce_opt",1006
96,5000,1,1,9,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | GETATTRS_REG_REG_INT(r5,r6,c3)","r1=R9;r2=R11;r3=R10;c1=label@1436;r4=R6;c2=int:1;r5=R12;r6=R0;c3=int:0","benchmark_awfy_bounce_opt",996
97,5000,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2) | BRT_ID_REG(c3,r4)","r1=R6;c1=int:1;r2=R12;r3=R0;c2=int:0;r4=R13;c3=label@1425","benchmark_awfy_bounce_opt",1003
98,5000,1,1,3,candidate,"UNLINK_REG(r1) | ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3)","r1=R8;r2=R7;r3=R6","benchmark_awfy_bounce_opt",1425
99,200,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R6;c1=int:1;r2=R5;c2=int:100;r3=R7;c3=label@985","benchmark_awfy_bounce_opt",943
100,100,1,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R22;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_bounce_opt",908
101,100,1,1,6,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | COPY_REG_REG(r3,r2)","c1=label@141;r1=R3;r2=R6;c2=int:0;c3=string@1128;r3=R5","benchmark_awfy_bounce_opt",79
102,100,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | IGT_REG_REG_REG(r5,r3,r4)","r1=R2;r2=R4;r3=R6;c1=int:1;r4=R5;c2=int:100;r5=R7","benchmark_awfy_bounce_opt",940
103,100,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R5;r2=R6;r3=R7;c1=int:1;c2=int:256;r4=R8","benchmark_awfy_bounce_opt",88
104,100,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R6;r2=R1;c1=int:0;r3=R11;c2=int:1;r4=R10;c3=int:50","benchmark_awfy_bounce_opt",985
105,100,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r2,c1)","r1=R5;r2=R6;r3=R2;r4=R4;c1=int:1","benchmark_awfy_bounce_opt",935
106,100,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@141;r4=R6;c2=int:0;c3=string@1128","benchmark_awfy_bounce_opt",75
107,100,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R5;r2=R4;c1=int:1;r3=R6;r4=R2","benchmark_awfy_bounce_opt",931
108,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R10;c1=int:50;r2=R9;r3=R11;c2=label@1436;r4=R6;c3=int:1","benchmark_awfy_bounce_opt",993
109,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | MINATTRS_REG_REG_INT(r4,r3,c3)","r1=R5;c1=int:100;r2=R7;r3=R6;c2=label@985;r4=R0;c3=int:0","benchmark_awfy_bounce_opt",946
110,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | IGT_REG_REG_REG(r4,r2,r3)","r1=R1;c1=int:0;r2=R11;c2=int:1;r3=R10;c3=int:50;r4=R9","benchmark_awfy_bounce_opt",987
111,100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R5;c2=int:256;r3=R8;r4=R2;c3=func@6440","benchmark_awfy_bounce_opt",91
112,100,1,1,6,over_3_symbols,"NULL_REG(r1) | SETATTRS_REG_INT(r2,c1) | SETOBJTYPE_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R0;r2=R4;c1=int:2;c2=string@56;r3=R6;c3=int:74755","benchmark_awfy_bounce_opt",920
113,100,1,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c3)","r1=R6;c1=int:0;c2=string@1128;r2=R5;r3=R7;c3=int:1","benchmark_awfy_bounce_opt",82
114,100,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R4;c1=int:2;c2=string@56;r2=R6;c3=int:74755;r3=R5;c4=int:1","benchmark_awfy_bounce_opt",922
115,100,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | SETATTRS_REG_INT(r2,c2)","c1=int:1;r1=R0;r2=R4;c2=int:2","benchmark_awfy_bounce_opt",916
116,100,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_bounce_opt",914
117,100,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3)","c1=int:1;r1=R0;r2=R4;c2=int:2;c3=string@56","benchmark_awfy_bounce_opt",918
118,100,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | COPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r2,c3)","r1=R6;c1=string@1128;r2=R5;r3=R7;c2=int:1;c3=int:256","benchmark_awfy_bounce_opt",85
119,100,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r3,r2)","r1=R4;c1=string@56;r2=R6;c2=int:74755;r3=R5;c3=int:1","benchmark_awfy_bounce_opt",925
120,100,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r1,c2)","r1=R5;r2=R2;r3=R4;r4=R6;c1=int:1;c2=int:100","benchmark_awfy_bounce_opt",938
121,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@9360;c2=int:0","benchmark_awfy_bounce_opt",157
122,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_bounce_opt",33
123,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R10;c1=string@8768;r2=R1;c2=string@8928;r3=R2","benchmark_awfy_bounce_opt",147
124,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R5;r2=R4;r3=R1;r4=R10;c1=string@8768","benchmark_awfy_bounce_opt",141
125,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R4;r2=R1;r3=R10;c1=string@8768;c2=string@8928","benchmark_awfy_bounce_opt",143
126,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_bounce_opt",25
127,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_bounce_opt",45
128,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_bounce_opt",29
129,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@9360","benchmark_awfy_bounce_opt",155
130,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@8768;c2=string@8928;r3=R2","benchmark_awfy_bounce_opt",145
131,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_bounce_opt",39
132,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_bounce_opt",22
133,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@141;r4=R6;c3=int:0","benchmark_awfy_bounce_opt",72
134,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@141","benchmark_awfy_bounce_opt",69
135,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_bounce_opt",36
136,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R10;c1=string@8928;r2=R2","benchmark_awfy_bounce_opt",151
137,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_bounce_opt",6
138,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_bounce_opt",4
139,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_bounce_opt",8
140,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_bounce_opt",43
