rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
252,84,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R8;r2=R18;c1=int:3;r3=R16","stem",557
253,84,6,1,7,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1) | LOAD_REG_STRING(r5,c2)","r1=R87;r2=R88;r3=R39;r4=R84;c1=string@52384;r5=R85;c2=string@52568","benchmark_rexxcps_levelb_noopt",1518
254,84,6,1,8,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_STRING(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R88;r2=R39;r3=R84;c1=string@52384;r4=R85;c2=string@52568;r5=R86;c3=int:0","benchmark_rexxcps_levelb_noopt",1520
255,83,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | RET_REG(r4)","r1=R18;r2=R20;c1=int:8;r3=R1;c2=int:0;r4=R17","stem",303
256,76,4,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | GETATTRS_REG_REG_INT(r5,r6,c2)","r1=R25;r2=R30;r3=R19;r4=R29;c1=int:1;r5=R27;r6=R42;c2=int:0","_address",14019
257,76,4,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | REQ_REG_REG_STRING(r4,r3,c1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R12;r3=R3;r4=R11;c1=string@31136;c2=label@13880","_address",13860
258,76,4,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | GETATTRS_REG_REG_INT(r4,r5,c2) | IGT_REG_REG_REG(r6,r3,r4)","r1=R19;r2=R25;r3=R29;c1=int:1;r4=R27;r5=R42;c2=int:0;r6=R26","_address",14022
259,76,5,2,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R22;r2=R37;c1=int:17;r3=R25;c2=int:16;c3=int:0;r4=R24","trace",6603
260,76,5,2,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_REG(r4,r3,r1) | UNLINK_REG(r1)","r1=R25;r2=R37;c1=int:16;r3=R22;c2=int:0;r4=R24","trace",6607
261,76,4,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2) | BRT_ID_REG(c3,r4)","r1=R29;c1=int:1;r2=R27;r3=R42;c2=int:0;r4=R26;c3=label@14064","_address",14025
