rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
355,24,12,1,4,over_3_symbols,"ENDLIFE_REG(r1) | INE_REG_REG_INT(r2,r3,c1)","r1=R25;r2=R29;r3=R22;c1=int:0","trace",17129
356,23,5,3,4,over_3_symbols,"BRF_ID_REG(c1,r1) | SETSTRPOS_REG_REG(r2,r3)","c1=label@507;r1=R48;r2=R23;r3=R41","format",497
357,23,2,2,2,candidate,"ENDLIFE_REG(r1) | LOAD_REG_INT(r1,c1)","r1=R22;c1=int:0","_address",15792
358,21,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | COPY_REG_REG(r1,r4)","r1=R32;r2=R35;r3=R2;r4=R1","_address",15954
359,21,2,2,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | COPY_REG_REG(r2,r3)","r1=R32;c1=string@31136;r2=R6;r3=R30","trace",12372
360,21,2,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SRCMETHODSEL_REG_REG_STRING(r3,r4,c1)","r1=R32;r2=R25;r3=R21;r4=R30;c1=string@323792","_address",15909
361,18,3,2,3,candidate,"BRT_ID_REG(c1,r1) | NULL_REG(r2)","c1=label@1831;r1=R43;r2=R31","benchmark_rexxcps_levelb_noopt",413
362,18,5,2,4,over_3_symbols,"BRT_ID_REG(c1,r1) | REQ_REG_REG_STRING(r1,r2,c2)","c1=label@17236;r1=R27;r2=R2;c2=string@1505504","trace",17229
363,18,2,1,3,candidate,"ENDLIFE_REG(r1) | REQ_REG_REG_STRING(r2,r2,c1)","r1=R20;r2=R21;c1=string@322688","trace",5953
364,18,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | REQ_REG_REG_STRING(r2,r3,c1)","r1=R13;r2=R24;r3=R12;c1=string@322688","trace",6302
365,17,4,2,4,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R12;r2=R3;r3=R13;c1=string@321984","_address",8053
366,17,3,3,2,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r1,c1)","r1=R7;c1=int:0","_address",8018
367,16,3,1,1,candidate,"BPOFF() | BR_ID(c1)","c1=label@378","benchmark_rexxcps_levelb_noopt",345
368,16,1,1,0,candidate,"BPOFF() | RET()","","trace",12502
369,16,3,1,2,candidate,"BRF_ID_REG(c1,r1) | BPOFF()","c1=label@348;r1=R24","benchmark_rexxcps_levelb_noopt",342
370,16,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4)","c1=label@6259;r1=R12;r2=R16;r3=R14;r4=R13","trace",6240
371,16,1,1,2,candidate,"COPY_REG_REG(r1,r2) | BPOFF()","r1=R7;r2=R30","trace",12499
372,16,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R22;r2=R1;r3=R25;r4=R2","trace",6516
373,16,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R0;r2=R37;r3=R21;c1=int:17","trace",6492
374,16,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r4,c1)","r1=R30;r2=R6;r3=R5;r4=R1;c1=string@1504304","trace",12486
