vm,macro_opcode,component_position,component_opcode,macro_count,baseline_global_count,baseline_global_total_ns,baseline_average_ns,estimated_total_at_macro_count_ns,timer_read_min_ns,average_below_timer_min
rxvm,SETTPSWAPSETTP_REG_INT_REG_REG,2,SWAP_REG_REG,0,163212,4019980,24.630419,0.000,41,1
rxvm,SETTPSWAPSETTP_REG_INT_REG_REG,3,SETTP_REG_INT,0,216807,2774516,12.797170,0.000,41,1
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,1,SETTP_REG_INT,1407,216807,2774516,12.797170,18005.618,41,1
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,2,SWAP_REG_REG,1407,163212,4019980,24.630419,34655.000,41,1
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,3,SETTP_REG_INT,1407,216807,2774516,12.797170,18005.618,41,1
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,4,SWAP_REG_REG,1407,163212,4019980,24.630419,34655.000,41,1
rxvm,NULLN_REG_REG,1,NULL_REG,116308,1359142,17319085,12.742660,1482073.351,41,1
rxvm,NULLN_REG_REG,2,NULL_REG,116308,1359142,17319085,12.742660,1482073.351,41,1
rxvm,NULLN_REG_REG_REG,1,NULL_REG,31450,1359142,17319085,12.742660,400756.671,41,1
rxvm,NULLN_REG_REG_REG,2,NULL_REG,31450,1359142,17319085,12.742660,400756.671,41,1
rxvm,NULLN_REG_REG_REG,3,NULL_REG,31450,1359142,17319085,12.742660,400756.671,41,1
rxvm,NULLN_REG_REG_REG_REG,1,NULL_REG,239426,1359142,17319085,12.742660,3050924.219,41,1
rxvm,NULLN_REG_REG_REG_REG,2,NULL_REG,239426,1359142,17319085,12.742660,3050924.219,41,1
rxvm,NULLN_REG_REG_REG_REG,3,NULL_REG,239426,1359142,17319085,12.742660,3050924.219,41,1
rxvm,NULLN_REG_REG_REG_REG,4,NULL_REG,239426,1359142,17319085,12.742660,3050924.219,41,1
rxvm,ILOADCOPY_REG_REG_INT,1,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADCOPY_REG_REG_INT,2,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
rxvm,ILOADN_REG_INT_REG_INT,1,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADN_REG_INT_REG_INT,2,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADN_REG_REG_INT,1,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADN_REG_REG_INT,2,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,SWAPCALL_REG_FUNC_REG_REG_REG,1,SWAP_REG_REG,802,163212,4019980,24.630419,19753.596,41,1
rxvm,SWAPCALL_REG_FUNC_REG_REG_REG,2,CALL_REG_FUNC_REG,802,106880,21091315,197.336405,158263.797,41,0
rxvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,1,SETTP_REG_INT,10100,216807,2774516,12.797170,129251.415,41,1
rxvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,2,SWAP_REG_REG,10100,163212,4019980,24.630419,248767.235,41,1
rxvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,3,CALL_REG_FUNC_REG,10100,106880,21091315,197.336405,1993097.694,41,0
rxvm,SETTPCALL_REG_FUNC_REG_REG_INT,1,SETTP_REG_INT,56968,216807,2774516,12.797170,729029.171,41,1
rxvm,SETTPCALL_REG_FUNC_REG_REG_INT,2,CALL_REG_FUNC_REG,56968,106880,21091315,197.336405,11241860.338,41,0
rxvm,UNLINKN_REG_REG,1,UNLINK_REG,44136,499186,6205911,12.432061,548701.462,41,1
rxvm,UNLINKN_REG_REG,2,UNLINK_REG,44136,499186,6205911,12.432061,548701.462,41,1
rxvm,ISETUNLINK_REG_REG,1,ICOPY_REG_REG,9800,1125713,14246568,12.655595,124024.833,41,1
rxvm,ISETUNLINK_REG_REG,2,UNLINK_REG,9800,499186,6205911,12.432061,121834.202,41,1
rxvm,IGETUNLINK_REG_REG,1,ICOPY_REG_REG,40331,1125713,14246568,12.655595,510412.809,41,1
rxvm,IGETUNLINK_REG_REG,2,UNLINK_REG,40331,499186,6205911,12.432061,501397.468,41,1
rxvm,ILOADSETUNLINK_REG_INT,1,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADSETUNLINK_REG_INT,2,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
rxvm,ILOADSETUNLINK_REG_INT,3,UNLINK_REG,0,499186,6205911,12.432061,0.000,41,1
rxvm,ISETUNLINKN_REG_REG_REG,1,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
rxvm,ISETUNLINKN_REG_REG_REG,2,UNLINK_REG,0,499186,6205911,12.432061,0.000,41,1
rxvm,ISETUNLINKN_REG_REG_REG,3,UNLINK_REG,0,499186,6205911,12.432061,0.000,41,1
rxvm,UNLINKBR_REG_ID,1,UNLINK_REG,18200,499186,6205911,12.432061,226263.517,41,1
rxvm,UNLINKBR_REG_ID,2,BR_ID,18200,802260,9674609,12.059194,219477.331,41,1
rxvm,ILOADSETUNLINKN_REG_INT_REG,1,LOAD_REG_INT,0,669930,8596184,12.831466,0.000,41,1
rxvm,ILOADSETUNLINKN_REG_INT_REG,2,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
rxvm,ILOADSETUNLINKN_REG_INT_REG,3,UNLINK_REG,0,499186,6205911,12.432061,0.000,41,1
rxvm,ILOADSETUNLINKN_REG_INT_REG,4,UNLINK_REG,0,499186,6205911,12.432061,0.000,41,1
rxvm,SETLINKATTR1_REG_REG_INT_INT,1,SETATTRS_REG_INT,0,23625,347548,14.711026,0.000,41,1
rxvm,SETLINKATTR1_REG_REG_INT_INT,2,LINKATTR1_REG_REG_INT,0,306613,3963235,12.925854,0.000,41,1
rxvm,SETLINKATTR1_REG_REG_INT_REG,1,SETATTRS_REG_INT,19415,23625,347548,14.711026,285614.579,41,1
rxvm,SETLINKATTR1_REG_REG_INT_REG,2,LINKATTR1_REG_REG_REG,19415,214780,2854220,13.289040,258006.711,41,1
rxvm,SETLINKATTR1_REG_REG_INT_REG_INT,1,SETATTRS_REG_INT,0,23625,347548,14.711026,0.000,41,1
rxvm,SETLINKATTR1_REG_REG_INT_REG_INT,2,IADD_REG_REG_INT,0,575484,7445427,12.937679,0.000,41,1
rxvm,SETLINKATTR1_REG_REG_INT_REG_INT,3,LINKATTR1_REG_REG_REG,0,214780,2854220,13.289040,0.000,41,1
rxvm,MINLINKATTR1_REG_REG_INT,1,MINATTRS_REG_INT,28002,28003,426402,15.227011,426386.773,41,1
rxvm,MINLINKATTR1_REG_REG_INT,2,LINKATTR1_REG_REG_INT,28002,306613,3963235,12.925854,361949.775,41,1
rxvm,MINLINKATTR1_REG_REG_REG_INT,1,MINATTRS_REG_REG_INT,195365,195365,3084811,15.789988,3084811.000,41,1
rxvm,MINLINKATTR1_REG_REG_REG_INT,2,LINKATTR1_REG_REG_REG,195365,214780,2854220,13.289040,2596213.289,41,1
rxvm,ITOF_REG_REG,1,ICOPY_REG_REG,1,1125713,14246568,12.655595,12.656,41,1
rxvm,ITOF_REG_REG,2,ITOF_REG,1,401,7919,19.748130,19.748,41,1
rxvm,STOI_REG_REG,1,STOI_REG,0,11201,333906,29.810374,0.000,41,1
rxvm,STOI_REG_REG,2,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
rxvm,FDIVSUB_REG_REG_REG_FLOAT,1,FDIV_REG_REG_REG,0,1,166,166.000000,0.000,41,0
rxvm,FDIVSUB_REG_REG_REG_FLOAT,2,FSUB_REG_REG_FLOAT,0,0,0,0.000000,0.000,41,0
rxvm,FMULTICOPY_REG_FLOAT_REG_REG,1,FMULT_REG_REG_FLOAT,0,0,0,0.000000,0.000,41,0
rxvm,FMULTICOPY_REG_FLOAT_REG_REG,2,ICOPY_REG_REG,0,1125713,14246568,12.655595,0.000,41,1
