rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2014400,12,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R21;r2=R17;c1=int:2;c2=int:6;r3=R22;r4=R15;c3=int:1;r5=R20","benchmark_awfy_permute_opt",210
91,50,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | ILT_REG_REG_REG(r4,r1,r2)","r1=R14;c1=int:5;r2=R13;c2=int:0;r3=R7;c3=int:-1;r4=R12","benchmark_awfy_permute_opt",159
92,50,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R6;c1=int:3;c2=string@56;r2=R8;c3=int:0;r3=R7;c4=int:1","benchmark_awfy_permute_opt",82
93,50,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r3,r2)","r1=R6;c1=string@56;r2=R8;c2=int:0;r3=R7;c3=int:1","benchmark_awfy_permute_opt",85
94,50,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r4,c3)","r1=R11;r2=R13;r3=R14;c1=int:5;c2=int:0;r4=R7;c3=int:-1","benchmark_awfy_permute_opt",156
95,50,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r2) | LOAD_REG_INT(r1,c1)","r1=R7;r2=R5;r3=R6;r4=R10;c1=int:0","benchmark_awfy_permute_opt",98
96,50,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5) | INE_REG_REG_INT(r1,r4,c1)","r1=R29;r2=R5;r3=R10;r4=R2;r5=R9;c1=int:8660","benchmark_awfy_permute_opt",384
97,50,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IADD_REG_REG_INT(r5,r4,c1)","r1=R8;r2=R11;r3=R10;r4=R7;c1=int:1;r5=R12","benchmark_awfy_permute_opt",116
98,50,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3)","r1=R8;r2=R14;c1=int:5;r3=R12;c2=int:2;r4=R11;c3=int:256","benchmark_awfy_permute_opt",138
99,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R29;r2=R2;c1=string@16464;c2=int:0","benchmark_awfy_permute_opt",442
100,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_permute_opt",33
101,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R29;c1=string@15872;r2=R1;c2=string@16032;r3=R2","benchmark_awfy_permute_opt",432
102,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R5;r2=R4;r3=R1;r4=R29;c1=string@15872","benchmark_awfy_permute_opt",426
103,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R4;r2=R1;r3=R29;c1=string@15872;c2=string@16032","benchmark_awfy_permute_opt",428
104,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_permute_opt",25
105,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_permute_opt",45
106,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_permute_opt",29
107,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R29;c1=string@16464","benchmark_awfy_permute_opt",440
108,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R29;c1=string@15872;c2=string@16032;r3=R2","benchmark_awfy_permute_opt",430
109,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_permute_opt",39
110,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_permute_opt",22
111,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@426;r4=R6;c3=int:3","benchmark_awfy_permute_opt",72
112,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@426","benchmark_awfy_permute_opt",69
113,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_permute_opt",36
114,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R29;c1=string@16032;r2=R2","benchmark_awfy_permute_opt",436
115,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R31;c3=int:512;r2=R0","benchmark_awfy_permute_opt",6
116,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R31;c3=int:512","benchmark_awfy_permute_opt",4
117,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R31;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_permute_opt",8
118,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_permute_opt",43
