rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
266,16,1,1,2,candidate,"UNLINKN_REG_REG(r1,r2) | RET()","r1=R21;r2=R20","trace",4816
267,16,1,1,4,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R21;r2=R35;c1=int:16;r3=R20","trace",4792
268,16,1,1,3,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","r1=R19;r2=R35;c1=int:16","trace",4713
269,16,1,1,3,candidate,"UNLINK_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R23;r2=R21;r3=R3","trace",4811
270,12,8,2,5,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R11;r2=R1;c1=string@975576;c2=label@101;c3=label@93","floatformat",79
271,10,5,1,5,candidate,"LOAD_REG_STRING(r1,c1) | IGT_REG_REG_INT(r2,r3,c2)","r1=R5;c1=string@28856;r2=R47;r3=R33;c2=int:0","_typedformat",368
272,9,2,2,5,candidate,"BRT_ID_REG(c1,r1) | STRCHAR_REG_REG_REG(r2,r3,r4)","c1=label@1246;r1=R58;r2=R10;r3=R20;r4=R60","_typedformat",1147
273,8,5,2,3,candidate,"LOAD_REG_INT(r1,c1) | SETSTRPOS_REG_REG(r2,r1)","r1=R40;c1=int:0;r2=R23","_typedformat",378
274,8,1,1,5,candidate,"STRCHAR_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r4)","r1=R10;r2=R20;r3=R60;c1=label@1162;r4=R42","_typedformat",1150
275,7,2,1,4,candidate,"BRF_ID_REG(c1,r1) | APPENDCHAR_REG_REG(r2,r3)","c1=label@1055;r1=R60;r2=R0;r3=R32","_typedformat",1036
276,7,4,2,2,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r1,c1)","r1=R27;c1=int:0","floatformat",8
277,6,1,1,3,candidate,"APPENDCHAR_REG_REG(r1,r2) | BR_ID(c1)","r1=R34;r2=R10;c1=label@1204","_typedformat",1157
278,6,3,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | GETANDTP_REG_REG_INT(r3,r4,c1)","r1=R3;r2=R27;c1=int:256;r3=R5;r4=R28","floatformat",44
279,6,3,1,4,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R7;r2=R63;r3=R2;r4=R65","_typedformat",18
280,6,4,2,4,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R11;c1=int:0;c2=label@286","_typedformat",232
281,5,3,2,5,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | POSCHAR_REG_REG_REG(r1,r3,r4)","r1=R11;c1=int:0;r2=R47;r3=R28;r4=R43","_typedformat",216
282,5,5,1,2,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1)","r1=R29;r2=R32","benchmark_rexxcps_levelb_opt",210
283,5,3,2,4,candidate,"LOAD_REG_INT(r1,c1) | ISUB_REG_INT_REG(r2,c2,r1)","r1=R47;c1=int:1;r2=R11;c2=int:0","_typedformat",213
284,5,3,3,4,candidate,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:2;c2=label@15;r1=R62;c3=int:512","_typedformat",4
