rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
15,652400,2,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_STRING(r3,r1,c2) | STEMGET_REG_REG_REG(r1,r4,r3)","r1=R76;r2=R41;c1=string@42360;r3=R81;c2=string@17440;r4=R8","benchmark_rexxcps_levelb_opt",675
16,652400,2,1,5,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | REQ_REG_REG_STRING(r1,r2,c2)","r1=R81;r2=R76;c1=string@17440;r3=R8;c2=string@1272","benchmark_rexxcps_levelb_opt",679
17,652400,1,1,4,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R75;c1=string@34184;r2=R51;r3=R79","benchmark_rexxcps_levelb_opt",606
18,652400,1,1,3,candidate,"DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R79;c1=decimal@40208;r2=R76","benchmark_rexxcps_levelb_opt",625
19,652400,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1)","r1=R71;r2=R25;r3=R72;c1=int:0","benchmark_rexxcps_levelb_opt",560
20,652400,1,1,3,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1)","r1=R72;r2=R25;c1=string@38864","benchmark_rexxcps_levelb_opt",583
21,652400,1,1,5,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | ITOS_REG(r4)","r1=R67;r2=R25;r3=R68;c1=label@655;r4=R51","benchmark_rexxcps_levelb_opt",529
22,652400,1,1,5,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | ITOS_REG(r3)","r1=R72;r2=R25;c1=decimal@39416;c2=label@649;r3=R51","benchmark_rexxcps_levelb_opt",597
23,652400,1,1,3,candidate,"DTOS_REG(r1) | LOAD_REG_INT(r2,c1) | STRLEN_REG_REG(r2,r1)","r1=R71;r2=R72;c1=int:0","benchmark_rexxcps_levelb_opt",563
24,652400,1,1,3,candidate,"DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R72;c1=string@38864;c2=label@597","benchmark_rexxcps_levelb_opt",586
25,652400,1,1,6,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | DEQ_REG_REG_DECIMAL(r4,r5,c1)","r1=R76;r2=R4;r3=R75;r4=R79;r5=R25;c1=decimal@40640","benchmark_rexxcps_levelb_opt",632
26,652400,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | ITOS_REG(r1)","r1=R51;r2=R75;c1=string@34184","benchmark_rexxcps_levelb_opt",604
27,652400,2,1,12,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8) | NULLN_REG_REG_REG_REG(r9,r10,r11,r12)","r1=R13;r2=R11;r3=R10;r4=R9;r5=R7;r6=R6;r7=R5;r8=R3;r9=R2;r10=R0;r11=R42;r12=R43","benchmark_rexxcps_levelb_opt",464
28,652400,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1)","r1=R79;r2=R71;c1=decimal@40208","benchmark_rexxcps_levelb_opt",620
29,652400,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DGT_REG_REG_REG(r1,r3,r1)","r1=R72;r2=R65;r3=R25","benchmark_rexxcps_levelb_opt",546
30,652400,2,1,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c1)","r1=R90;c1=int:768;r2=R91;r3=R92","benchmark_rexxcps_levelb_opt",866
31,652400,2,1,5,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | REQ_REG_REG_STRING(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R76;r2=R8;r3=R81;c1=string@1272;c2=label@698","benchmark_rexxcps_levelb_opt",683
32,652400,1,1,7,candidate,"STEMSET_REG_REG_REG(r1,r2,r3) | DEQ_REG_REG_DECIMAL(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R4;r2=R75;r3=R76;r4=R79;r5=R25;c1=decimal@40640;c2=label@649","benchmark_rexxcps_levelb_opt",634
33,652400,1,1,3,candidate,"STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1)","r1=R79;c1=decimal@40208;r2=R76","benchmark_rexxcps_levelb_opt",623
