entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-stripped,12,16,105,UNLINK_REG,5518,69273,12,0,500,0.294362,complete
rexxcps-opaque-stripped,13,17,105,IGT_REG_REG_REG,5325,69066,12,0,208,0.293482,complete
rexxcps-opaque-stripped,14,21,91,LINKATTR1_REG_REG_INT,3415,45781,13,0,417,0.194537,complete
rexxcps-opaque-stripped,15,23,105,IADD_REG_REG_REG,3383,41082,12,0,167,0.174570,complete
rexxcps-opaque-stripped,16,20,91,ILT_REG_REG_INT,3303,45834,13,0,166,0.194763,complete
rexxcps-opaque-stripped,17,19,83,LOAD_REG_STRING,3257,46751,14,0,167,0.198659,complete
rexxcps-opaque-stripped,18,24,105,ISUB_REG_REG_INT,3061,38604,12,0,83,0.164040,complete
rexxcps-opaque-stripped,19,27,91,IMULT_REG_REG_INT,2745,35784,13,0,125,0.152057,complete
rexxcps-opaque-stripped,20,26,91,ILT_REG_REG_REG,2733,36513,13,0,334,0.155155,complete
rexxcps-opaque-stripped,21,28,91,IGT_REG_REG_INT,2523,33961,13,0,167,0.144311,complete
rexxcps-opaque-stripped,22,32,105,SETTP_REG_INT,2414,31198,12,0,166,0.132570,complete
rexxcps-opaque-stripped,23,31,91,STRLEN_REG_REG,2408,31331,13,0,1250,0.133135,complete
rexxcps-opaque-stripped,24,29,83,IEQ_REG_REG_REG,2376,33411,14,0,208,0.141973,complete
rexxcps-opaque-stripped,25,30,83,LINKATTR1_REG_REG_REG,2338,33293,14,0,250,0.141472,complete
rexxcps-opaque-stripped,26,25,74,MINATTRS_REG_REG_INT,2126,38303,18,0,1125,0.162761,complete
rexxcps-opaque-stripped,27,35,105,BCTP_ID_REG,2092,25823,12,0,375,0.109730,complete
rexxcps-opaque-stripped,28,18,56,SWAP_REG_REG,1966,59464,30,0,1167,0.252681,complete
rexxcps-opaque-stripped,29,36,105,INE_REG_REG_INT,1950,25200,12,0,167,0.107082,complete
rexxcps-opaque-stripped,30,38,105,IGTE_REG_REG_REG,1848,23804,12,0,208,0.101150,complete
rexxcps-opaque-stripped,31,41,83,ILTE_REG_REG_INT,1428,21047,14,0,125,0.089435,complete
rexxcps-opaque-stripped,32,46,105,IMOD_REG_REG_REG,1317,16418,12,0,167,0.069765,complete
rexxcps-opaque-stripped,33,2,11,COPY_REG_REG,1261,444749,352,0,7958,1.889873,complete
rexxcps-opaque-stripped,34,39,71,SETNUMFUZ_INT,1141,22711,19,0,8417,0.096506,complete
rexxcps-opaque-stripped,34,47,91,SETNUMSTD_INT,1141,15704,13,0,166,0.066731,complete
