rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,12515000,87,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21","rxjson",1169
115,50000,3,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1)","r1=R22;r2=R0;r3=R23;c1=int:0","rxjson",1151
116,50000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | REQ_REG_REG_STRING(r4,r2,c1)","r1=R22;r2=R38;r3=R21;r4=R35;c1=string@322688","rxjson",10408
117,50000,2,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILT_REG_REG_REG(r1,r2,r3)","r1=R46;r2=R60;c1=int:0;c2=label@12230;r3=R55","rxjson",12219
118,50000,1,1,5,over_3_symbols,"REQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | REQ_REG_REG_STRING(r1,r2,c3)","r1=R35;r2=R38;c1=string@322688;c2=label@10424;c3=string@1905032","rxjson",10413
119,50000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r1,c1) | BRT_ID_REG(c2,r3)","r1=R38;r2=R21;r3=R35;c1=string@322688;c2=label@10424","rxjson",10410
120,40000,2,1,5,over_3_symbols,"BCMPB_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R73;r2=R82;r3=R76;c1=int:0;c2=label@12759","rxjson",12743
121,40000,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BCMPB_REG_REG_REG(r1,r3,r4) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R73;r2=R74;r3=R82;r4=R76;c1=int:0","rxjson",12740
122,40000,2,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3)","r1=R73;c1=int:0;c2=label@12759;r2=R72;c3=int:1","rxjson",12747
123,40000,1,1,6,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R46;r2=R60;r3=R55;c1=label@12313;r4=R50;c2=int:-1","rxjson",12303
124,40000,2,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","r1=R23;c1=int:0;r2=R22;r3=R5","rxjson",1154
125,40000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R49;c1=int:-1;r2=R50;c2=int:0;r3=R45;c3=int:13","rxjson",1622
126,35000,1,1,5,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_REG(r4,r5,r3)","r1=R92;r2=R91;r3=R75;r4=R73;r5=R74","rxjson",12718
127,35000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BR_ID(c3)","c1=label@12759;r1=R73;r2=R72;c2=int:1;c3=label@12767","rxjson",12751
128,35000,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R76;r2=R90;r3=R91;r4=R92;c1=int:0","rxjson",12709
129,35000,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r4,r1) | IGT_REG_REG_REG(r3,r3,r5)","r1=R75;r2=R92;r3=R73;r4=R74;r5=R79","rxjson",12721
130,35000,1,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r1,r4) | BRF_ID_REG(c1,r1)","r1=R73;r2=R74;r3=R75;r4=R79;c1=label@12740","rxjson",12724
131,35000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_BINARY(r5,c1)","r1=R79;r2=R102;r3=R74;r4=R103;r5=R90;c1=binary@2345280","rxjson",12700
132,35000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_BINARY(r3,c1) | COPY_REG_REG(r4,r3)","r1=R74;r2=R103;r3=R90;c1=binary@2345280;r4=R76","rxjson",12703
133,35000,1,1,4,over_3_symbols,"LOAD_REG_BINARY(r1,c1) | COPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r2)","r1=R90;c1=binary@2345280;r2=R76;r3=R91","rxjson",12706
134,35000,7,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R5;c1=int:0;r2=R2;r3=R3","rxjson",1120
135,30000,1,1,5,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | BR_ID(c3)","r1=R71;r2=R79;c1=int:57;c2=label@13191;c3=label@13207","rxjson",13182
136,25000,5,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@9333;r1=R26;r2=R14;r3=R24;c2=label@9344","rxjson",9326
137,25000,5,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4)","r1=R26;r2=R22;c1=int:0;c2=label@9333;r3=R14;r4=R24","rxjson",9322
138,25000,5,1,4,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1)","r1=R9;r2=R40;r3=R8;c1=int:0","rxjson",9183
139,20000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | BR_ID(c3)","c1=label@13146;r1=R74;r2=R103;c2=int:1;c3=label@13207","rxjson",13137
140,20000,4,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1)","r1=R8;c1=int:0;r2=R9;r3=R10","rxjson",9186
141,20000,4,1,4,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c1)","r1=R8;r2=R9;r3=R10;c1=label@9197","rxjson",9189
142,15000,2,1,4,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r1,r2,r3)","r1=R38;r2=R42;r3=R0;c1=int:0","rxjson",10679
143,10000,1,1,3,candidate,"BCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1)","r1=R52;r2=R42;r3=R28","rxjson",14527
144,10000,1,1,4,over_3_symbols,"BLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c1)","r1=R24;r2=R26;r3=R54;c1=label@14564","rxjson",14556
145,10000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IGTE_REG_REG_REG(r1,r2,r3)","c1=label@13117;r1=R74;r2=R103;c2=int:1;r3=R75","rxjson",13110
146,10000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r4,r2,c3)","c1=label@14761;r1=R48;r2=R45;r3=R84;c2=int:1;r4=R86;c3=int:0","rxjson",14470
147,10000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | ISUB_REG_REG_INT(r5,r2,c2)","c1=label@14624;r1=R42;r2=R26;r3=R40;r4=R30;r5=R53;c2=int:2","rxjson",14539
148,10000,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2)","c1=label@10974;r1=R34;r2=R30;c2=int:0;r3=R35","rxjson",10963
149,10000,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R28;r2=R52;r3=R42;r4=R31;c1=int:0;c2=label@14624","rxjson",14532
150,10000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INE_REG_REG_REG(r3,r4,r3)","r1=R26;r2=R24;r3=R54;r4=R53","rxjson",14564
151,10000,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | REQ_REG_REG_STRING(r3,r3,c1)","r1=R23;r2=R24;r3=R27;c1=string@322688","rxjson",9403
152,10000,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R34;r2=R30;c1=int:0;c2=label@10974","rxjson",10957
153,10000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | IEQ_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c1,r2)","r1=R45;r2=R57;r3=R84;r4=R85;c1=label@14771","rxjson",14759
154,10000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | INE_REG_REG_REG(r2,r3,r2) | ICOPY_REG_REG(r4,r2)","r1=R24;r2=R54;r3=R53;r4=R26","rxjson",14566
155,10000,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | REQ_REG_REG_STRING(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R24;r2=R27;c1=string@322688;c2=label@9420","rxjson",9405
156,10000,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IGTE_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2)","r1=R103;c1=int:1;r2=R74;r3=R75;c2=label@13129","rxjson",13113
157,10000,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_REG(r4,r3,r1)","r1=R45;r2=R84;c1=int:1;r3=R86;c2=int:0;r4=R42","rxjson",14473
158,10000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | MINATTRS_REG_REG_INT(r5,r6,c1)","r1=R40;r2=R17;r3=R31;r4=R18;r5=R87;r6=R45;c1=int:0","rxjson",14500
159,10000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | MINATTRS_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_REG(r5,r3,r4)","r1=R31;r2=R18;r3=R87;r4=R45;c1=int:0;r5=R42","rxjson",14503
160,10000,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r3,r4,c1)","r1=R38;r2=R36;r3=R42;r4=R0;c1=int:0","rxjson",10676
161,10000,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ISUB_REG_REG_REG(r3,r4,r5)","r1=R42;r2=R31;c1=int:0;c2=label@14624;r3=R26;r4=R40;r5=R30","rxjson",14535
162,10000,1,1,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R41;r2=R42;c1=int:0;c2=label@14759","rxjson",14485
163,10000,1,1,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r4,r2,c2)","r1=R48;r2=R84;r3=R85;c1=label@14761;r4=R45;c2=int:1","rxjson",14466
164,10000,1,1,5,over_3_symbols,"INE_REG_REG_REG(r1,r2,r1) | ICOPY_REG_REG(r3,r1) | BRTF_ID_ID_REG(c1,c2,r3)","r1=R54;r2=R53;r3=R26;c1=label@14582;c2=label@14590","rxjson",14568
165,10000,1,1,6,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2)","r1=R53;r2=R26;c1=int:2;r3=R28;r4=R24;c2=int:0","rxjson",14546
166,10000,1,1,6,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r1,c1) | COPY_REG_REG(r1,r5)","r1=R26;r2=R40;r3=R30;r4=R53;c1=int:2;r5=R28","rxjson",14542
167,10000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BCOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R42;r2=R89;r3=R45;r4=R52","rxjson",14523
168,10000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1)","r1=R42;r2=R86;r3=R45;r4=R41;c1=int:0","rxjson",14481
169,10000,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4)","r1=R38;r2=R41;r3=R0;r4=R36;c1=int:0","rxjson",10669
170,10000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R42;r2=R87;r3=R45;r4=R29","rxjson",14510
171,10000,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1)","r1=R24;c1=int:0;r2=R26;r3=R54","rxjson",14553
172,10000,2,1,3,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R36;c1=int:0;r2=R38","rxjson",10673
173,10000,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2)","r1=R1;c1=int:1;r2=R12;r3=R40;r4=R11;c2=int:0","rxjson",9213
174,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | BCOPY_REG_REG(r4,r3)","r1=R89;r2=R45;c1=int:0;r3=R42;r4=R52","rxjson",14519
175,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | IEQ_REG_REG_INT(r4,r3,c1)","r1=R86;r2=R45;c1=int:0;r3=R42;r4=R41","rxjson",14477
176,10000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r4,r3)","r1=R87;r2=R45;c1=int:0;r3=R42;r4=R29","rxjson",14506
177,10000,2,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R9;r2=R22;r3=R36;r4=R38;c1=int:0","rxjson",10634
178,10000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | MINATTRS_REG_REG_INT(r3,r4,c1)","r1=R29;r2=R42;r3=R89;r4=R45;c1=int:0","rxjson",14514
179,10000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4)","r1=R42;c1=label@14759;r2=R41;r3=R38;r4=R80","rxjson",14489
180,10000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1)","r1=R42;r2=R28;r3=R52;r4=R31;c1=int:0","rxjson",14530
181,5000,1,1,3,candidate,"BCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | BR_ID(c1)","r1=R38;r2=R36;c1=label@9228","rxjson",11048
182,5000,1,1,5,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R23;r2=R22;r3=R5;r4=R24;c1=int:5","rxjson",1157
183,5000,1,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | ENDLIFE_REG(r3)","c1=label@14759;r1=R55;r2=R21;r3=R45","rxjson",14753
184,5000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@12628;r1=R82;r2=R110;c2=int:0;c3=label@12643","rxjson",12621
185,5000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r2,r3,r4) | BRTF_ID_ID_REG(c2,c3,r2)","c1=label@10569;r1=R21;r2=R19;r3=R35;r4=R23;c2=label@10575;c3=label@10580","rxjson",10558
186,5000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | RLTE_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@10941;r1=R31;r2=R34;c2=string@2197360;c3=label@10949","rxjson",10934
187,5000,1,1,6,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3)","c1=label@135;r1=R4;r2=R7;c2=string@3224;r3=R8;c3=string@5336","benchmark_json_parser_opt",79
188,5000,1,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3)","c1=label@10977;r1=R35;r2=R31;r3=R30","rxjson",10752
189,5000,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R3;r2=R11;r3=R8;r4=R1;c1=label@11055","rxjson",9225
190,5000,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R5;r2=R23;r3=R24;c1=int:5;r4=R16;c2=int:256","rxjson",1160
191,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4)","r1=R20;r2=R21;r3=R7;r4=R37","rxjson",1459
192,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | IEQ_REG_REG_INT(r1,r3,c1)","r1=R36;r2=R35;r3=R34;c1=int:0","rxjson",10711
193,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | IGT_REG_REG_REG(r1,r3,r4)","r1=R35;r2=R34;r3=R36;r4=R33","rxjson",10744
194,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | BGT_ID_REG_INT(c1,r2,c2)","r1=R21;r2=R7;r3=R37;c1=label@1472;c2=int:0","rxjson",1461
195,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R35;r2=R36;r3=R34;c1=int:0;c2=label@10727","rxjson",10713
196,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c1,r2)","r1=R34;r2=R35;r3=R36;r4=R33;c1=label@10977","rxjson",10746
197,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | INE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R38;r2=R15;r3=R5;c1=label@1425","rxjson",1411
198,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r1,r3,r4)","r1=R19;r2=R34;c1=int:0;r3=R27;r4=R37","rxjson",1572
199,5000,1,1,2,candidate,"ENDLIFE_REG(r1) | NULL_REG(r1) | NULL_REG(r2)","r1=R38;r2=R36","rxjson",10435
200,5000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | RGTE_REG_REG_STRING(r4,r2,c1)","r1=R17;r2=R34;r3=R16;r4=R31;c1=string@324776","rxjson",10925
201,5000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | SCOPY_REG_REG(r4,r2)","r1=R23;r2=R9;r3=R22;r4=R36","rxjson",10632
202,5000,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | MINATTRS_REG_REG_INT(r2,r1,c2) | LINKATTR1_REG_REG_REG(r3,r2,r1)","r1=R0;c1=int:1;r2=R41;c2=int:0;r3=R38","rxjson",10661
203,5000,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R27;r2=R20;c1=int:1;r3=R42;r4=R33;r5=R43;r6=R28","rxjson",1499
204,5000,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BCMPB_REG_REG_REG(r3,r4,r5)","r1=R54;r2=R30;c1=int:1;r3=R26;r4=R38;r5=R28","rxjson",14590
205,5000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ENDLIFE_REG(r2) | IEQ_REG_REG_REG(r3,r4,r5)","r1=R21;r2=R45;r3=R57;r4=R84;r5=R85","rxjson",14756
206,5000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r5,r6)","r1=R37;r2=R1;r3=R27;r4=R20;c1=int:1;r5=R42;r6=R33","rxjson",1496
207,5000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r1,c1)","r1=R20;r2=R3;r3=R37;r4=R1;r5=R27;c1=int:1","rxjson",1493
208,5000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R112;r2=R51;r3=R113;r4=R103;r5=R82;c1=int:1","rxjson",12637
209,5000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ILTE_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c1,r3)","r1=R10;r2=R1;r3=R36;r4=R3;c1=label@10435","rxjson",10228
210,5000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ISUB_REG_REG_REG(r3,r4,r2) | LOAD_REG_STRING(r5,c1)","r1=R27;r2=R10;r3=R35;r4=R1;r5=R34;c1=string@321248","rxjson",10454
211,5000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BR_ID(c2)","r1=R113;r2=R103;r3=R82;c1=int:1;c2=label@12668","rxjson",12640
212,5000,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | ICOPY_REG_REG(r2,r3)","r1=R55;c1=int:1;c2=label@14759;r2=R21;r3=R45","rxjson",14749
213,5000,1,1,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c1)","r1=R34;r2=R30;c1=int:0;c2=label@10974","rxjson",10959
214,5000,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3)","r1=R82;r2=R110;c1=int:0;c2=label@12643;c3=int:1","rxjson",12624
215,5000,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | NULL_REG(r3)","r1=R38;r2=R2;c1=int:5;c2=label@1940;r3=R26","rxjson",1472
216,5000,1,1,6,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R82;r2=R60;r3=R55;c1=label@12628;r4=R110;c2=int:0","rxjson",12617
217,5000,1,1,6,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r4,r5,r3)","r1=R21;r2=R36;r3=R23;c1=label@10569;r4=R19;r5=R35","rxjson",10554
218,5000,1,1,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_STRING(r4,c2)","r1=R4;r2=R5;r3=R1;c1=label@135;r4=R7;c2=string@3224","benchmark_json_parser_opt",75
219,5000,1,1,5,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULL_REG(r4)","r1=R35;r2=R36;r3=R33;c1=label@10977;r4=R31","rxjson",10748
220,5000,1,1,7,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | LOAD_REG_STRING(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R35;r2=R1;r3=R10;r4=R34;c1=string@321248;r5=R31;c2=int:0","rxjson",10457
221,5000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R38;r2=R42;r3=R0;r4=R9","rxjson",10685
222,5000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | STOBIN_REG(r4)","r1=R38;r2=R44;r3=R0;r4=R36;r5=R9","rxjson",11039
223,5000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R111;c1=int:5;r2=R112;r3=R51;r4=R113;r5=R103","rxjson",12634
224,5000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r3,r4,r5)","r1=R29;c1=int:0;r2=R31;r3=R19;r4=R27;r5=R37","rxjson",1609
225,5000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R1;c1=int:0;r2=R28;r3=R24;c2=int:13","rxjson",1230
226,5000,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | NULL_REG(r3)","r1=R3;c1=int:0;r2=R1;r3=R17","rxjson",1126
227,5000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r4)","r1=R110;c1=int:1;r2=R111;c2=int:5;r3=R112;r4=R51","rxjson",12631
228,5000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2)","r1=R32;c1=int:1;r2=R30;c2=int:0;r3=R29","rxjson",1603
229,5000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SCOPY_REG_REG(r3,r4)","r1=R0;c1=int:0;r2=R1;c2=int:1;r3=R12;r4=R40","rxjson",9210
230,5000,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | NULL_REG(r2) | NULL_REG(r3)","r1=R1;c1=int:0;r2=R17;r3=R19","rxjson",1129
231,5000,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R6;c1=int:2;r2=R7;c2=int:256;r3=R8;c3=int:768","benchmark_json_parser_opt",88
