phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,10,130,rxbvml,spin-w4,accepted,5699.020480855,44920.000
recorded,10,131,rxbvml,spin-w1,candidate,1578.580634022,162171.000
recorded,10,132,rxbvml,spin-w1,accepted,1625.840705716,157457.000
recorded,11,133,rxbvml,spin-w1,accepted,1580.764077136,161947.000
recorded,11,134,rxbvml,spin-w1,candidate,1532.741391801,167021.000
recorded,11,135,rxbvml,spin-w4,accepted,5637.028229180,45414.000
recorded,11,136,rxbvml,spin-w4,candidate,6249.847415835,40961.000
recorded,11,137,rxbvml,channel-latency,accepted,137523.502551705606,7446
recorded,11,137,rxbvml,channel-throughput,accepted,3022.503482962998,84698
recorded,11,138,rxbvml,channel-latency,candidate,145785.876993166283,7024
recorded,11,138,rxbvml,channel-throughput,candidate,2912.334190348342,87902
recorded,11,139,rxtvml,spin-w1,accepted,1240.532459792,206363.000
recorded,11,140,rxtvml,spin-w1,candidate,1273.974102495,200946.000
recorded,11,141,rxtvml,spin-w4,accepted,4880.187582210,52457.000
recorded,11,142,rxtvml,spin-w4,candidate,4745.134383689,53950.000
recorded,11,143,rxtvml,channel-latency,accepted,128000.000000000000,8000
recorded,11,143,rxtvml,channel-throughput,accepted,2570.126297612594,99606
recorded,11,144,rxtvml,channel-latency,candidate,44861.123280469641,22826
recorded,11,144,rxtvml,channel-throughput,candidate,2425.689568587320,105537
recorded,12,145,rxtvml,channel-latency,candidate,133594.259621656878,7665
recorded,12,145,rxtvml,channel-throughput,candidate,2557.238182762616,100108
recorded,12,146,rxtvml,channel-latency,accepted,131467.454101938638,7789
recorded,12,146,rxtvml,channel-throughput,accepted,2558.925251394414,100042
recorded,12,147,rxtvml,spin-w4,candidate,4582.557639983,55864.000
recorded,12,148,rxtvml,spin-w4,accepted,4650.233419920,55051.000
recorded,12,149,rxtvml,spin-w1,candidate,1220.721751736,209712.000
recorded,12,150,rxtvml,spin-w1,accepted,1256.269077133,203778.000
recorded,12,151,rxbvml,channel-latency,candidate,132368.148914167541,7736
recorded,12,151,rxbvml,channel-throughput,candidate,2992.716942752598,85541
recorded,12,152,rxbvml,channel-latency,accepted,88565.992042899146,11562
recorded,12,152,rxbvml,channel-throughput,accepted,2795.705970361149,91569
recorded,12,153,rxbvml,spin-w4,candidate,5945.330825147,43059.000
recorded,12,154,rxbvml,spin-w4,accepted,5876.141945554,43566.000
recorded,12,155,rxbvml,spin-w1,candidate,1549.965186329,165165.000
recorded,12,156,rxbvml,spin-w1,accepted,1641.088759824,155994.000
