rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,109230,6,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R16;c1=int:0;c2=label@948;r3=R6;r4=R14;c3=int:2;r5=R15","benchmark_awfy_towers_opt",923
90,10,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | INE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R9;r2=R37;r3=R2;c1=int:8191;c2=label@373","benchmark_awfy_towers_opt",338
91,10,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@376;r4=R6;c2=int:8;c3=string@8","benchmark_awfy_towers_opt",64
92,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | LOAD_REG_INT(r2,c2)","r1=R6;c1=int:1;r2=R7;r3=R5;r4=R10;c2=int:13","benchmark_awfy_towers_opt",101
93,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | COPY_REG_REG(r3,r1)","r1=R6;c1=int:7;r2=R7;c2=int:0;c3=int:1;r3=R5","benchmark_awfy_towers_opt",94
94,10,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r2,c2)","r1=R6;c1=int:5;r2=R7;c2=int:0;c3=int:7","benchmark_awfy_towers_opt",87
95,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3) | LOAD_REG_INT(r3,c2)","r1=R6;c1=int:3;r2=R8;r3=R7;c2=int:0;c3=int:5","benchmark_awfy_towers_opt",80
96,10,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | INE_REG_REG_INT(r1,r3,c2)","r1=R37;r2=R5;c1=int:1;r3=R9;r4=R2;c2=int:8191","benchmark_awfy_towers_opt",334
97,10,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r5,c3)","r1=R13;c1=int:-1;r2=R12;r3=R7;r4=R11;c2=label@168;r5=R14;c3=int:4","benchmark_awfy_towers_opt",117
98,10,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | COPY_REG_REG(r4,r3)","r1=R7;c1=int:0;r2=R6;c2=int:1;r3=R5;r4=R10","benchmark_awfy_towers_opt",98
99,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c3)","r1=R17;c1=int:0;r2=R5;c2=int:1;r3=R20;r4=R23;c3=int:12","benchmark_awfy_towers_opt",173
100,10,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r2,c3,r3)","r1=R8;c1=int:0;r2=R6;c2=int:3;r3=R7;c3=int:5","benchmark_awfy_towers_opt",77
101,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R11;c1=int:0;r2=R13;c2=int:-1;r3=R12;r4=R7;c3=label@168","benchmark_awfy_towers_opt",114
102,10,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | ILT_REG_REG_REG(r4,r1,r2)","r1=R7;c1=int:13;r2=R11;c2=int:0;r3=R13;c3=int:-1;r4=R12","benchmark_awfy_towers_opt",111
103,10,1,1,6,candidate,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R29;r2=R30;r3=R27;c1=string@11;r4=R25;c2=int:2","benchmark_awfy_towers_opt",205
104,10,1,1,6,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | ISETATTR1_REG_INT_REG(r1,c4,r2)","r1=R6;c1=int:8;c2=string@8;r2=R8;c3=int:0;c4=int:3","benchmark_awfy_towers_opt",71
105,10,1,1,6,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r3,c2)","r1=R6;c1=string@8;r2=R8;c2=int:0;c3=int:3;r3=R7","benchmark_awfy_towers_opt",74
106,10,1,1,5,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R29;c1=string@11;r2=R25;r3=R30;c2=int:2","benchmark_awfy_towers_opt",210
107,10,1,1,5,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r4,r1)","r1=R25;r2=R31;r3=R29;c1=int:2;r4=R24","benchmark_awfy_towers_opt",220
108,10,1,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | COPY_REG_REG(r4,r2) | LOAD_REG_INT(r5,c2)","r1=R24;r2=R27;c1=int:1;r3=R23;r4=R20;r5=R35;c2=int:12","benchmark_awfy_towers_opt",303
109,10,1,1,4,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R25;r2=R30;c1=int:2;r3=R23","benchmark_awfy_towers_opt",249
110,1,1,1,4,candidate,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R37;r2=R2;c1=string@21504;c2=int:0","benchmark_awfy_towers_opt",390
111,1,1,1,6,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2) | IGETUNLINK_REG_REG(r4,r2)","c1=label@39;r1=R4;r2=R5;r3=R0;c2=int:1;r4=R1","benchmark_awfy_towers_opt",27
112,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R37;c1=string@20944;r2=R1;c2=string@21096;r3=R2","benchmark_awfy_towers_opt",380
113,1,1,1,5,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R37;c1=string@20944;c2=string@21096","benchmark_awfy_towers_opt",376
114,1,1,1,6,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINLINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@39;r3=R5","benchmark_awfy_towers_opt",19
115,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1) | STOI_REG(r2)","r1=R4;c1=int:1;c2=label@39;r2=R5;r3=R0","benchmark_awfy_towers_opt",23
116,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R37;c1=string@21504","benchmark_awfy_towers_opt",388
117,1,1,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R37;c1=string@20944;c2=string@21096;r3=R2","benchmark_awfy_towers_opt",378
118,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@39","benchmark_awfy_towers_opt",16
119,1,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@376;r4=R6;c3=int:8","benchmark_awfy_towers_opt",61
120,1,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@376","benchmark_awfy_towers_opt",58
121,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1) | ILT_REG_REG_INT(r1,r3,c1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_towers_opt",30
122,1,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1) | BR_ID(c5)","c1=int:18;c2=int:1;c3=label@13;r1=R39;c4=int:512;r2=R0;c5=label@16","benchmark_awfy_towers_opt",0
123,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R37;c1=string@21096;r2=R2","benchmark_awfy_towers_opt",384
124,1,1,1,4,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R5;r2=R1;c1=int:1;c2=label@58","benchmark_awfy_towers_opt",34
