rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6169002,64,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R7;r2=R6;r3=R28;r4=R29","benchmark_base64_roundtrip_opt",361
86,170500,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4) | IMULT_REG_REG_INT(r5,r6,c1)","r1=R38;r2=R36;r3=R18;r4=R35;r5=R39;r6=R21;c1=int:4","benchmark_base64_roundtrip_opt",2234
87,170500,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4) | RNE_REG_REG_STRING(r5,r6,c1)","r1=R38;r2=R36;r3=R19;r4=R35;r5=R39;r6=R23;c1=string@58824","benchmark_base64_roundtrip_opt",2148
88,170500,1,1,9,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | IMULT_REG_REG_INT(r4,r5,c1) | IDIV_REG_REG_INT(r6,r7,c2)","r1=R36;r2=R18;r3=R35;r4=R39;r5=R21;c1=int:4;r6=R38;r7=R20;c2=int:16","benchmark_base64_roundtrip_opt",2236
89,170500,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | RNE_REG_REG_STRING(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R36;r2=R19;r3=R35;r4=R39;r5=R23;c1=string@58824;c2=label@2241","benchmark_base64_roundtrip_opt",2150
90,170500,1,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r1) | BLE_ID_REG_INT(c2,r5,c3) | IADD_REG_REG_INT(r6,r2,c3)","r1=R36;r2=R19;c1=int:1;r3=R6;r4=R16;c2=label@227;r5=R33;c3=int:2;r6=R35","benchmark_base64_roundtrip_opt",207
91,170500,1,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r1) | IDIV_REG_REG_INT(r5,r6,c2) | IMOD_REG_REG_INT(r7,r6,c2)","r1=R35;r2=R19;c1=int:2;r3=R28;r4=R16;r5=R29;r6=R7;c2=int:4;r7=R36","benchmark_base64_roundtrip_opt",219
92,170500,1,1,7,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c1) | IADD_REG_REG_INT(r5,r5,c2)","r1=R38;r2=R18;r3=R6;r4=R4;c1=int:1;r5=R2;c2=int:4","benchmark_base64_roundtrip_opt",2329
93,170500,1,1,7,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c1) | IADD_REG_REG_INT(r5,r6,c1)","r1=R38;r2=R36;r3=R6;r4=R4;c1=int:1;r5=R39;r6=R3","benchmark_base64_roundtrip_opt",2291
94,170500,1,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | IMULT_REG_REG_INT(r3,r4,c1) | IDIV_REG_REG_INT(r5,r6,c2) | IADD_REG_REG_REG(r3,r3,r5)","r1=R18;r2=R35;r3=R39;r4=R21;c1=int:4;r5=R38;r6=R20;c2=int:16","benchmark_base64_roundtrip_opt",2238
95,170500,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | RNE_REG_REG_STRING(r3,r4,c1) | BRF_ID_REG(c2,r3) | SCOPY_REG_REG(r5,r4)","r1=R19;r2=R35;r3=R39;r4=R23;c1=string@58824;c2=label@2241;r5=R38","benchmark_base64_roundtrip_opt",2152
96,170500,1,1,8,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r4,c1) | BGETU8_REG_REG_REG(r5,r6,r3)","r1=R35;r2=R33;c1=int:1;c2=label@215;r3=R36;r4=R19;r5=R6;r6=R16","benchmark_base64_roundtrip_opt",200
97,170500,1,1,6,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r1,r1,r3)","r1=R38;r2=R20;c1=int:16;r3=R36;r4=R19;c2=int:4","benchmark_base64_roundtrip_opt",2279
98,170500,1,1,7,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2) | IADD_REG_REG_REG(r1,r1,r3) | BSETU8_REG_REG_REG(r4,r5,r1)","r1=R38;r2=R19;c1=int:4;c2=int:64;r3=R18;r4=R6;r5=R4","benchmark_base64_roundtrip_opt",2321
99,170500,1,1,6,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c2)","r1=R38;c1=int:64;r2=R18;r3=R6;r4=R4;c2=int:1","benchmark_base64_roundtrip_opt",2325
100,170500,1,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r4,r5,r1)","r1=R38;c1=int:16;r2=R36;r3=R19;c2=int:4;r4=R6;r5=R4","benchmark_base64_roundtrip_opt",2283
101,170500,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IADD_REG_REG_INT(r4,r5,c2)","r1=R28;c1=int:0;r2=R35;r3=R33;c2=int:1;c3=label@215;r4=R36;r5=R19","benchmark_base64_roundtrip_opt",197
102,170500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | RNE_REG_REG_STRING(r2,r3,c2) | BRF_ID_REG(c3,r2) | SCOPY_REG_REG(r4,r3)","r1=R18;c1=int:0;r2=R39;r3=R24;c2=string@58824;c3=label@2155;r4=R38","benchmark_base64_roundtrip_opt",2066
103,170500,1,1,7,over_3_symbols,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IMOD_REG_REG_INT(r3,r4,c3) | IMULT_REG_REG_INT(r3,r3,c3)","r1=R39;r2=R24;c1=string@58824;c2=label@2303;r3=R38;r4=R20;c3=int:16","benchmark_base64_roundtrip_opt",2272
104,170500,1,1,8,over_3_symbols,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IMOD_REG_REG_INT(r3,r4,c3) | IMULT_REG_REG_INT(r3,r3,c4)","r1=R39;r2=R23;c1=string@58824;c2=label@2341;r3=R38;r4=R19;c3=int:4;c4=int:64","benchmark_base64_roundtrip_opt",2314
105,1024,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IADD_REG_REG_REG(r5,r5,r2) | BCTP_ID_REG(c2,r4)","c1=label@684;r1=R37;r2=R36;r3=R41;r4=R39;r5=R40;c2=label@666","benchmark_base64_roundtrip_opt",670
106,1024,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r2,r2,c3) | IMOD_REG_REG_INT(r2,r2,c4)","c1=label@108;r1=R6;r2=R14;r3=R8;c2=int:31;c3=int:7;c4=int:256","benchmark_base64_roundtrip_opt",86
107,1024,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | BSETU8_REG_REG_REG(r2,r3,r1) | BCTP_ID_REG(c3,r3)","r1=R14;c1=int:7;c2=int:256;r2=R9;r3=R8;c3=label@82","benchmark_base64_roundtrip_opt",93
108,1024,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IADD_REG_REG_REG(r6,r6,r4)","r1=R37;r2=R39;r3=R38;c1=label@684;r4=R36;r5=R41;r6=R40","benchmark_base64_roundtrip_opt",666
109,1024,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r4,r2,c2) | IADD_REG_REG_INT(r4,r4,c3)","r1=R6;r2=R8;r3=R7;c1=label@108;r4=R14;c2=int:31;c3=int:7","benchmark_base64_roundtrip_opt",82
110,1024,1,1,6,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2) | IMOD_REG_REG_INT(r1,r1,c3) | BSETU8_REG_REG_REG(r3,r2,r1)","r1=R14;r2=R8;c1=int:31;c2=int:7;c3=int:256;r3=R9","benchmark_base64_roundtrip_opt",89
111,1001,3,1,6,over_3_symbols,"BRESIZE_REG_REG(r1,r2) | BLEN_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | LOAD_REG_INT(r5,c1)","r1=R9;r2=R12;r3=R13;r4=R10;r5=R8;c1=int:0","benchmark_base64_roundtrip_opt",67
112,1001,3,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | BRESIZE_REG_REG(r2,r3) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r4,r1)","r1=R13;c1=int:0;r2=R9;r3=R12;r4=R10","benchmark_base64_roundtrip_opt",64
113,1000,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | REQ_REG_REG_STRING(r4,r4,c1)","r1=R18;r2=R19;r3=R20;r4=R23;c1=string@58824","benchmark_base64_roundtrip_opt",967
114,1000,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | REQ_REG_REG_STRING(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R19;r2=R20;r3=R23;c1=string@58824;c2=label@984","benchmark_base64_roundtrip_opt",969
115,1000,2,1,6,over_3_symbols,"ENDLIFE_REG(r1) | REQ_REG_REG_STRING(r2,r2,c1) | BRF_ID_REG(c2,r2) | IADD_REG_REG_INT(r3,r3,c3)","r1=R20;r2=R23;c1=string@58824;c2=label@984;r3=R5;c3=int:1","benchmark_base64_roundtrip_opt",971
116,1000,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BRESIZE_REG_REG(r4,r1) | BLEN_REG_REG(r3,r4)","r1=R26;r2=R17;r3=R27;c1=int:0;r4=R21","benchmark_base64_roundtrip_opt",158
117,501,2,1,7,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R13;r2=R9;r3=R10;r4=R8;c1=int:0;r5=R7;c2=int:1023","benchmark_base64_roundtrip_opt",70
118,501,2,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_base64_roundtrip_opt",0
119,501,2,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R2","benchmark_base64_roundtrip_opt",4
120,501,2,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_base64_roundtrip_opt",2
121,500,1,1,5,over_3_symbols,"BCOPY_REG_REG(r1,r2) | BINTOS_REG(r1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R3;r2=R21;r3=R38;c1=int:1;c2=int:256","benchmark_base64_roundtrip_opt",377
122,500,1,1,5,over_3_symbols,"BINTOS_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r3,r1)","r1=R3;r2=R38;c1=int:1;c2=int:256;r3=R39","benchmark_base64_roundtrip_opt",380
123,500,1,1,6,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_INT(r4,r3,c1) | IDIV_REG_REG_INT(r4,r4,c2)","r1=R23;r2=R22;r3=R18;r4=R7;c1=int:2;c2=int:3","benchmark_base64_roundtrip_opt",140
124,500,1,1,6,over_3_symbols,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c1)","r1=R27;r2=R21;r3=R24;r4=R19;c1=int:0;r5=R20","benchmark_base64_roundtrip_opt",167
125,500,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IDIV_REG_REG_INT(r1,r3,c3) | IMULT_REG_REG_INT(r1,r1,c4)","c1=label@1168;r1=R24;r2=R5;c2=int:1;r3=R1;c3=int:4;c4=int:3","benchmark_base64_roundtrip_opt",1161
126,500,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | NULL_REG(r1) | NULL_REG(r3)","c1=label@984;r1=R23;r2=R5;c2=int:1;r3=R21","benchmark_base64_roundtrip_opt",977
127,500,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IEQ_REG_REG_REG(r2,r4,r5)","c1=label@1335;r1=R36;r2=R37;r3=R33;c2=int:0;c3=label@1306;r4=R13;r5=R35","benchmark_base64_roundtrip_opt",1292
128,500,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | NULL_REG(r2) | COPY_REG_REG(r3,r4) | LOAD_REG_BINARY(r5,c2)","c1=label@401;r1=R8;r2=R21;r3=R16;r4=R4;r5=R15;c2=binary@9328","benchmark_base64_roundtrip_opt",123
129,500,1,1,8,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1) | IADD_REG_REG_INT(r5,r5,c2) | BR_ID(c3)","r1=R21;r2=R36;r3=R35;r4=R19;c1=int:3;r5=R20;c2=int:4;c3=label@179","benchmark_base64_roundtrip_opt",347
130,500,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r1,c1) | IDIV_REG_REG_INT(r3,r3,c2) | IMULT_REG_REG_INT(r4,r3,c3)","r1=R18;r2=R23;r3=R7;c1=int:2;c2=int:3;r4=R17;c3=int:4","benchmark_base64_roundtrip_opt",143
131,500,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_BINARY(r3,c1) | COPY_REG_REG(r4,r1) | LOAD_REG_INT(r5,c2)","r1=R16;r2=R4;r3=R15;c1=binary@9328;r4=R22;r5=R23;c2=int:0","benchmark_base64_roundtrip_opt",128
132,500,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R22;r2=R16;r3=R23;c1=int:0;r4=R18","benchmark_base64_roundtrip_opt",134
133,500,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1) | ILT_REG_REG_REG(r5,r3,r6)","r1=R24;r2=R27;r3=R19;c1=int:0;r4=R20;r5=R34;r6=R18","benchmark_base64_roundtrip_opt",170
134,500,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | ILTE_REG_REG_REG(r5,r3,r6)","r1=R25;r2=R28;r3=R2;c1=int:1;r4=R4;c2=int:0;r5=R17;r6=R1","benchmark_base64_roundtrip_opt",1192
135,500,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | NULL_REG(r4) | NULL_REG(r5)","r1=R1;r2=R7;r3=R5;c1=int:0;r4=R9;r5=R10","benchmark_base64_roundtrip_opt",795
136,500,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | BCOPY_REG_REG(r2,r3) | BINTOS_REG(r2) | LOAD_REG_INT(r4,c1)","r1=R33;r2=R3;r3=R21;r4=R38;c1=int:1","benchmark_base64_roundtrip_opt",375
137,500,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | BCOPY_REG_REG(r3,r4) | BINTOS_REG(r3)","r1=R32;r2=R33;r3=R3;r4=R21","benchmark_base64_roundtrip_opt",373
138,500,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | BCOPY_REG_REG(r4,r5)","r1=R31;r2=R32;r3=R33;r4=R3;r5=R21","benchmark_base64_roundtrip_opt",371
139,500,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R20;r2=R19;r3=R18;r4=R6","benchmark_base64_roundtrip_opt",2353
140,500,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2) | IMULT_REG_REG_INT(r2,r2,c3) | ISUB_REG_REG_REG(r4,r2,r1)","r1=R5;c1=int:1;r2=R24;r3=R1;c2=int:4;c3=int:3;r4=R3","benchmark_base64_roundtrip_opt",1164
141,500,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R5;c1=int:1;r2=R23;r3=R21;r4=R19","benchmark_base64_roundtrip_opt",980
142,500,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r1,r1,c2) | IMULT_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r4,r3)","r1=R7;r2=R18;c1=int:2;c2=int:3;r3=R17;c3=int:4;r4=R26","benchmark_base64_roundtrip_opt",146
143,500,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | BSETU8_REG_REG_REG(r4,r1,r3) | IADD_REG_REG_INT(r5,r5,c1)","r1=R36;r2=R20;c1=int:3;r3=R35;c2=int:61;r4=R21;r5=R19","benchmark_base64_roundtrip_opt",340
144,500,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | BSETU8_REG_REG_REG(r4,r1,r3) | IGT_REG_REG_INT(r3,r5,c1)","r1=R38;r2=R20;c1=int:2;r3=R39;c2=int:61;r4=R21;r5=R33","benchmark_base64_roundtrip_opt",308
145,500,1,1,7,over_3_symbols,"IDIV_REG_REG_INT(r1,r1,c1) | IMULT_REG_REG_INT(r2,r1,c2) | ICOPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c3)","r1=R7;c1=int:3;r2=R17;c2=int:4;r3=R26;r4=R27;c3=int:0","benchmark_base64_roundtrip_opt",150
146,500,1,1,7,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2) | ISUB_REG_REG_REG(r3,r1,r4) | ICOPY_REG_REG(r5,r3)","r1=R24;r2=R1;c1=int:4;c2=int:3;r3=R3;r4=R5;r5=R27","benchmark_base64_roundtrip_opt",1168
147,500,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4) | BRF_ID_REG(c3,r1)","r1=R37;r2=R33;c1=int:0;c2=label@1306;r3=R13;r4=R35;c3=label@1317","benchmark_base64_roundtrip_opt",1295
148,500,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULL_REG(r4) | COPY_REG_REG(r5,r6)","r1=R8;r2=R14;r3=R5;c1=label@401;r4=R21;r5=R16;r6=R4","benchmark_base64_roundtrip_opt",119
149,500,1,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r1,r3) | ICOPY_REG_REG(r4,r2) | LOAD_REG_INT(r5,c2)","r1=R24;c1=int:3;r2=R3;r3=R5;r4=R27;r5=R28;c2=int:0","benchmark_base64_roundtrip_opt",1172
150,500,1,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | BRESIZE_REG_REG(r5,r3)","r1=R17;r2=R7;c1=int:4;r3=R26;r4=R27;c2=int:0;r5=R21","benchmark_base64_roundtrip_opt",154
151,500,1,1,9,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2) | LOAD_REG_INT(r4,c3) | LOAD_REG_STRING(r5,c4)","r1=R14;r2=R1;c1=int:1;r3=R20;c2=string@50384;r4=R18;c3=int:0;r5=R15;c4=string@288","benchmark_base64_roundtrip_opt",1001
152,500,1,1,7,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | LOAD_REG_INT(r5,c1) | BRESIZE_REG_REG(r6,r4)","r1=R3;r2=R24;r3=R5;r4=R27;r5=R28;c1=int:0;r6=R6","benchmark_base64_roundtrip_opt",1176
153,500,1,1,6,over_3_symbols,"LOAD_REG_BINARY(r1,c1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | BLEN_REG_REG(r4,r2)","r1=R15;c1=binary@9328;r2=R22;r3=R16;r4=R23;c2=int:0","benchmark_base64_roundtrip_opt",131
154,500,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_INT(r4,r3,c2)","r1=R23;c1=int:0;r2=R22;r3=R18;r4=R7;c2=int:2","benchmark_base64_roundtrip_opt",137
155,500,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IADD_REG_REG_INT(r4,r4,c2) | IADD_REG_REG_INT(r5,r5,c3)","r1=R35;c1=int:61;r2=R21;r3=R36;r4=R19;c2=int:3;r5=R20;c3=int:4","benchmark_base64_roundtrip_opt",344
156,500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_INT(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R39;c1=int:61;r2=R21;r3=R38;r4=R33;c2=int:2;c3=label@340","benchmark_base64_roundtrip_opt",312
157,500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILTE_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | NULL_REG(r5)","r1=R4;c1=int:0;r2=R17;r3=R2;r4=R1;c2=label@2347;r5=R14","benchmark_base64_roundtrip_opt",1198
158,500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | ISUB_REG_REG_REG(r5,r4,r3)","r1=R20;c1=int:0;r2=R34;r3=R19;r4=R18;c2=label@361;r5=R33","benchmark_base64_roundtrip_opt",176
159,500,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c2,r3)","r1=R19;c1=int:0;r2=R20;r3=R34;r4=R18;c2=label@361","benchmark_base64_roundtrip_opt",173
160,500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILTE_REG_REG_REG(r3,r1,r4) | BRF_ID_REG(c3,r3)","r1=R2;c1=int:1;r2=R4;c2=int:0;r3=R17;r4=R1;c3=label@2347","benchmark_base64_roundtrip_opt",1195
161,500,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R5;c1=int:0;r2=R9;r3=R10;r4=R12","benchmark_base64_roundtrip_opt",798
162,500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R38;c1=int:1;r2=R3;c2=int:256;r3=R39;r4=R2;c3=func@24808","benchmark_base64_roundtrip_opt",382
163,500,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R7;c1=int:0;r2=R8;r3=R1;r4=R5","benchmark_base64_roundtrip_opt",789
164,500,1,1,6,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_BINARY(r4,c1) | COPY_REG_REG(r5,r2)","r1=R21;r2=R16;r3=R4;r4=R15;c1=binary@9328;r5=R22","benchmark_base64_roundtrip_opt",126
165,500,1,1,7,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4) | ISUB_REG_REG_INT(r5,r6,c1)","r1=R13;r2=R11;r3=R12;r4=R41;r5=R14;r6=R1;c1=int:1","benchmark_base64_roundtrip_opt",994
166,500,1,1,8,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | LOAD_REG_STRING(r6,c2)","r1=R11;r2=R12;r3=R41;r4=R14;r5=R1;c1=int:1;r6=R20;c2=string@50384","benchmark_base64_roundtrip_opt",996
167,500,1,1,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | STRLEN_REG_REG(r4,r2)","r1=R6;r2=R8;r3=R41;r4=R7;c1=int:0","benchmark_base64_roundtrip_opt",784
168,500,1,1,7,over_3_symbols,"REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IDIV_REG_REG_INT(r1,r3,c4)","r1=R24;c1=string@58824;c2=label@1168;r2=R5;c3=int:1;r3=R1;c4=int:4","benchmark_base64_roundtrip_opt",1157
169,500,1,1,5,over_3_symbols,"REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | NULL_REG(r1)","r1=R23;c1=string@58824;c2=label@984;r2=R5;c3=int:1","benchmark_base64_roundtrip_opt",973
170,500,1,1,9,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | LOAD_REG_STRING(r5,c2) | LOAD_REG_INT(r6,c3)","r1=R12;r2=R41;r3=R14;r4=R1;c1=int:1;r5=R20;c2=string@50384;r6=R18;c3=int:0","benchmark_base64_roundtrip_opt",998
171,500,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R8;r2=R41;r3=R7;c1=int:0;r4=R1","benchmark_base64_roundtrip_opt",786
172,500,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | SCOPY_REG_REG(r2,r3)","c1=int:1;r1=R6;r2=R8;r3=R41","benchmark_base64_roundtrip_opt",780
