vm,opcode,baseline_count,candidate_count,delta
rxvm,SETSTRPOS_REG_REG,94444,94444,+0
rxvm,SETTPCALL_REG_FUNC_REG_REG_INT,0,56968,+56968
rxvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,0,10100,+10100
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,0,1407,+1407
rxvm,SETTPSWAP_REG_INT_REG,0,2800,+2800
rxvm,SETTP_REG_INT,216807,82239,-134568
rxvm,SRCFPROCSEL_REG_STRING_REG,7,7,+0
rxvm,SRCMETHODSEL_REG_REG_STRING,2814,2814,+0
rxvm,STOD_REG,8300,8300,+0
rxvm,STOF_REG,200,200,+0
rxvm,STOI_REG,11201,11200,-1
rxvm,STRCHAR_REG_REG_REG,575055,575055,+0
rxvm,STRLEN_REG_REG,224960,224960,+0
rxvm,STRLOWER_REG_REG,16,16,+0
rxvm,STRPOS_REG_REG_REG,3200,3200,+0
rxvm,STRUPPER_REG_REG,37268,37268,+0
rxvm,SUBSTRING_REG_REG_REG,94444,94444,+0
rxvm,SWAPCALL_REG_FUNC_REG_REG_REG,0,802,+802
rxvm,SWAPN_REG_REG_REG_REG,0,11200,+11200
rxvm,SWAPN_REG_REG_REG_REG_REG_REG,0,1409,+1409
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,0,1406,+1406
rxvm,SWAPSETTP_REG_REG_REG_INT,0,2,+2
rxvm,SWAP_REG_REG,163212,58169,-105043
rxvm,UNLINKBR_REG_ID,0,18200,+18200
rxvm,UNLINKLINKATTR1_REG_REG_REG_INT,0,15,+15
rxvm,UNLINKN_REG_REG,0,44136,+44136
rxvm,UNLINK_REG,499186,323284,-175902
