entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
richards-noopt,2,awfy_richards.richardsscheduler.run,inclusive_body,benchmark_awfy_richards_noopt,method,1,333223208,333223208,1,0,.boolean,,complete
richards-noopt,2,awfy_richards.richardsscheduler.run,self,benchmark_awfy_richards_noopt,method,1,8666,8666,1,0,.boolean,,complete
richards-noopt,2,awfy_richards.richardsscheduler.run,native_child,benchmark_awfy_richards_noopt,method,1,0,0,1,0,.boolean,,complete
richards-noopt,2,awfy_richards.richardsscheduler.run,entry_overhead,benchmark_awfy_richards_noopt,method,1,2042,2042,1,0,.boolean,,complete
richards-noopt,2,awfy_richards.richardsscheduler.run,exit_overhead,benchmark_awfy_richards_noopt,method,1,542,542,1,0,.boolean,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,elapsed,benchmark_awfy_richards_noopt,method,1,333177375,333177375,1,0,.void,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,inclusive_body,benchmark_awfy_richards_noopt,method,1,333175833,333175833,1,0,.void,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,self,benchmark_awfy_richards_noopt,method,1,51160817,51160817,1,0,.void,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,native_child,benchmark_awfy_richards_noopt,method,1,0,0,1,0,.void,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,entry_overhead,benchmark_awfy_richards_noopt,method,1,1292,1292,1,0,.void,,complete
richards-noopt,3,awfy_richards.richardsscheduler.schedule,exit_overhead,benchmark_awfy_richards_noopt,method,1,250,250,1,0,.void,,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,elapsed,benchmark_awfy_richards_noopt,method,65790,232978305,3541,65790,0,.int,identity=.int,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,inclusive_body,benchmark_awfy_richards_noopt,method,65790,220060589,3344,65790,0,.int,identity=.int,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,self,benchmark_awfy_richards_noopt,method,65790,35595052,541,65790,0,.int,identity=.int,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,native_child,benchmark_awfy_richards_noopt,method,65790,0,0,65790,0,.int,identity=.int,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,entry_overhead,benchmark_awfy_richards_noopt,method,65790,9013971,137,65790,0,.int,identity=.int,complete
richards-noopt,4,awfy_richards.richardsscheduler.runtask,exit_overhead,benchmark_awfy_richards_noopt,method,65790,3903745,59,65790,0,.int,identity=.int,complete
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,elapsed,benchmark_awfy_richards_noopt,method,23252,63719124,2740,23252,0,.int,"identity=.int,work=.int",complete
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,inclusive_body,benchmark_awfy_richards_noopt,method,23252,58840374,2530,23252,0,.int,"identity=.int,work=.int",complete
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,self,benchmark_awfy_richards_noopt,method,23252,21976319,945,23252,0,.int,"identity=.int,work=.int",complete
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,native_child,benchmark_awfy_richards_noopt,method,23252,0,0,23252,0,.int,"identity=.int,work=.int",complete
richards-noopt,5,awfy_richards.richardsscheduler.runhandler,entry_overhead,benchmark_awfy_richards_noopt,method,23252,3272416,140,23252,0,.int,"identity=.int,work=.int",complete
