cell,procedure,symbol,type
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.source,.string
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.has_source,.int
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.asm_line,.string
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.procedure,.string
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.stem.§factory,.rxfnsb..stem
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.stem.get,.string
canonical-opt,__rxtrace_reset_display_state(),rxfnsb.stem.set,.void
opaque-noopt,main(),rexxcps_levelb_opaque.main,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.j,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.rc,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.argv,.string[*]
opaque-noopt,main(),rexxcps_levelb_opaque.main.rexxcps,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.count,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.averaging,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.variant,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_zero,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_one,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_marker,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_key,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_digits,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_failure,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_nine,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_question,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_foo_bar,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_with,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.opaque_args,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.tracevar,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.fixed_counts,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.version_info,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.system,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.acompound,.stem
opaque-noopt,main(),rexxcps_levelb_opaque.main.avar,.stem
opaque-noopt,main(),rexxcps_levelb_opaque.main.empty,.float
opaque-noopt,main(),rexxcps_levelb_opaque.main.full,.float
opaque-noopt,main(),rexxcps_levelb_opaque.main.total,.float
opaque-noopt,main(),rexxcps_levelb_opaque.main.innertime,.float
opaque-noopt,main(),rexxcps_levelb_opaque.main.thousand,.float
opaque-noopt,main(),rexxcps_levelb_opaque.main.flag,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_one,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_two,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_one_point_one,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_two_point_two,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_five,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.classic_ninety_nine_point_seven,.decimal
opaque-noopt,main(),rexxcps_levelb_opaque.main.i,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.trial,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.__rxtrace_mode,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p0,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.lvar,.int
opaque-noopt,main(),rexxcps_levelb_opaque.main.p1,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p2,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p3,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p4,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p5,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p6,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p7,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.p8,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.v1,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.v2,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.key1,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main._parseresult,.string[*]
opaque-noopt,main(),rexxcps_levelb_opaque.main._source,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.text,.string
opaque-noopt,main(),rexxcps_levelb_opaque.main.observed,.string
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine,.void
opaque-noopt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a1,.string
