rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
27,685000,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R12;r2=R18;c1=label@16","substr",8
28,685000,1,1,4,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R12;r2=R11;r3=R9;r4=R1","substr",208
29,685000,1,1,3,candidate,"SETTP_REG_INT(r1,c1) | BR_ID(c2)","r1=R4;c1=int:0;c2=label@53","substr",33
30,685000,6,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r2,c2,r3,r4,c3)","r1=R11;c1=int:256;r2=R13;c2=func@33856;r3=R8;r4=R12;c3=int:512","benchmark_base64_roundtrip_noopt",609
31,685000,1,1,4,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1)","r1=R7;r2=R4;r3=R14;c1=int:1","substr",97
32,685000,1,1,5,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R13;r2=R12;r3=R11;r4=R19;c1=int:1","substr",110
33,685000,1,1,5,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_REG(r4,r5,r3)","r1=R9;r2=R12;r3=R1;r4=R8;r5=R20","substr",211
34,684000,4,1,4,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R23;r2=R13;c1=string@34032;c2=label@877","benchmark_base64_roundtrip_noopt",859
35,683503,3,2,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3)","c1=int:18;c2=int:1;r1=R3;c3=int:3","benchmark_base64_roundtrip_noopt",1003
36,683000,4,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1)","r1=R18;r2=R0;r3=R11;r4=R6;r5=R5","benchmark_base64_roundtrip_noopt",468
37,683000,1,1,4,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_INT(r1,c3)","c1=label@14;r1=R8;c2=int:256;c3=int:1","pos",4
38,683000,1,1,4,candidate,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r1,r2,c2)","c1=label@35;r1=R4;r2=R7;c2=string@28856","pos",28
39,683000,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | STRPOS_REG_REG_REG(r1,r3,r4)","r1=R0;r2=R8;r3=R6;r4=R7","pos",40
40,683000,1,1,4,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r2,r1,c2)","r1=R2;r2=R7;c1=int:1;c2=int:0","benchmark_base64_roundtrip_noopt",1034
41,683000,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R8;c1=int:1;c2=int:0","pos",8
42,683000,1,1,4,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R4;r2=R7;c1=string@28856;c2=label@40","pos",31
43,683000,1,1,4,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R4;r2=R6;c1=string@28856;c2=label@35","pos",24
44,683000,4,1,5,candidate,"SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r2,c2,r3,r1)","r1=R0;c1=int:256;r2=R11;c2=func@38792;r3=R17","benchmark_base64_roundtrip_noopt",750
45,683000,1,1,4,candidate,"SETTP_REG_INT(r1,c1) | ILT_REG_REG_INT(r2,r1,c2)","r1=R8;c1=int:0;r2=R4;c2=int:1","pos",11
46,683000,4,1,3,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1)","r1=R17;c1=int:256;r2=R0","benchmark_base64_roundtrip_noopt",747
47,683000,1,1,3,candidate,"STRPOS_REG_REG_REG(r1,r2,r3) | RET_REG(r1)","r1=R0;r2=R6;r3=R7","pos",43
48,683000,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R5;r3=R2;r4=R7;c1=int:1","benchmark_base64_roundtrip_noopt",1031
49,683000,1,1,7,candidate,"SWAP_REG_REG(r1,r2) | SETTPCALL_REG_FUNC_REG_REG_INT(r3,c1,r4,r5,c2)","r1=R5;r2=R10;r3=R7;c1=func@51584;r4=R3;r5=R6;c2=int:0","benchmark_base64_roundtrip_noopt",1019
50,682000,4,1,5,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2)","c1=label@413;r1=R17;r2=R18;r3=R4;c2=int:1","benchmark_base64_roundtrip_noopt",402
51,512500,3,1,4,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2)","r1=R18;r2=R9;c1=int:4;c2=int:16","benchmark_base64_roundtrip_noopt",432
52,512000,3,1,4,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1)","r1=R7;r2=R5;r3=R23;c1=int:1","benchmark_base64_roundtrip_noopt",907
53,512000,3,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5)","r1=R18;r2=R5;c1=int:1;r3=R17;r4=R0;r5=R12","benchmark_base64_roundtrip_noopt",476
