rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
70,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R4;r2=R7;r3=R23;r4=R22;c1=int:1","benchmark_awfy_storage_opt",358
71,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R7;r2=R8;r3=R25;r4=R10;r5=R4","benchmark_awfy_storage_opt",352
72,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r3)","r1=R25;r2=R10;r3=R4;r4=R7;r5=R23","benchmark_awfy_storage_opt",355
73,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IADD_REG_REG_INT(r4,r3,c1)","r1=R10;r2=R25;r3=R1;c1=int:1;r4=R0","benchmark_awfy_storage_opt",250
74,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3)","r1=R23;r2=R4;r3=R22;c1=int:1;r4=R21","benchmark_awfy_storage_opt",361
75,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r4,c2,r3)","r1=R3;r2=R6;r3=R1;c1=int:0;r4=R25;c2=int:1","benchmark_awfy_storage_opt",240
76,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R8;r2=R11;r3=R1;c1=int:1;r4=R0;c2=int:4","benchmark_awfy_storage_opt",280
77,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r3,c2,r1)","r1=R5;r2=R6;c1=int:256;r3=R2;c2=func@6344","benchmark_awfy_storage_opt",84
78,10,1,1,5,candidate,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","r1=R2;r2=R7;r3=R8;r4=R25;r5=R10","benchmark_awfy_storage_opt",350
79,10,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2)","r1=R3;r2=R4;r3=R1;c1=label@126;r4=R6;c2=int:2","benchmark_awfy_storage_opt",64
80,10,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R25;c1=int:1;r2=R1;r3=R10","benchmark_awfy_storage_opt",246
81,10,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r2,c1)","r1=R11;c1=int:1;r2=R1;r3=R8","benchmark_awfy_storage_opt",276
82,10,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r2,c2)","r1=R6;c1=int:1;r2=R1;r3=R3;c2=int:0","benchmark_awfy_storage_opt",236
83,10,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | SETTP_REG_INT(r3,c2)","r1=R6;c1=int:1;r2=R8;r3=R5;c2=int:256","benchmark_awfy_storage_opt",80
84,10,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BR_ID(c2)","r1=R22;r2=R23;c1=int:1;r3=R21;c2=label@373","benchmark_awfy_storage_opt",364
85,10,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SETATTRS_REG_INT(r1,c3) | SETOBJTYPE_REG_STRING(r1,c4)","c1=int:18;c2=int:1;r1=R6;c3=int:2;c4=string@10","benchmark_awfy_storage_opt",223
