comparison,compiler,engine,workload,candidate,baseline,ratio_higher_is_better,percent
r3_inline_vs_r2_inline,gcc,rxbvm,Richards,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,0.9815820344054903,-1.84179655945097
r3_inline_vs_r2_inline,gcc,rxbvm,Base64,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,0.989478888646171,-1.052111135382905
r3_inline_vs_r2_inline,gcc,rxbvm,Towers,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,1.0032885122975541,0.32885122975541137
r3_inline_vs_r2_inline,gcc,rxbvm,RexxCPS,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,1.005850227676173,0.5850227676172937
r3_profile30_vs_r2_inline,gcc,rxbvm,Sieve,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.3830460216858886,38.304602168588865
r3_profile30_vs_r2_inline,gcc,rxbvm,Permute,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.1244920831344074,12.44920831344074
r3_profile30_vs_r2_inline,gcc,rxbvm,Bounce,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.224266672628102,22.426667262810195
r3_profile30_vs_r2_inline,gcc,rxbvm,Richards,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.0572896998911159,5.7289699891115875
r3_profile30_vs_r2_inline,gcc,rxbvm,Base64,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.042970790265361,4.29707902653611
r3_profile30_vs_r2_inline,gcc,rxbvm,Towers,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,1.0096954376678273,0.9695437667827322
r3_profile30_vs_r2_inline,gcc,rxbvm,RexxCPS,rxbvm-gcc-r3-profile30,rxbvm-gcc-r2-inline,0.9184932851830598,-8.150671481694015
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Sieve,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.5909324933157332,59.09324933157332
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Permute,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.3348241205481008,33.482412054810084
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Bounce,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.5494110160187862,54.941101601878614
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Richards,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.0776257767204693,7.762577672046933
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Base64,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.0820921373226382,8.20921373226382
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,Towers,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,1.02695960096841,2.6959600968410102
rxtvm_vs_rxbvm_r2-inline,gcc,rxtvm,RexxCPS,rxtvm-gcc-r2-inline,rxbvm-gcc-r2-inline,0.8345697243099461,-16.543027569005385
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Sieve,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.4805720086190357,48.05720086190357
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Permute,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.3121784606745066,31.21784606745066
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Bounce,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.3823272007512024,38.23272007512024
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Richards,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.0741956416757215,7.419564167572146
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Base64,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.0652001079933509,6.520010799335085
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,Towers,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,1.0156202173734863,1.562021737348629
rxtvm_vs_rxbvm_r3-inline,gcc,rxtvm,RexxCPS,rxtvm-gcc-r3-inline,rxbvm-gcc-r3-inline,0.8448731840915406,-15.512681590845945
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Sieve,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9834750380616123,-1.6524961938387706
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Permute,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9304987024850576,-6.950129751494238
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Bounce,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9501200076704391,-4.987999232956087
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Richards,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9733753911396069,-2.6624608860393084
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Base64,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9561285089347019,-4.387149106529808
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,Towers,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,1.0011799671575425,0.11799671575425386
rxtvm_vs_rxbvm_r3-profile30,gcc,rxtvm,RexxCPS,rxtvm-gcc-r3-profile30,rxbvm-gcc-r3-profile30,0.9747240511934882,-2.527594880651185
