-- Install configuration: "Release"
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_treemap_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/address_argv_fixture
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rxmath.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_catalog.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxvml.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_cipher_static.a
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/rxllama_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rexxscript.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_contract.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_keyaccess_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfnsl.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rcc_provider.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_libs
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/linein_stdin_harness
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_system_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_llist.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvme
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/classlib.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/platform_terminal_harness
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_mc_decimal.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_db_decimal.rxvmplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_recv390_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfs_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxid_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_stack.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxseq
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libdecnumber.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_mc_decimal_manual.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxsqlite_address.rxbin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/syslib.rexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_terminal_view.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxstats.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_hash.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_arrays.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/classlib_native.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfloat.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rxpa_session_failure.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxgraph
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxsqlite.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_tui.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libcrexxsaa.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxcexits.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rxtcp.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxaslib.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxdas
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_instrumented
