rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R7;r2=R27;r3=R43;c1=label@1289;r4=R8;r5=R42;r6=R6;c2=int:32","rxjson",1226
84,80000,1,1,17,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c3,r4,c4,r5) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r6,r7,r8,r9,r10,r11,r12,r13)","r1=R46;r2=R15;c1=int:123;c2=label@10283;r3=R47;c3=int:14;r4=R101;c4=int:256;r5=R48;r6=R49;r7=R102;r8=R50;r9=R103;r10=R51;r11=R4;r12=R52;r13=R104","rxjson",10198
85,80000,1,1,21,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r12,r13,r14,c2,r15) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r16,c2,r17,r18,r19)","r1=R47;c1=int:14;r2=R101;c2=int:256;r3=R48;r4=R49;r5=R102;r6=R50;r7=R103;r8=R51;r9=R4;r10=R52;r11=R104;r12=R53;r13=R105;r14=R106;r15=R54;r16=R107;r17=R55;r18=R108;r19=R56","rxjson",10205
86,80000,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IADD_REG_REG_INT(r1,r1,c2) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r1,r5)","c1=int:18;c2=int:1;r1=R82;r2=R21;r3=R80;r4=R12;r5=R81","rxjson",11643
87,80000,1,1,18,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAP_REG_INT_REG(r5,c1,r6) | SWAPN_REG_REG_REG_REG_REG_REG(r7,r8,r9,r10,r11,r12) | SWAPCALL_REG_FUNC_REG_REG_REG(r13,c2,r14,r15,r16)","r1=R107;c1=int:256;r2=R55;r3=R108;r4=R56;r5=R109;r6=R57;r7=R58;r8=R110;r9=R59;r10=R111;r11=R60;r12=R112;r13=R43;c2=func@2271360;r14=R47;r15=R113;r16=R61","rxjson",10226
88,80000,1,1,21,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG(r17,r18,r19,r20) | RET_REG(r21)","r1=R104;r2=R52;r3=R105;r4=R53;r5=R106;r6=R54;r7=R107;r8=R55;r9=R108;r10=R56;r11=R109;r12=R57;r13=R110;r14=R58;r15=R111;r16=R59;r17=R112;r18=R60;r19=R113;r20=R61;r21=R43","rxjson",10258
89,80000,1,1,28,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22,r23,r24) | SWAPN_REG_REG_REG_REG(r25,r26,r27,r28)","r1=R101;r2=R48;r3=R102;r4=R49;r5=R103;r6=R50;r7=R4;r8=R51;r9=R104;r10=R52;r11=R105;r12=R53;r13=R106;r14=R54;r15=R107;r16=R55;r17=R108;r18=R56;r19=R109;r20=R57;r21=R110;r22=R58;r23=R111;r24=R59;r25=R112;r26=R60;r27=R113;r28=R61","rxjson",10249
90,80000,1,1,19,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r9,r10,r11,c1,r12) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r13,c1,r14,r15,r16) | SETTPSWAP_REG_INT_REG(r17,c1,r18)","r1=R49;r2=R102;r3=R50;r4=R103;r5=R51;r6=R4;r7=R52;r8=R104;r9=R53;r10=R105;r11=R106;c1=int:256;r12=R54;r13=R107;r14=R55;r15=R108;r16=R56;r17=R109;r18=R57","rxjson",10211
91,80000,1,1,17,candidate,"SWAPSETTPSWAP_REG_REG_REG_INT_REG(r1,r2,r3,c1,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SETTPSWAP_REG_INT_REG(r9,c1,r10) | SWAPN_REG_REG_REG_REG_REG_REG(r11,r12,r13,r14,r15,r16)","r1=R53;r2=R105;r3=R106;c1=int:256;r4=R54;r5=R107;r6=R55;r7=R108;r8=R56;r9=R109;r10=R57;r11=R58;r12=R110;r13=R59;r14=R111;r15=R60;r16=R112","rxjson",10220
92,70000,5,1,7,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R25;r2=R14;c1=int:0;c2=label@7953;r3=R26;r4=R22;c3=label@7924","rxjson",7906
93,70000,5,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R17;c1=int:0;r2=R20;c2=string@28856;r3=R25;r4=R21;c3=int:1;c4=label@7865","rxjson",7849
94,70000,5,1,9,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | ILT_REG_REG_INT(r4,r5,c4)","r1=R15;c1=string@312872;r2=R17;c2=int:0;r3=R20;c3=string@28856;r4=R25;r5=R21;c4=int:1","rxjson",7846
95,70000,5,1,11,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7) | SCOPY_REG_REG(r8,r9) | ICOPY_REG_REG(r10,r11)","r1=R13;r2=R14;r3=R16;r4=R18;r5=R19;r6=R22;r7=R24;r8=R23;r9=R40;r10=R21;r11=R5","rxjson",7831
96,70000,5,1,8,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R24;r2=R23;r3=R22;r4=R21;c1=int:1;r5=R13;c2=label@7896;c3=int:0","rxjson",7878
97,65000,4,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_STRING(r5,c3)","r1=R21;r2=R5;r3=R15;c1=string@312872;r4=R17;c2=int:0;r5=R20;c3=string@28856","rxjson",7843
98,65000,4,1,9,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7) | LOAD_REG_STRING(r8,c1)","r1=R19;r2=R22;r3=R24;r4=R23;r5=R40;r6=R21;r7=R5;r8=R15;c1=string@312872","rxjson",7836
99,65000,4,1,8,candidate,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | LOAD_REG_INT(r6,c2)","r1=R23;r2=R40;r3=R21;r4=R5;r5=R15;c1=string@312872;r6=R17;c2=int:0","rxjson",7840
100,65000,4,1,8,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R23;r2=R22;r3=R20;r4=R14;r5=R19;c1=int:1;c2=label@7969;c3=int:0","rxjson",7946
101,55000,2,1,11,candidate,"BRF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG(r6,r7,r8) | SCOPY_REG_REG(r9,r10)","c1=label@9368;r1=R0;r2=R13;r3=R14;r4=R16;r5=R18;r6=R19;r7=R22;r8=R24;r9=R23;r10=R40","rxjson",7828
102,55000,2,1,11,candidate,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7) | NULLN_REG_REG_REG(r8,r9,r10)","r1=R0;r2=R5;r3=R11;c1=label@9368;r4=R13;r5=R14;r6=R16;r7=R18;r8=R19;r9=R22;r10=R24","rxjson",7824
103,50000,2,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c3,r1)","r1=R46;r2=R60;c1=int:0;c2=label@10470;r3=R55;c3=label@10532","rxjson",10459
104,50000,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | ILT_REG_REG_REG(r2,r3,r4)","r1=R50;c1=int:-1;r2=R46;r3=R60;c2=int:0;c3=label@10470;r4=R55","rxjson",10456
105,50000,1,1,6,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | REQ_REG_REG_STRING(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R35;r2=R38;c1=string@313672;c2=label@8835;c3=string@1907176;c4=label@8840","rxjson",8824
106,50000,1,1,6,candidate,"SCOPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r1,c1) | BRT_ID_REG(c2,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R38;r2=R21;r3=R35;c1=string@313672;c2=label@8835;c3=string@1907176","rxjson",8821
107,40000,2,1,7,candidate,"BCMPB_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c3)","r1=R73;r2=R82;r3=R76;c1=int:0;c2=label@10942;r4=R72;c3=int:1","rxjson",10926
108,40000,1,1,16,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c3,r4,c4,r5) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r6,r7,r8,r9,r10,r2,r11,r12)","c1=label@10542;r1=R46;r2=R50;c2=int:-1;r3=R70;c3=int:13;r4=R58;c4=int:256;r5=R71;r6=R72;r7=R57;r8=R73;r9=R103;r10=R74;r11=R75;r12=R55","rxjson",10536
109,40000,1,1,11,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r4,c4,r5,c5,r6)","c1=label@1589;r1=R8;r2=R49;c2=int:-1;r3=R50;c3=int:0;r4=R45;c4=int:13;r5=R33;c5=int:256;r6=R46","rxjson",1334
110,40000,2,1,5,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R22;r2=R1;r3=R23;c1=int:0;r4=R2","rxjson",921
111,40000,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | BCMPB_REG_REG_REG(r1,r3,r4) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R73;r2=R74;r3=R82;r4=R76;c1=int:0;c2=label@10942","rxjson",10923
112,40000,1,1,11,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r5,c3,r6,c4,r7)","r1=R46;r2=R60;r3=R55;c1=label@10542;r4=R50;c2=int:-1;r5=R70;c3=int:13;r6=R58;c4=int:256;r7=R71","rxjson",10532
113,40000,1,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R8;r2=R27;r3=R37;c1=label@1589;r4=R49;c2=int:-1;r5=R50;c3=int:0","rxjson",1330
114,40000,1,1,17,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG(r4,r5,r6,r7) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r8,c2,r9,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c2,r13,r14,r15)","r1=R45;c1=int:13;r2=R33;c2=int:256;r3=R46;r4=R47;r5=R28;r6=R48;r7=R27;r8=R24;r9=R51;r10=R10;r11=R52;r12=R25;r13=R53;r14=R26;r15=R54","rxjson",1343
115,40000,1,1,15,candidate,"LOAD_REG_INT(r1,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4) | SWAPN_REG_REG_REG_REG(r5,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c3,r10,r11,r12)","r1=R50;c1=int:0;r2=R45;c2=int:13;r3=R33;c3=int:256;r4=R46;r5=R47;r6=R28;r7=R48;r8=R27;r9=R24;r10=R51;r11=R10;r12=R52","rxjson",1340
116,40000,1,1,18,candidate,"LOAD_REG_INT(r1,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r5,r6,r7,r8,r9,r1,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c3,r13,r14,r15)","r1=R50;c1=int:-1;r2=R70;c2=int:13;r3=R58;c3=int:256;r4=R71;r5=R72;r6=R57;r7=R73;r8=R103;r9=R74;r10=R75;r11=R55;r12=R53;r13=R76;r14=R52;r15=R77","rxjson",10539
117,40000,1,1,13,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r3,c3,r4,c4,r5) | SWAPN_REG_REG_REG_REG(r6,r7,r8,r9)","r1=R49;c1=int:-1;r2=R50;c2=int:0;r3=R45;c3=int:13;r4=R33;c4=int:256;r5=R46;r6=R47;r7=R28;r8=R48;r9=R27","rxjson",1337
118,40000,1,1,19,candidate,"SWAPN_REG_REG_REG_REG(r1,r2,r3,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c1,r10,r11,r12) | SWAPN_REG_REG_REG_REG_REG_REG(r13,r14,r15,r16,r17,r18)","r1=R47;r2=R28;r3=R48;r4=R27;r5=R24;c1=int:256;r6=R51;r7=R10;r8=R52;r9=R25;r10=R53;r11=R26;r12=R54;r13=R55;r14=R32;r15=R56;r16=R30;r17=R57;r18=R29","rxjson",1349
119,40000,1,1,17,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14) | IEQ_REG_REG_INT(r14,r15,c1) | BRF_ID_REG(c2,r14)","r1=R10;r2=R52;r3=R25;r4=R53;r5=R26;r6=R54;r7=R32;r8=R55;r9=R30;r10=R56;r11=R29;r12=R57;r13=R31;r14=R58;r15=R7;c1=int:0;c2=label@1419","rxjson",1388
120,40000,1,1,24,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22) | IEQ_REG_REG_INT(r22,r23,c1)","r1=R33;r2=R46;r3=R28;r4=R47;r5=R27;r6=R48;r7=R24;r8=R51;r9=R10;r10=R52;r11=R25;r12=R53;r13=R26;r14=R54;r15=R32;r16=R55;r17=R30;r18=R56;r19=R29;r20=R57;r21=R31;r22=R58;r23=R7;c1=int:0","rxjson",1379
121,35000,1,1,6,candidate,"BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_REG(r4,r5,r3) | IGT_REG_REG_REG(r4,r4,r6)","r1=R92;r2=R91;r3=R75;r4=R73;r5=R74;r6=R79","rxjson",10901
122,35000,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | BLEN_REG_REG(r4,r3)","r1=R76;r2=R90;r3=R91;r4=R92;c1=int:0","rxjson",10892
123,35000,1,1,6,candidate,"COPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r4,r1) | IGT_REG_REG_REG(r3,r3,r5) | BRF_ID_REG(c1,r3)","r1=R75;r2=R92;r3=R73;r4=R74;r5=R79;c1=label@10923","rxjson",10904
124,35000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | LOAD_REG_BINARY(r7,c1)","r1=R82;r2=R101;r3=R79;r4=R102;r5=R74;r6=R103;r7=R90;c1=binary@2332976","rxjson",10880
125,35000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_BINARY(r5,c1) | COPY_REG_REG(r6,r5)","r1=R79;r2=R102;r3=R74;r4=R103;r5=R90;c1=binary@2332976;r6=R76","rxjson",10883
126,35000,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_BINARY(r3,c1) | COPY_REG_REG(r4,r3) | COPY_REG_REG(r5,r4)","r1=R74;r2=R103;r3=R90;c1=binary@2332976;r4=R76;r5=R91","rxjson",10886
127,35000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3) | BR_ID(c4)","r1=R73;c1=int:0;c2=label@10942;r2=R72;c3=int:1;c4=label@10950","rxjson",10930
128,35000,1,1,6,candidate,"LOAD_REG_BINARY(r1,c1) | COPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c2)","r1=R90;c1=binary@2332976;r2=R76;r3=R91;r4=R92;c2=int:0","rxjson",10889
129,35000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | IADD_REG_REG_REG(r4,r5,r3)","r1=R92;c1=int:0;r2=R91;r3=R75;r4=R73;r5=R74","rxjson",10898
130,30000,1,1,6,candidate,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | BR_ID(c4)","c1=label@11351;r1=R71;r2=R79;c2=int:57;c3=label@11356;c4=label@11372","rxjson",11344
131,25000,5,1,8,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IEQ_REG_REG_REG(r2,r4,r5)","c1=label@7953;r1=R25;r2=R26;r3=R22;c2=int:0;c3=label@7924;r4=R14;r5=R24","rxjson",7910
132,25000,5,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4) | BRF_ID_REG(c3,r1)","r1=R26;r2=R22;c1=int:0;c2=label@7924;r3=R14;r4=R24;c3=label@7935","rxjson",7913
133,20000,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | BR_ID(c4)","r1=R74;r2=R79;c1=int:48;c2=label@11311;r3=R103;c3=int:1;c4=label@11372","rxjson",11298
134,20000,4,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1)","r1=R2;c1=int:0;r2=R11;r3=R12;r4=R13","rxjson",893
135,15000,3,1,5,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R38;c1=int:0;r2=R36;r3=R35;c2=label@9029","rxjson",9018
136,15000,3,1,5,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R36;r2=R1;r3=R38;c1=int:0;r4=R35","rxjson",9015
137,10000,1,1,5,candidate,"BCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R52;r2=R42;r3=R28;r4=R31;c1=int:0","rxjson",12639
138,10000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IGTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c3,r1)","c1=label@11282;r1=R74;r2=R103;c2=int:1;r3=R75;c3=label@11294","rxjson",11275
139,10000,1,1,9,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r5,r2,c3) | IEQ_REG_REG_INT(r6,r4,c3)","c1=label@12820;r1=R48;r2=R45;r3=R84;c2=int:1;r4=R42;r5=R86;c3=int:0;r6=R41","rxjson",12591
140,10000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r4,r2,c3)","c1=label@12591;r1=R48;r2=R84;r3=R85;c2=label@12820;r4=R45;c3=int:1","rxjson",12584
141,10000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | ISUB_REG_REG_INT(r5,r2,c2) | COPY_REG_REG(r2,r6)","c1=label@12731;r1=R42;r2=R26;r3=R40;r4=R30;r5=R53;c2=int:2;r6=R28","rxjson",12651
142,10000,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@9304;r1=R34;r2=R30;c2=int:0;r3=R35;c3=label@9315","rxjson",9293
143,10000,1,1,9,candidate,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | ISUB_REG_REG_REG(r5,r6,r7)","r1=R28;r2=R52;r3=R42;r4=R31;c1=int:0;c2=label@12731;r5=R26;r6=R40;r7=R30","rxjson",12644
144,10000,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BLEN_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3)","r1=R26;r2=R28;r3=R24;c1=int:0;r4=R54","rxjson",12662
145,10000,1,1,5,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | IEQ_REG_REG_INT(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R38;r2=R28;r3=R55;c1=int:1;c2=label@12820","rxjson",12806
146,10000,1,1,5,candidate,"ENDLIFE_REG(r1) | INE_REG_REG_REG(r2,r3,r2) | ICOPY_REG_REG(r1,r2) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R26;r2=R54;r3=R53;c1=label@12689;c2=label@12697","rxjson",12676
147,10000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2) | IEQ_REG_REG_INT(r5,r3,c2) | UNLINK_REG(r3)","r1=R45;r2=R84;c1=int:1;r3=R42;r4=R86;c2=int:0;r5=R41","rxjson",12594
148,10000,1,1,10,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | MINLINKATTR1_REG_REG_REG_INT(r7,r8,r9,c1)","r1=R30;r2=R3;r3=R40;r4=R4;r5=R31;r6=R12;r7=R42;r8=R87;r9=R45;c1=int:0","rxjson",12615
149,10000,1,1,9,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | MINLINKATTR1_REG_REG_REG_INT(r5,r6,r7,c1) | SCOPY_REG_REG(r8,r5)","r1=R40;r2=R4;r3=R31;r4=R12;r5=R42;r6=R87;r7=R45;c1=int:0;r8=R29","rxjson",12618
150,10000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r5,c1) | SCOPY_REG_REG(r6,r3) | UNLINK_REG(r3)","r1=R31;r2=R12;r3=R42;r4=R87;r5=R45;c1=int:0;r6=R29","rxjson",12621
151,10000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IGTE_REG_REG_REG(r1,r2,r3)","r1=R74;c1=int:45;c2=label@11282;r2=R103;c3=int:1;r3=R75","rxjson",11271
152,10000,1,1,9,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ISUB_REG_REG_REG(r3,r4,r5) | ISUB_REG_REG_INT(r6,r3,c3)","r1=R42;r2=R31;c1=int:0;c2=label@12731;r3=R26;r4=R40;r5=R30;r6=R53;c3=int:2","rxjson",12647
153,10000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R41;r2=R42;c1=int:0;c2=label@12820;r3=R38;r4=R80","rxjson",12603
154,10000,1,1,9,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r4,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r5,r6,r4,c3)","r1=R48;r2=R84;r3=R85;c1=label@12820;r4=R45;c2=int:1;r5=R42;r6=R86;c3=int:0","rxjson",12587
155,10000,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | BLEN_REG_REG(r4,r2)","r1=R53;r2=R26;c1=int:2;r3=R28;r4=R24;c2=int:0","rxjson",12658
156,10000,1,1,8,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r1,c1) | COPY_REG_REG(r1,r5) | LOAD_REG_INT(r6,c2)","r1=R26;r2=R40;r3=R30;r4=R53;c1=int:2;r5=R28;r6=R24;c2=int:0","rxjson",12654
157,10000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R24;c1=int:0;r2=R26;r3=R54;c2=label@12676","rxjson",12665
158,10000,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | STRLEN_REG_REG(r4,r2)","r1=R5;c1=int:1;r2=R12;r3=R40;r4=R11;c2=int:0","rxjson",7812
159,10000,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | BCOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | COPY_REG_REG(r5,r4)","r1=R42;r2=R89;r3=R45;c1=int:0;r4=R52;r5=R28","rxjson",12634
