module	callable	return_type	arguments	inline_payload
trace	rxfnsb._trace_should_trace_module	.int	module=.int	none
trace	rxfnsb._trace_should_trace_context	.int	event=.tracecontext	none
trace	rxfnsb._trace_should_emit_key	.int	key=.string	none
trace	rxfnsb._trace_mode_from_option	.string	option=.string	none
trace	rxfnsb._trace_needs_breakpoints	.int	mode=.string	none
trace	rxfnsb._trace_command_before	.void	environment=.string,command=.string	none
trace	rxfnsb._trace_command_after	.void	environment=.string,command=.string,rc=.int,condition=.string	none
trace	rxfnsb._trace_capture_result_target	.void	module=.int,addr=.int	none
trace	rxfnsb._trace_pending_result	.int		none
trace	rxfnsb._trace_pending_module	.int		none
trace	rxfnsb._trace_pending_prefix	.string		none
trace	rxfnsb._trace_pending_has_const	.int		none
trace	rxfnsb._trace_pending_const	.string		none
trace	rxfnsb._trace_supplied_result	.int		none
trace	rxfnsb._trace_supplied_value	.string		none
trace	rxfnsb._trace_clear_pending_result	.void		none
trace	rxfnsb._trace_pending_parent_register	.int	module=.int,expose type=.string,expose value=.string	none
trace	rxfnsb._trace_supply_parent_value	.void	value=.string	none
trace	rxfnsb._trace_escape_text	.string	text=.string	I6
trace	rxfnsb._trace_write_line	.void	line=.string	none
sign	rxfnsb.sign	.int	number=.decimal	I6
intsign	rxfnsb.intsign	.int	number=.int	I6
floatsign	rxfnsb.floatsign	.int	number=.float	I6
space	rxfnsb.space	.string	string=.string,\?count=.int,\?pad=.string	none
strip	rxfnsb.strip	.string	string=.string,\?option=.string,\?char=.string	none
substr	rxfnsb.substr	.string	string=.string,start=.int,\?length=.int,\?pad=.string	I6
substro	rxfnsb.substro	.string	string=.string,start=.int,\?length=.int,\?pad=.string	I6
symbol	rxfnsb.symbol	.string	inputsymbol=.string	none
time	rxfnsb.time	.string	\?option=.string	none
translate	rxfnsb.translate	.string	source=.string,\?output_table=.string,\?input_table=.string,\?pad=.string	I6
trunc	rxfnsb.trunc	.string	number=.decimal,\?fraction=.int	none
floattrunc	rxfnsb.floattrunc	.string	number=.float,\?fraction=.int	none
upper	rxfnsb.upper	.string	expose string=.string	I6
value	rxfnsb.value	.string	inputstring=.string	none
verify	rxfnsb.verify	.int	expose string=.string,expose refchars=.string,\?option=.string,\?start=.int	I6
version	rxfnsb.version	.string		I6
word	rxfnsb.word	.string	string=.string,wordnum=.int	I6
words	rxfnsb.words	.int	string=.string	none
wordindex	rxfnsb.wordindex	.int	string=.string,wordnum=.int	I6
subword	rxfnsb.subword	.string	string=.string,wordnum=.int,\?wordcount=.int	none
wordlength	rxfnsb.wordlength	.int	string=.string,wordnum=.int	I6
wordpos	rxfnsb.wordpos	.int	search=.string,string=.string,\?start=.int	none
qword	rxfnsb.qword	.string	line=.string,wanted=.int	none
qwordlength	rxfnsb.qwordlength	.int	string=.string,wordnum=.int	I6
qwords	rxfnsb.qwords	.int	line=.string	none
qwordindex	rxfnsb.qwordindex	.int	line=.string,wanted=.int	I6
qwordpos	rxfnsb.qwordpos	.int	search=.string,string=.string,\?start=.int	none
qsubword	rxfnsb.qsubword	.string	string=.string,wordnum=.int,\?count=.int	none
regex	rxfnsb.regexmatch	.int	\?s=.string,p=.string	none
regex	rxfnsb.regexfind	.int	\?s=.string,p=.string,frompos=.int	none
regex	rxfnsb.regexsplit	.string[*]	s=.string,pat=.string,\?opts=.string,\?limit=.int	none
regex	rxfnsb.regexreplace	.string	s=.string,pat=.string,repl=.string	none
regex	rxfnsb.regexreplace_limit	.string	s=.string,pat=.string,repl=.string,\?limit=.int	none
regex	rxfnsb.regexfindall	.string[*]	s=.string,pat=.string,\?opts=.string,\?limit=.int	none
regex	rxfnsb.regextest	.void	s=.string,p=.string	none
regex	rxfnsb.regexdetails	.int[*]		none
regex	rxfnsb.regexsubstr	.string	buffer=.string	none
x2b	rxfnsb.x2b	.string	hexadecimal=.string	none
x2c	rxfnsb.x2c	.string	hexadecimal=.string	none
x2d	rxfnsb.x2d	.int	hexadecimal=.string,\?signed_length=.int	none
random	rxfnsb.rexxrandomstate.§factory	.rxfnsb..rexxrandomstate		I6
random	rxfnsb.rexxrandomstate.seed	.void	seed_value=.int	I6
random	rxfnsb.rexxrandomstate.nextraw	.int		I6
random	rxfnsb.rexxrandomstate.bounded	.int	span=.int	none
random	rxfnsb.rexxrandomstate.seedfromclock	.void		I6
random	rxfnsb.random	.int	\?minimum=.int,\?maximum=.int,\?seed=.int	none
reradix	_rxsysb.reradix	.string	subject=.string,fromradix=.int,toradix=.int	none
sequence	rxfnsb.sequence	.string	from=.string,tos=.string	I6
find	rxfnsb.find	.int	needle=.string,haystack=.string,\?start=.int	I6
index	rxfnsb.index	.int	haystack=.string,needle=.string,\?start=.int	I6
xrange	rxfnsb.xrange	.string	from=.string,tos=.string	I6
parsecompile	rxfnsb.parsecompile	.int	template=.string,expose token=.string[*],expose token_type=.int[*]	none
parsestring	rxfnsb.parsestring	.void	parse_string=.string,tokenhi=.int,expose token=.string[*],expose token_type=.int[*],expose variable=.string[*],expose variable_content=.string[*],\?template=.string	none
parse	rxfnsb.parse	.int	source=.string,template=.string,expose variable=.string[*],expose variable_content=.string[*],\?strip_option=.int,\?case_option=.int	none
datatype	rxfnsb.datatype	.string	value=.string,\?type=.string	none
arrayfind	rxfnsb.arrayfind	.int	needle=.string,array=.string[*],\?from=.int,\?case_sensitive=.int	I6
splice	rxfnsb.splice	.string	needle=.string,haystack=.string,at=.int,remove_length=.int	I6
arrayinsert	rxfnsb.arrayinsert	.int	expose array=.string[*],from=.int,count=.int,\?default=.string	none
arraydelete	rxfnsb.arraydelete	.int	expose array=.string[*],from=.int,count=.int	none
arrayappend	rxfnsb.arrayappend	.int	expose array=.string[*],value=.string,\?count=.int	none
arrayprepend	rxfnsb.arrayprepend	.int	expose array=.string[*],value=.string,\?count=.int	none
objectarrayinsert	rxfnsb.objectarrayinsert	.int	expose array=.object[*],from=.int,count=.int,value=.object	none
objectarraydelete	rxfnsb.objectarraydelete	.int	expose array=.object[*],from=.int,count=.int	none
objectarrayappend	rxfnsb.objectarrayappend	.int	expose array=.object[*],value=.object,\?count=.int	none
objectarrayprepend	rxfnsb.objectarrayprepend	.int	expose array=.object[*],value=.object,\?count=.int	none
objectarraydrop	rxfnsb.objectarraydrop	.int	expose array=.object[*]	none
objectarraymove	rxfnsb.objectarraymove	.int	expose array=.object[*],from=.int,count=.int,tto=.int	none
arraypop	rxfnsb.arraypop	.string	expose array=.string[*],\?default=.string	none
arrayshift	rxfnsb.arrayshift	.string	expose array=.string[*],\?default=.string	none
arrayget	rxfnsb.arrayget	.string	array=.string[*],index=.int,\?default=.string	I6
arrayset	rxfnsb.arrayset	.int	expose array=.string[*],index=.int,value=.string,\?fill=.string	none
arraycontains	rxfnsb.arraycontains	.int	expose array=.string[*],value=.string,\?case=.int	I6
arrayindexof	rxfnsb.arrayindexof	.int	expose array=.string[*],value=.string,\?from=.int,\?case=.int	I6
arrayreverse	rxfnsb.arrayreverse	.int	expose array=.string[*]	I6
arrayjoin	rxfnsb.arrayjoin	.string	array=.string[*],\?separator=.string	I6
arraysort	rxfnsb.arraysort	.int	expose a=.string[*],\?offset=.int,\?order=.string,\?debug=.int	none
arraycopy	rxfnsb.arraycopy	.string[*]	expose array=.string[*],\?from=.int,\?count=.int	none
arraydrop	rxfnsb.arraydrop	.int	expose array=.string[*]	none
arrayhi	rxfnsb.arrayhi	.int	expose array=.string[*],\?mode=.string,\?newhi=.int	none
arraymove	rxfnsb.arraymove	.int	expose array=.string[*],from=.int,count=.int,tto=.int	none
fmtmask	rxfnsb.fmtmask	.string	mask=.string,a1=.string,\?a2=.string,\?a3=.string,\?a4=.string,\?a5=.string,\?a6=.string,\?a7=.string,\?a8=.string,\?a9=.string,\?a10=.string,\?a11=.string,\?a12=.string,\?a13=.string,\?a14=.string,\?a15=.string	none
compilemask	rxfnsb.compilemask	.int	mask=.string,expose fmt_token=.string[*],\?debug=.int	none
runmask	rxfnsb.runmask	.string	usetoken=.int,fmt_token=.string[*],a1=.string,\?a2=.string,\?a3=.string,\?a4=.string,\?a5=.string,\?a6=.string,\?a7=.string,\?a8=.string,\?a9=.string,\?a10=.string,\?a11=.string,\?a12=.string,\?a13=.string,\?a14=.string,\?a15=.string,\?a16=.string	none
parseExec	rxfnsb.parseexec	.string[*]	src=.string,splan=.string,template=.string,\?debug=.int	none
stem	rxfnsb.stem.§factory	.rxfnsb..stem		I6
stem	rxfnsb.stem.hash	.int	key=.string	I6
stem	rxfnsb.stem.get	.string	key=.string	none
stem	rxfnsb.stem.set	.void	\?key=.string,value=.string	none
stem	rxfnsb.stem.size	.int		none
stem	rxfnsb.stem.key	.string	ix=.int	none
stem	rxfnsb.stem.value	.string	kv=.int	none
stem	rxfnsb.stem.valueat	.string	ix=.int	none
stem	rxfnsb.stem.tails	.string[*]		none
stem	rxfnsb.stem.values	.string[*]		none
stem	rxfnsb.stem.iterator	.rxfnsb..stemiterator		none
stem	rxfnsb.stem.snapshotiterator	.rxfnsb..stemiterator		none
stem	rxfnsb.stemiterator.§factory	.rxfnsb..stemiterator	source=reference .stem,\?snapshot_flag=.int	none
stem	rxfnsb.stemiterator.hasnext	.int		none
stem	rxfnsb.stemiterator.next	.string		none
stem	rxfnsb.stemiterator.value	.string		none
stem	rxfnsb.stemiterator.index	.int		I6
stem	rxfnsb.stemiterator.reset	.void		I6
stem	rxfnsb.stemiterator.islive	.int		none
rxjson	rxjson.jsonvalid	.int	json=.string	none
rxjson	rxjson.jsontype	.string	json=.string,path=.string	none
rxjson	rxjson.jsonget	.string	json=.string,path=.string	none
rxjson	rxjson.jsoncount	.int	json=.string,path=.string	none
rxjson	rxjson.jsonmembers	.int	json=.string,path=.string,expose names=.string[*]	none
rxjson	rxjson.jsonquote	.string	text=.string	none
rxjson	rxjson.jsonunquote	.string	json=.string	none
rxjson	rxjson.jsonarray	.string	values=.string[*]	none
rxjson	rxjson.jsonobject	.string	keys=.string[*],values=.string[*]	none
rxsocket	rxsocket.socketcreate	.int		I6
rxsocket	rxsocket.socketclose	.int	sock=.int	I6
rxsocket	rxsocket.socketconnect	.int	sock=.int,host=.string,port=.int	I6
rxsocket	rxsocket.socketconnecttls	.int	sock=.int,host=.string,port=.int	I6
rxsocket	rxsocket.socketbind	.int	sock=.int,host=.string,port=.int	I6
rxsocket	rxsocket.socketlisten	.int	sock=.int,backlog=.int	I6
rxsocket	rxsocket.socketaccept	.int	sock=.int	I6
rxsocket	rxsocket.socketshutdown	.int	sock=.int,how=.int	I6
rxsocket	rxsocket.socketsend	.int	sock=.int,data=.string	I6
rxsocket	rxsocket.socketsendb	.int	sock=.int,data=.binary	I6
rxsocket	rxsocket.socketrecv	.string	sock=.int,maxbytes=.int	I6
rxsocket	rxsocket.socketrecvb	.binary	sock=.int,maxbytes=.int	I6
rxsocket	rxsocket.socketpending	.int	sock=.int	I6
rxsocket	rxsocket.sockettimeout	.int	sock=.int,milliseconds=.int	I6
rxsocket	rxsocket.socketblocking	.int	sock=.int,enabled=.int	I6
rxsocket	rxsocket.socketnodelay	.int	sock=.int,enabled=.int	I6
rxsocket	rxsocket.socketkeepalive	.int	sock=.int,enabled=.int	I6
rxsocket	rxsocket.socketpeer	.string	sock=.int	I6
rxsocket	rxsocket.socketlocal	.string	sock=.int	I6
rxsocket	rxsocket.socketstatus	.int	sock=.int	I6
rxsocket	rxsocket.socketerror	.string	sock=.int	I6
rxhttp	rxhttp.http.§factory	.rxhttp..http	\?host=.string,\?port=.int,\?timeout=.int,\?tls=.int	I6
rxhttp	rxhttp.http.send	.string	verb=.string,path=.string,\?body=.string,\?contenttype=.string	none
rxhttp	rxhttp.http.sendwithheaders	.string	verb=.string,path=.string,\?body=.string,\?contenttype=.string,headers=.string[*]	none
rxhttp	rxhttp.http.post	.string	path=.string,body=.string,\?contenttype=.string	none
rxhttp	rxhttp.http.postwithheaders	.string	path=.string,body=.string,\?contenttype=.string,headers=.string[*]	none
rxhttp	rxhttp.http.buildrequest	.string	verb=.string,path=.string,\?body=.string,\?contenttype=.string	none
rxhttp	rxhttp.http.buildrequestwithheaders	.string	verb=.string,path=.string,\?body=.string,\?contenttype=.string,headers=.string[*]	none
rxhttp	rxhttp.http.extractbody	.string	response=.string	none
rxhttp	rxhttp.http.header	.string	name=.string	none
rxhttp	rxhttp.http.status	.int		I6
rxhttp	rxhttp.http.httpstatus	.int		I6
rxhttp	rxhttp.http.error	.string		I6
rxhttp	rxhttp.http.lasthttp	.string		I6
rxhttp	rxhttp.http.lastbody	.string		I6
rxhttp	rxhttp.http._send	.string	request=.string	none
rxhttp	rxhttp.http._read_response	.string	sock=.int	none
rxhttp	rxhttp.http._has_complete_body	.int	response=.string	none
rxhttp	rxhttp.http._body_start	.int	response=.string	I6
rxhttp	rxhttp.http._content_length	.int	header=.string	none
rxhttp	rxhttp.http._is_chunked	.int	header=.string	none
rxhttp	rxhttp.http._header_value	.string	header=.string,name=.string	none
rxhttp	rxhttp.http._decode_chunked_body	.string	body=.string	none
rxhttp	rxhttp.http._chunked_complete	.int	body=.string	none
rxhttp	rxhttp.http._byte_length	.int	text=.string	none
rxhttp	rxhttp.http._take_bytes	.string	text=.string,count=.int	none
rxhttp	rxhttp.http._hex_to_int	.int	text=.string	none
rxhttp	rxhttp.http._hex_digit_value	.int	c=.string	none
rxhttp	rxhttp.http._parse_status	.int	response=.string	none
rxhttp	rxhttp.http._set_error	.void	code=.int,message=.string	I6
wordrep	rxfnsb.wordrep	.string	string=.string,wordnum=.int,newword=.string,\?mode=.string	none
/Users/adrian/CLionProjects/CREXX/lib/rxfnsb/rxas/_elapsed	_rxsysb._elapsed	.int	value = .int	none
