rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,245960,6,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R33;r2=R31;r3=R27;c1=int:2;r4=R26","benchmark_awfy_towers_opt",295
92,13660,2,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r4,r1)","r1=R27;r2=R33;r3=R31;c1=int:2;r4=R26","benchmark_awfy_towers_opt",293
93,13650,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R35;r2=R24;r3=R37;r4=R28;c1=int:2","benchmark_awfy_towers_opt",2252
94,13650,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | ICOPY_REG_REG(r5,r4)","r1=R24;r2=R37;r3=R35;r4=R28;c1=int:2;r5=R27","benchmark_awfy_towers_opt",2255
95,170,4,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R20;c1=int:0;r2=R17;c2=int:3;r3=R11;c3=int:256;r4=R18","benchmark_awfy_towers_opt",194
96,160,3,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R17;r2=R18;r3=R8;r4=R16;r5=R20;c1=int:0","benchmark_awfy_towers_opt",186
97,150,2,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R8;r2=R16;r3=R20;c1=int:0;r4=R17;c2=int:3;r5=R11;c3=int:256","benchmark_awfy_towers_opt",191
98,150,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R18;r2=R11;r3=R8;c1=int:256;r4=R19;r5=R21;c2=func@10944;r6=R17","benchmark_awfy_towers_opt",203
99,140,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | ICOPY_REG_REG(r3,r4)","c1=label@228;r1=R13;r2=R16;c2=int:4;c3=string@1416;r3=R15;r4=R7","benchmark_awfy_towers_opt",158
100,140,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R15;r2=R7;r3=R17;r4=R16;c1=int:1","benchmark_awfy_towers_opt",167
101,140,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R17;r2=R15;r3=R18;c1=int:0;r4=R16;c2=int:2","benchmark_awfy_towers_opt",174
102,140,1,1,7,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R13;r2=R7;r3=R12;c1=label@228;r4=R16;c2=int:4;c3=string@1416","benchmark_awfy_towers_opt",154
103,140,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R17;r2=R16;c1=int:1;r3=R15;r4=R18;c2=int:0","benchmark_awfy_towers_opt",170
104,140,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | ICOPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r1,c3)","r1=R16;c1=int:4;c2=string@1416;r2=R15;r3=R7;r4=R17;c3=int:1","benchmark_awfy_towers_opt",161
105,140,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | ICOPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r1,c2) | ICOPY_REG_REG(r4,r2)","r1=R16;c1=string@1416;r2=R15;r3=R7;r4=R17;c2=int:1","benchmark_awfy_towers_opt",164
106,140,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IADD_REG_REG_REG(r5,r6,r5) | BR_ID(c1)","r1=R11;r2=R18;r3=R8;r4=R19;r5=R7;r6=R14;c1=label@154","benchmark_awfy_towers_opt",216
107,140,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r1,c2)","r1=R17;r2=R8;r3=R16;r4=R20;c1=int:0;c2=int:3","benchmark_awfy_towers_opt",189
108,30,3,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R11;r2=R10;r3=R7;c1=int:13;r4=R12;c2=int:0;r5=R14;c3=int:-1","benchmark_awfy_towers_opt",142
109,20,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R8;r2=R7;c1=int:0;r3=R6;c2=int:7","benchmark_awfy_towers_opt",107
110,20,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R8;r2=R6;c1=int:5;r3=R7;c2=int:0","benchmark_awfy_towers_opt",103
111,20,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | LOAD_REG_INT(r4,c4)","r1=R25;c1=int:12;r2=R26;c2=int:0;r3=R27;c3=int:2;r4=R23;c4=int:4","benchmark_awfy_towers_opt",250
112,20,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R26;c1=int:0;r2=R27;c2=int:2;r3=R23;c3=int:4;r4=R22;c4=int:256","benchmark_awfy_towers_opt",253
113,20,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R23;c1=int:4;r2=R22;c2=int:256;r3=R24;r4=R20;c3=func@12520","benchmark_awfy_towers_opt",259
114,20,2,1,7,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R20;r2=R22;r3=R10;r4=R25;c1=int:12;r5=R26;c2=int:0","benchmark_awfy_towers_opt",245
115,10,1,1,5,over_3_symbols,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r1)","r1=R25;c1=string@1416;r2=R27;r3=R32;c2=int:2","benchmark_awfy_towers_opt",324
116,10,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@490;r1=R3;r2=R6;c2=int:8;c3=string@56;r3=R8;c4=int:0","benchmark_awfy_towers_opt",79
117,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R25;r2=R27;c1=string@1416;r3=R32;c2=int:2","benchmark_awfy_towers_opt",321
118,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | LOAD_REG_INT(r5,c1)","r1=R5;r2=R6;r3=R10;r4=R11;r5=R7;c1=int:13","benchmark_awfy_towers_opt",136
119,10,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R10;r2=R5;r3=R11;r4=R7;c1=int:13;r5=R12;c2=int:0","benchmark_awfy_towers_opt",139
120,10,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R5;r2=R10;r3=R2;r4=R9;r5=R39;c1=int:8191;c2=label@487","benchmark_awfy_towers_opt",450
121,10,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | LOAD_REG_INT(r6,c2)","r1=R29;r2=R32;r3=R28;r4=R30;r5=R27;c1=int:1;r6=R24;c2=int:3","benchmark_awfy_towers_opt",357
122,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | ICOPY_REG_REG(r4,r3)","r1=R10;r2=R11;r3=R19;c1=int:0;r4=R20;c2=int:1","benchmark_awfy_towers_opt",232
123,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r1) | SETOBJUNINIT_REG_STRING(r3,c1)","r1=R29;r2=R22;r3=R31;r4=R32;c1=string@13784","benchmark_awfy_towers_opt",275
124,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | COPY_REG_REG(r3,r4)","r1=R32;r2=R29;r3=R31;c1=string@13784;r4=R27;c2=int:2","benchmark_awfy_towers_opt",280
125,10,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LINKATTR1_REG_REG_INT(r5,r2,c2)","r1=R7;r2=R10;r3=R11;r4=R19;c1=int:0;r5=R20;c2=int:1","benchmark_awfy_towers_opt",230
126,10,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R8;r2=R7;r3=R10;r4=R11;r5=R19;c1=int:0","benchmark_awfy_towers_opt",228
127,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r3)","r1=R8;r2=R7;r3=R5;r4=R6;r5=R10","benchmark_awfy_towers_opt",131
128,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R7;r2=R8;c1=int:0;r3=R6;c2=int:5","benchmark_awfy_towers_opt",95
129,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R9;r2=R39;r3=R5;r4=R10;r5=R2","benchmark_awfy_towers_opt",445
130,10,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@490;r4=R6;c2=int:8;c3=string@56","benchmark_awfy_towers_opt",75
131,10,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c2)","r1=R7;r2=R6;c1=int:3;r3=R8;c2=int:0","benchmark_awfy_towers_opt",91
132,10,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R39;r2=R10;c1=int:1;r3=R9;r4=R5","benchmark_awfy_towers_opt",441
133,10,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r5,c3)","r1=R14;c1=int:-1;r2=R13;r3=R7;r4=R12;c2=label@228;r5=R16;c3=int:4","benchmark_awfy_towers_opt",151
134,10,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R12;c1=int:0;r2=R14;c2=int:-1;r3=R13;r4=R7;c3=label@228","benchmark_awfy_towers_opt",148
135,10,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | ILT_REG_REG_REG(r4,r1,r2)","r1=R7;c1=int:13;r2=R12;c2=int:0;r3=R14;c3=int:-1;r4=R13","benchmark_awfy_towers_opt",145
136,10,1,1,6,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R31;r2=R32;r3=R29;c1=string@13784;r4=R27;c2=int:2","benchmark_awfy_towers_opt",278
137,10,1,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R6;c1=int:8;c2=string@56;r2=R8;c3=int:0;r3=R7;c4=int:3","benchmark_awfy_towers_opt",82
138,10,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r3,r2)","r1=R6;c1=string@56;r2=R8;c2=int:0;r3=R7;c3=int:3","benchmark_awfy_towers_opt",85
139,10,1,1,5,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R31;c1=string@13784;r2=R27;r3=R32;c2=int:2","benchmark_awfy_towers_opt",283
140,10,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1) | ICOPY_REG_REG(r5,r4)","r1=R22;r2=R36;r3=R10;r4=R39;c1=int:1;r5=R9","benchmark_awfy_towers_opt",435
141,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | NULL_REG(r4) | COPY_REG_REG(r5,r3)","r1=R22;r2=R24;r3=R29;r4=R31;r5=R32","benchmark_awfy_towers_opt",272
142,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | IADD_REG_REG_INT(r4,r2,c1) | UNLINK_REG(r2)","r1=R28;r2=R26;r3=R29;c1=int:1;r4=R25","benchmark_awfy_towers_opt",388
143,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r4,r1,c1) | IADD_REG_REG_INT(r2,r4,c1)","r1=R29;r2=R25;r3=R28;r4=R26;c1=int:1","benchmark_awfy_towers_opt",385
144,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r2) | COPY_REG_REG(r5,r4)","r1=R8;r2=R5;r3=R6;r4=R10;r5=R11","benchmark_awfy_towers_opt",134
145,10,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5) | INE_REG_REG_INT(r1,r4,c1)","r1=R39;r2=R5;r3=R10;r4=R2;r5=R9;c1=int:8191","benchmark_awfy_towers_opt",448
146,10,1,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R27;r2=R32;c1=int:2;r3=R25","benchmark_awfy_towers_opt",327
147,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1)","r1=R7;c1=int:0;r2=R8;r3=R6;c2=int:5","benchmark_awfy_towers_opt",98
148,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R39;r2=R2;c1=string@22296;c2=int:0","benchmark_awfy_towers_opt",506
149,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_towers_opt",33
150,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R39;c1=string@21704;r2=R1;c2=string@21864;r3=R2","benchmark_awfy_towers_opt",496
151,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R5;r2=R4;r3=R1;r4=R39;c1=string@21704","benchmark_awfy_towers_opt",490
152,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R4;r2=R1;r3=R39;c1=string@21704;c2=string@21864","benchmark_awfy_towers_opt",492
153,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_towers_opt",25
154,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_towers_opt",45
155,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_towers_opt",29
156,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R39;c1=string@22296","benchmark_awfy_towers_opt",504
157,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R39;c1=string@21704;c2=string@21864;r3=R2","benchmark_awfy_towers_opt",494
158,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_towers_opt",39
159,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_towers_opt",22
160,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@490;r4=R6;c3=int:8","benchmark_awfy_towers_opt",72
161,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@490","benchmark_awfy_towers_opt",69
162,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_towers_opt",36
163,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R39;c1=string@21864;r2=R2","benchmark_awfy_towers_opt",500
164,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R41;c3=int:512;r2=R0","benchmark_awfy_towers_opt",6
165,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R41;c3=int:512","benchmark_awfy_towers_opt",4
166,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R41;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_towers_opt",8
167,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_towers_opt",43
