rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,328010,9,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R27;r2=R33;c1=int:2;r3=R26","benchmark_awfy_towers_opt",298
113,10,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2)","r1=R14;c1=int:-1;r2=R13;r3=R7;r4=R12;c2=label@228","benchmark_awfy_towers_opt",151
114,10,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r4,r1)","r1=R12;c1=int:0;r2=R14;c2=int:-1;r3=R13;r4=R7","benchmark_awfy_towers_opt",148
115,10,1,1,4,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | SETOBJUNINIT_REG_STRING(r1,c1)","r1=R31;r2=R32;r3=R29;c1=string@13784","benchmark_awfy_towers_opt",278
116,10,1,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3)","r1=R6;c1=int:8;c2=string@56;r2=R8;c3=int:0","benchmark_awfy_towers_opt",82
117,10,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3)","r1=R6;c1=string@56;r2=R8;c2=int:0;r3=R7;c3=int:3","benchmark_awfy_towers_opt",85
118,10,1,1,5,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r1,r2)","r1=R31;c1=string@13784;r2=R27;r3=R32;c2=int:2","benchmark_awfy_towers_opt",283
119,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R22;r2=R36;r3=R10;r4=R39;c1=int:1","benchmark_awfy_towers_opt",435
120,10,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | NULL_REG(r4)","r1=R22;r2=R24;r3=R29;r4=R31","benchmark_awfy_towers_opt",272
121,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | IADD_REG_REG_INT(r4,r2,c1)","r1=R28;r2=R26;r3=R29;c1=int:1;r4=R25","benchmark_awfy_towers_opt",388
122,10,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r4,r1,c1)","r1=R29;r2=R25;r3=R28;r4=R26;c1=int:1","benchmark_awfy_towers_opt",385
123,10,1,1,4,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r2)","r1=R8;r2=R5;r3=R6;r4=R10","benchmark_awfy_towers_opt",134
124,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5)","r1=R39;r2=R5;r3=R10;r4=R2;r5=R9","benchmark_awfy_towers_opt",448
125,10,1,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3)","r1=R27;r2=R32;c1=int:2;r3=R25","benchmark_awfy_towers_opt",327
126,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R7;c1=int:0;r2=R8;r3=R6;c2=int:5","benchmark_awfy_towers_opt",98
127,1,1,1,3,candidate,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R39;r2=R2;c1=string@22296","benchmark_awfy_towers_opt",506
128,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_towers_opt",33
129,1,1,1,5,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@19;r1=R41;c2=int:512;r2=R0;c3=label@22","benchmark_awfy_towers_opt",10
130,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R39;c1=string@21704;r2=R1;c2=string@21864;r3=R2","benchmark_awfy_towers_opt",496
131,1,1,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3)","r1=R5;r2=R4;r3=R1","benchmark_awfy_towers_opt",490
132,1,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R4;r2=R1;r3=R39;c1=string@21704","benchmark_awfy_towers_opt",492
133,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_towers_opt",25
134,1,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1)","r1=R1;r2=R5;c1=int:1","benchmark_awfy_towers_opt",45
135,1,1,1,4,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0","benchmark_awfy_towers_opt",29
136,1,1,1,2,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2)","r1=R2;r2=R39","benchmark_awfy_towers_opt",504
137,1,1,1,4,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R1;r2=R39;c1=string@21704;c2=string@21864","benchmark_awfy_towers_opt",494
138,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_towers_opt",39
139,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0","benchmark_awfy_towers_opt",22
140,1,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@490","benchmark_awfy_towers_opt",72
141,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1","benchmark_awfy_towers_opt",69
142,1,1,1,3,candidate,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2)","r1=R0;c1=int:1;r2=R5","benchmark_awfy_towers_opt",36
143,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R39;c1=string@22296;c2=int:0","benchmark_awfy_towers_opt",509
144,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2)","r1=R39;c1=string@21864;r2=R2","benchmark_awfy_towers_opt",500
145,1,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R41;c3=int:512","benchmark_awfy_towers_opt",6
146,1,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R41;c3=int:512;r2=R0","benchmark_awfy_towers_opt",8
147,1,1,1,2,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1)","r1=R5;r2=R1","benchmark_awfy_towers_opt",43
148,1,1,1,4,over_3_symbols,"UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R5;r2=R1;c1=int:1;c2=label@69","benchmark_awfy_towers_opt",48
