rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
88,23246,1,1,9,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3)","r1=R1;r2=R7;r3=R8;r4=R12;r5=R11;c1=int:20;c2=int:6;r6=R3;c3=int:1","benchmark_awfy_richards_opt",2800
89,23246,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5)","r1=R8;r2=R5;r3=R7;r4=R11;r5=R23","benchmark_awfy_richards_opt",2787
90,23246,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | ICOPY_REG_REG(r4,r1)","r1=R0;r2=R7;r3=R8;r4=R5","benchmark_awfy_richards_opt",2699
91,23246,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1)","r1=R5;r2=R8;c1=int:0;r3=R7;r4=R23;c2=int:15;r5=R24","benchmark_awfy_richards_opt",2769
92,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2)","r1=R8;r2=R7;r3=R24;c1=int:0;r4=R5;r5=R23;c2=int:15","benchmark_awfy_richards_opt",2764
93,23246,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c3)","c1=int:18;c2=int:1;r1=R6;r2=R23;r3=R8;c3=int:15","benchmark_awfy_richards_opt",2683
94,23246,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r4,c1)","r1=R8;r2=R7;r3=R11;r4=R23;c1=int:2","benchmark_awfy_richards_opt",2790
95,23246,1,1,4,candidate,"UNLINK_REG(r1) | ICOPY_REG_REG(r2,r3) | ILT_REG_REG_INT(r1,r2,c1)","r1=R8;r2=R5;r3=R0;c1=int:0","benchmark_awfy_richards_opt",2702
96,23246,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R7;r2=R23;c1=int:18;r3=R5;c2=int:17","benchmark_awfy_richards_opt",2754
97,20310,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1)","r1=R27;r2=R45;r3=R44;c1=int:4","benchmark_awfy_richards_opt",3826
98,20310,1,1,5,candidate,"UNLINK_REG(r1) | IGTE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R44;r2=R45;r3=R27;c1=int:4;c2=label@3879","benchmark_awfy_richards_opt",3829
99,20119,4,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R47;c1=int:18;c2=int:1;r2=R3;c3=int:21","benchmark_awfy_richards_opt",336
100,20114,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R5;c1=int:0;r3=R6;r4=R11;c2=label@2072","benchmark_awfy_richards_opt",2058
