vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	2	current-first	4302	3846	-456	-0.456000	-10.599721
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	3	alternative-first	4234	3857	-377	-0.377000	-8.904110
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	4	current-first	4234	3849	-385	-0.385000	-9.093056
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	1	alternative-first	4192	3805	-387	-0.387000	-9.231870
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	2	current-first	4217	3872	-345	-0.345000	-8.181171
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	3	alternative-first	4199	3811	-388	-0.388000	-9.240295
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	4	current-first	4189	3857	-332	-0.332000	-7.925519
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	1	alternative-first	4163	3584	-579	-0.579000	-13.908239
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	2	current-first	3932	3511	-421	-0.421000	-10.707019
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	3	alternative-first	4049	3522	-527	-0.527000	-13.015559
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	2	4	current-first	3944	3500	-444	-0.444000	-11.257606
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	1	alternative-first	3968	3543	-425	-0.425000	-10.710685
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	2	current-first	4065	3928	-137	-0.137000	-3.370234
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	3	alternative-first	3970	3555	-415	-0.415000	-10.453401
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	4	current-first	4083	3590	-493	-0.493000	-12.074455
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	1	alternative-first	4291	3891	-400	-0.400000	-9.321836
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	2	current-first	4287	3879	-408	-0.408000	-9.517145
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	3	alternative-first	4384	3952	-432	-0.432000	-9.854015
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	3	4	current-first	4383	3884	-499	-0.499000	-11.384896
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	1	alternative-first	3966	3565	-401	-0.401000	-10.110943
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	2	current-first	3957	3500	-457	-0.457000	-11.549153
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	3	alternative-first	3990	3548	-442	-0.442000	-11.077694
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	4	current-first	3948	3467	-481	-0.481000	-12.183384
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	1	alternative-first	4323	3900	-423	-0.423000	-9.784872
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	2	current-first	4203	3866	-337	-0.337000	-8.018082
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	3	alternative-first	4249	3881	-368	-0.368000	-8.660861
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	1	4	current-first	4289	3891	-398	-0.398000	-9.279552
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	1	alternative-first	4351	3825	-526	-0.526000	-12.089175
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	2	current-first	4408	3812	-596	-0.596000	-13.520871
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	3	alternative-first	4368	3808	-560	-0.560000	-12.820513
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	10	2	4	current-first	4322	3881	-441	-0.441000	-10.203609
