rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4396101,12,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_noopt",0
99,900,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r1,r3)","r1=R3;r2=R2;c1=int:1;r3=R0;c2=int:256","benchmark_awfy_list_noopt",249
100,300,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | NULL_REG(r3) | RET_REG(r3)","r1=R11;r2=R20;c1=int:0;c2=label@654;r3=R12","benchmark_awfy_list_noopt",641
101,300,3,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | MKREF_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R13;c1=int:15;r2=R14;r3=R0;r4=R11;c2=int:3;r5=R17;c3=int:256","benchmark_awfy_list_noopt",484
102,300,3,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c3)","r1=R11;c1=int:3;r2=R17;c2=int:256;r3=R12;r4=R14;c3=int:768","benchmark_awfy_list_noopt",490
103,300,3,1,7,over_3_symbols,"MKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R14;r2=R0;r3=R11;c1=int:3;r4=R17;c2=int:256;r5=R12","benchmark_awfy_list_noopt",487
104,300,1,1,6,over_3_symbols,"NULL_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | NULL_REG(r4)","r1=R5;r2=R11;r3=R20;c1=int:0;c2=label@654;r4=R12","benchmark_awfy_list_noopt",639
105,300,3,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c2) | CALL_REG_FUNC_REG(r4,c3,r5)","r1=R17;c1=int:256;r2=R12;r3=R14;c2=int:768;r4=R3;c3=func@22432;r5=R11","benchmark_awfy_list_noopt",493
106,200,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | MKREF_REG_REG(r4,r5) | LOAD_REG_INT(r6,c2)","r1=R17;r2=R12;r3=R13;c1=int:10;r4=R14;r5=R0;r6=R11;c2=int:3","benchmark_awfy_list_noopt",506
107,100,1,1,4,over_3_symbols,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | RET_INT(c3)","r1=R3;c1=int:0;c2=label@240;c3=int:1","benchmark_awfy_list_noopt",229
108,100,1,1,8,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | CALL_REG_FUNC_REG(r5,c3,r4)","r1=R4;r2=R5;r3=R1;c1=label@137;r4=R3;c2=int:0;r5=R6;c3=func@5416","benchmark_awfy_list_noopt",78
109,100,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R2;c1=int:0;r2=R1;r3=R0;c2=int:1","benchmark_awfy_list_noopt",329
110,100,1,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | LOAD_REG_INT(r3,c1) | CALL_REG_FUNC_REG(r4,c2,r3)","r1=R4;r2=R5;r3=R7;c1=int:0;r4=R0;c2=func@15464","benchmark_awfy_list_noopt",473
111,100,1,1,4,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c1)","r1=R0;c1=int:0;c2=string@656;c3=int:18","benchmark_awfy_list_noopt",439
112,100,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","c1=int:1;r1=R2;c2=int:0;r2=R1;r3=R0","benchmark_awfy_list_noopt",325
113,100,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R2;c2=int:0","benchmark_awfy_list_noopt",323
114,100,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | RET_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_list_noopt",449
115,100,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r1)","c1=int:1;r1=R2;c2=int:0;r2=R1;r3=R0","benchmark_awfy_list_noopt",327
116,100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r2,r1)","r1=R17;r2=R12;r3=R11;c1=int:4;c2=int:256","benchmark_awfy_list_noopt",556
117,100,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | UNLINK_REG(r7)","r1=R3;r2=R13;r3=R4;r4=R14;r5=R5;r6=R15;r7=R1","benchmark_awfy_list_noopt",593
118,100,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R5;r2=R15;r3=R1;r4=R2;r5=R14;c1=int:1","benchmark_awfy_list_noopt",599
119,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_list_noopt",33
120,1,1,1,4,over_3_symbols,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@8200;c2=int:0","benchmark_awfy_list_noopt",153
121,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r1,r1,r3)","r1=R10;c1=string@7624;r2=R1;c2=string@7776;r3=R2","benchmark_awfy_list_noopt",143
122,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R6;r2=R5;r3=R1;r4=R10;c1=string@7624","benchmark_awfy_list_noopt",137
123,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R5;r2=R1;r3=R10;c1=string@7624;c2=string@7776","benchmark_awfy_list_noopt",139
124,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_list_noopt",25
125,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@72","benchmark_awfy_list_noopt",45
126,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_list_noopt",29
127,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@8200","benchmark_awfy_list_noopt",151
128,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@7624;c2=string@7776;r3=R2","benchmark_awfy_list_noopt",141
129,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_list_noopt",39
130,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_list_noopt",22
131,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R5;c1=int:1;r2=R4;r3=R1;c2=label@137;r4=R3;c3=int:0","benchmark_awfy_list_noopt",75
132,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R5;c2=int:1;r3=R4;r4=R1;c3=label@137","benchmark_awfy_list_noopt",72
133,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_list_noopt",36
134,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1)","r1=R10;c1=string@7776;r2=R2","benchmark_awfy_list_noopt",147
135,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_list_noopt",6
136,1,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3)","c1=int:1;c2=label@19;r1=R12;c3=int:512","benchmark_awfy_list_noopt",4
137,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_list_noopt",8
138,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_list_noopt",43
