rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
188,400,1,1,4,candidate,"MTIME_REG(r1) | REQ_REG_REG_STRING(r2,r3,c1)","r1=R1;r2=R17;r3=R7;c1=string@1628928","time",245
189,400,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | BRTPANDT_ID_REG_INT(c4,r1,c5)","c1=int:18;c2=int:1;c3=int:2;c4=label@14;r1=R24;c5=int:256","time",0
190,400,1,1,4,candidate,"STRUPPER_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r1,c1)","r1=R7;r2=R24;r3=R0;c1=string@1628648","time",32
191,400,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r3,c1)","r1=R1;r2=R20;r3=R16;c1=int:0","time",281
192,400,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_FLOAT(r3,c1)","r1=R1;r2=R22;r3=R18;c1=float@473216","time",321
193,399,1,1,4,candidate,"BEQ_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1)","c1=label@20;r1=R5;c2=int:0;r2=R1","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",7
194,399,1,1,3,candidate,"COPY_REG_REG(r1,r2) | ISUB_REG_REG_REG(r1,r1,r3)","r1=R1;r2=R5;r3=R3","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",11
195,399,1,1,2,candidate,"ISUB_REG_REG_REG(r1,r1,r2) | RET_REG(r1)","r1=R1;r2=R3","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",14
196,307,10,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_STRING(r2,c2)","r1=R25;c1=int:14;r2=R4;c2=string@1533056","trace",10150
197,232,3,1,4,candidate,"STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1)","r1=R18;r2=R17;r3=R20;r4=R19","trace",4354
198,232,3,1,4,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1)","r1=R13;r2=R11;r3=R20;c1=int:1","trace",4329
199,220,3,2,5,candidate,"SETTP_REG_INT(r1,c1) | BRTPANDT_ID_REG_INT(c2,r2,c3)","r1=R27;c1=int:0;c2=label@24;r2=R28;c3=int:256","floatformat",11
200,218,3,2,4,candidate,"BRF_ID_REG(c1,r1) | SETSTRPOS_REG_REG(r2,r3)","c1=label@404;r1=R47;r2=R23;r3=R40","_typedformat",394
201,218,4,2,6,candidate,"SETTP_REG_INT(r1,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r2,c2,r3,r4,c1)","r1=R102;c1=int:0;r2=R96;c2=func@75104;r3=R98;r4=R103","benchmark_rexxcps_levelb_noopt",1500
202,217,3,2,3,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1)","c1=int:18;c2=int:1;r1=R0","trace",4243
203,216,1,1,5,candidate,"BEQ_ID_REG_INT(c1,r1,c2) | INE_REG_REG_INT(r2,r1,c3)","c1=label@107;r1=R9;c2=int:76;r2=R18;c3=int:84","strip",88
204,216,1,1,5,candidate,"BRF_ID_REG(c1,r1) | INE_REG_REG_INT(r2,r3,c2)","c1=label@107;r1=R18;r2=R19;r3=R9;c2=int:66","strip",96
205,216,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_INT_REG(r2,c2,r3)","c1=label@284;r1=R21;r2=R12;c2=int:0;r3=R16","strip",183
206,216,1,1,3,candidate,"BRF_ID_REG(c1,r1) | RET_REG(r2)","c1=label@300;r1=R22;r2=R15","strip",295
207,216,1,1,4,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r1,c3)","c1=label@26;r1=R25;c2=int:256;c3=string@1553992","strip",16
208,216,1,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2)","r1=R2;r2=R0;c1=int:256;r3=R7;c2=string@28856","strip",58
209,216,1,1,4,candidate,"IADD_REG_REG_INT(r1,r2,c1) | BR_ID(c2)","r1=R4;r2=R6;c1=int:1;c2=label@284","strip",200
210,216,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BNE_ID_REG_INT(c1,r2,c2)","r1=R4;r2=R16;c1=label@145;c2=int:0","strip",136
211,216,1,1,5,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R19;r2=R9;c1=int:66;c2=label@113;c3=label@116","strip",99
212,216,1,1,5,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | FNDNBLNK_REG_REG_REG(r3,r4,r1)","r1=R12;c1=int:0;r2=R16;r3=R6;r4=R15","strip",186
