rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,218896,6,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2)","r1=R12;c1=int:18;c2=int:1;r2=R8;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",700
90,20114,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R5;c1=int:0;r3=R6;r4=R11;c2=label@1001","benchmark_awfy_richards_noopt",987
91,20114,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4)","r1=R9;r2=R17;c1=int:20;c2=int:6;r3=R11;r4=R18;c3=int:1;r5=R5;r6=R8;c4=int:256","benchmark_awfy_richards_noopt",1381
92,20114,3,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r5,c5,r2,r6,r3)","r1=R5;r2=R17;c1=int:20;c2=int:6;r3=R8;r4=R18;c3=int:1;c4=int:256;r5=R4;c5=func@44032;r6=R19","benchmark_awfy_richards_noopt",1389
93,20114,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11","benchmark_awfy_richards_noopt",982
94,19435,5,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10","benchmark_awfy_richards_noopt",1044
95,19414,2,1,7,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r4)","c1=label@1819;r1=R7;r2=R25;c2=int:256;r3=R11;c3=func@49360;r4=R26","benchmark_awfy_richards_noopt",1806
96,19308,2,1,4,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R2;r2=R9;c1=int:8;r3=R3","benchmark_awfy_richards_noopt",1950
97,18588,1,1,11,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5)","r1=R3;r2=R12;c1=int:0;c2=label@2748;r3=R6;r4=R10;c3=int:3;c4=int:6;r5=R5;r6=R11;c5=int:1","benchmark_awfy_richards_noopt",2689
98,18588,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R4;r2=R5;r3=R6;r4=R7;c1=int:0","benchmark_awfy_richards_noopt",2704
99,17086,2,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4)","r1=R4;r2=R5;c1=label@1381;r3=R7;r4=R9;r5=R17;c2=int:20;c3=int:6;r6=R8;r7=R18;c4=int:1","benchmark_awfy_richards_noopt",1317
100,14760,1,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r1,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r1,c1,r3)","r1=R5;r2=R2;c1=int:0;r3=R3;r4=R7;c2=int:25;c3=int:6;r5=R8;c4=int:1","benchmark_awfy_richards_noopt",1073
101,14760,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r5,r4,c3)","r1=R3;r2=R7;c1=int:23;c2=int:6;r3=R2;r4=R8;c3=int:1;r5=R5;c4=int:0;c5=int:25","benchmark_awfy_richards_noopt",1065
102,14760,1,1,10,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c5,r1)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:23;c4=int:6;r3=R2;r4=R8;r5=R5;c5=int:0","benchmark_awfy_richards_noopt",1061
103,14760,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | SETTP_REG_INT(r4,c2)","r1=R8;r2=R9;c1=label@1819;r3=R7;r4=R25;c2=int:256","benchmark_awfy_richards_noopt",1803
104,14759,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2)","c1=label@1381;r1=R7;r2=R9;r3=R17;c2=int:20;c3=int:6;r4=R8;r5=R18;c4=int:1;r6=R19","benchmark_awfy_richards_noopt",1320
105,14759,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1)","r1=R6;r2=R10;c1=int:1;r3=R8;r4=R17;c2=int:24;c3=int:6;r5=R18;r6=R4;r7=R20","benchmark_awfy_richards_noopt",1343
106,14759,1,1,10,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1)","r1=R8;r2=R19;r3=R9;r4=R17;c1=int:23;c2=int:6;r5=R10;r6=R18;c3=int:1;r7=R6","benchmark_awfy_richards_noopt",1331
107,14759,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1)","r1=R4;r2=R17;c1=int:24;c2=int:6;r3=R6;r4=R20;c3=int:1;r5=R11;r6=R10","benchmark_awfy_richards_noopt",1356
108,14759,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3)","r1=R8;r2=R17;c1=int:23;c2=int:6;r3=R10;r4=R18;c3=int:1;r5=R6;c4=int:24","benchmark_awfy_richards_noopt",1335
109,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3)","r1=R9;r2=R17;c1=int:20;c2=int:6;r3=R8;r4=R18;c3=int:1;r5=R19;c4=int:23;r6=R10","benchmark_awfy_richards_noopt",1323
110,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6)","r1=R8;r2=R17;c1=int:24;c2=int:6;r3=R10;r4=R18;c3=int:1;r5=R4;r6=R6;r7=R20;r8=R11","benchmark_awfy_richards_noopt",1348
111,13956,6,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R9;r2=R7;c1=int:0;c2=label@2220;r3=R3;r4=R18;c3=int:10","benchmark_awfy_richards_noopt",2198
112,13139,2,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | RET_REG(r4)","r1=R10;r2=R8;c1=label@1379;r3=R11;r4=R18","benchmark_awfy_richards_noopt",1371
113,12327,2,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R2;r2=R3;c1=int:0;c2=label@1978","benchmark_awfy_richards_noopt",1960
114,12327,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R3;r2=R9;c1=int:8;r3=R2;c2=int:0","benchmark_awfy_richards_noopt",1956
115,11627,1,1,7,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R6;r2=R31;c1=int:0;c2=label@2389;r3=R8;r4=R29;c3=int:16","benchmark_awfy_richards_noopt",2297
116,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3)","r1=R8;r2=R29;c1=int:16;r3=R7;r4=R31;c2=int:0;r5=R9;c3=int:1","benchmark_awfy_richards_noopt",2304
117,11627,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2)","r1=R7;r2=R8;r3=R31;c1=int:0;r4=R9;c2=int:1","benchmark_awfy_richards_noopt",2308
118,10467,2,1,7,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r1,c2)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0","benchmark_awfy_richards_noopt",1001
119,10127,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1)","r1=R0;r2=R7;r3=R6;c1=int:0","benchmark_awfy_richards_noopt",1013
120,10127,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | RET_REG(r5)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R10;r5=R11","benchmark_awfy_richards_noopt",1048
121,10127,1,1,5,candidate,"UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R0;c1=int:0;c2=label@1044","benchmark_awfy_richards_noopt",1016
122,10000,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IEQ_REG_REG_INT(r3,r2,c2)","r1=R9;c1=int:8;r2=R3;r3=R2;c2=int:0","benchmark_awfy_richards_noopt",1952
123,10000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R3;r2=R2;c1=int:1;r3=R9;c2=int:8","benchmark_awfy_richards_noopt",1946
124,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R9;c1=int:8;r3=R3;c2=int:1","benchmark_awfy_richards_noopt",1942
125,10000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | ISUB_REG_REG_INT(r3,r1,c2)","c1=int:18;c2=int:1;r1=R2;r2=R9;c3=int:8;r3=R3","benchmark_awfy_richards_noopt",1938
126,9999,1,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | SETTP_REG_INT(r1,c3)","r1=R12;c1=int:18;c2=int:1;c3=int:256","benchmark_awfy_richards_noopt",1538
127,9999,1,1,4,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2)","r1=R4;r2=R5;c1=int:1;c2=int:0","benchmark_awfy_richards_noopt",1982
128,9999,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r1,r6,c4) | LINKATTR1_REG_REG_INT(r7,r5,c2)","r1=R6;r2=R5;c1=int:0;r3=R3;r4=R4;r5=R12;c2=int:24;c3=int:6;r6=R1;c4=int:1;r7=R8","benchmark_awfy_richards_noopt",1576
129,9999,2,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3)","r1=R9;c1=int:7;r2=R1;r3=R7;c2=int:4;c3=int:256","benchmark_awfy_richards_noopt",2005
130,9999,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R5;r2=R9;c1=int:7;r3=R4;c2=int:1","benchmark_awfy_richards_noopt",1978
131,9999,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R9;c1=int:7;r3=R1;c2=int:2","benchmark_awfy_richards_noopt",1995
132,9999,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c5,c2,r5,r4,c3)","r1=R3;r2=R12;c1=int:19;c2=int:6;r3=R5;r4=R1;c3=int:1;r5=R6;c4=int:0;r6=R4;c5=int:24","benchmark_awfy_richards_noopt",1568
133,9999,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1) | LINKATTR1_REG_REG_INT(r6,r2,c4)","r1=R4;r2=R12;c1=int:24;c2=int:6;r3=R6;r4=R1;c3=int:1;r5=R8;r6=R3;c4=int:2","benchmark_awfy_richards_noopt",1581
134,9999,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R7;c1=int:4;r2=R9;c2=int:256;r3=R3;c3=func@70016","benchmark_awfy_richards_noopt",2009
135,9999,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SETTP_REG_INT(r1,c3) | CALL2_REG_FUNC_REG_REG(r2,c4,r1,r3)","c1=int:18;c2=int:1;r1=R12;c3=int:256;r2=R1;c4=func@65128;r3=R13","benchmark_awfy_richards_noopt",1540
136,9999,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGT_REG_REG_REG(r4,r5,r1)","r1=R7;r2=R8;c1=int:6;r3=R3;c2=int:1;r4=R10;r5=R6","benchmark_awfy_richards_noopt",1597
137,9999,1,1,4,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R5;r2=R4;c1=int:0;c2=label@2022","benchmark_awfy_richards_noopt",1986
138,9999,1,1,5,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | UNLINKN_REG_REG(r4,r5)","r1=R3;r2=R10;r3=R6;r4=R7;r5=R8","benchmark_awfy_richards_noopt",1603
139,9987,1,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | RET_REG(r3)","r1=R7;r2=R11;c1=int:0;c2=label@1001;r3=R10","benchmark_awfy_richards_noopt",992
140,9308,1,1,7,candidate,"BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r4,r2,c3)","c1=label@2281;r1=R4;r2=R2;r3=R18;c2=int:26;r4=R8;c3=int:1","benchmark_awfy_richards_noopt",2147
141,9308,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISUB_REG_REG_INT(r3,r1,c2)","r1=R8;r2=R9;c1=int:65;r3=R6;c2=int:1","benchmark_awfy_richards_noopt",2188
142,9308,1,1,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R3;r2=R8;c1=int:26;c2=label@2184","benchmark_awfy_richards_noopt",2168
143,9308,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R4;r2=R7;r3=R5;c1=label@2281;r4=R2;r5=R18;c2=int:26","benchmark_awfy_richards_noopt",2143
144,9308,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IGT_REG_REG_INT(r3,r2,c1)","r1=R18;c1=int:26;r2=R8;r3=R3","benchmark_awfy_richards_noopt",2160
145,9308,1,1,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R6;r2=R8;c1=int:1;r3=R9;r4=R7;c2=int:0;c3=label@2220","benchmark_awfy_richards_noopt",2194
146,9308,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","r1=R8;r2=R18;c1=int:26;r3=R3","benchmark_awfy_richards_noopt",2164
147,9308,1,1,6,candidate,"UNLINK_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | IEQ_REG_REG_INT(r1,r4,c2)","r1=R9;r2=R6;r3=R8;c1=int:1;r4=R7;c2=int:0","benchmark_awfy_richards_noopt",2192
148,9305,2,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | IADD_REG_REG_INT(r3,r1,c2)","c1=int:18;c2=int:1;r1=R5;r2=R9;c3=int:9;r3=R6","benchmark_awfy_richards_noopt",791
149,9305,2,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r3,r5,c2)","r1=R6;r2=R7;r3=R5;c1=int:0;r4=R4;r5=R9;c2=int:10","benchmark_awfy_richards_noopt",879
150,9305,2,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R5;r2=R9;c1=int:9;r3=R6;r4=R4;c2=int:17","benchmark_awfy_richards_noopt",803
151,9300,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ISETUNLINKN_REG_REG_REG(r3,r1,r4) | SETTP_REG_INT(r5,c2)","r1=R25;r2=R0;c1=int:1;r3=R27;r4=R26;r5=R29;c2=int:256","benchmark_awfy_richards_noopt",2665
152,9300,1,1,10,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3) | IGETUNLINK_REG_REG(r7,r2)","r1=R16;r2=R27;r3=R14;r4=R25;r5=R29;c1=int:5;c2=int:6;r6=R30;c3=int:1;r7=R4","benchmark_awfy_richards_noopt",2385
153,9300,1,1,8,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | SETTP_REG_INT(r4,c1) | CALL2_REG_FUNC_REG_REG(r5,c2,r4,r6)","r1=R27;r2=R25;r3=R26;r4=R29;c1=int:256;r5=R24;c2=func@73736;r6=R1","benchmark_awfy_richards_noopt",2669
154,9300,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IADD_REG_REG_INT(r5,r6,c3)","r1=R26;r2=R29;c1=int:14;r3=R27;r4=R4;c2=int:0;r5=R25;r6=R0;c3=int:1","benchmark_awfy_richards_noopt",2656
155,9300,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IADD_REG_REG_INT(r4,r5,c2) | ISETUNLINKN_REG_REG_REG(r1,r4,r2)","r1=R27;r2=R26;r3=R4;c1=int:0;r4=R25;r5=R0;c2=int:1","benchmark_awfy_richards_noopt",2660
156,9300,4,1,9,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r6,r4,r7,c1)","r1=R26;r2=R25;r3=R1;c1=int:0;r4=R23;r5=R29;c2=int:10;r6=R24;r7=R4","benchmark_awfy_richards_noopt",2539
157,9300,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r6,c1,c2,r4,r7,c3)","r1=R13;r2=R25;r3=R16;r4=R27;r5=R14;r6=R29;c1=int:5;c2=int:6;r7=R30;c3=int:1","benchmark_awfy_richards_noopt",2382
158,9300,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R23;r2=R27;r3=R25;r4=R0;c1=int:0","benchmark_awfy_richards_noopt",2523
159,9297,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r2,r4,c2) | LINKATTR1_REG_REG_INT(r5,r4,c3)","r1=R1;r2=R2;c1=int:1;r3=R4;r4=R7;c2=int:21;r5=R5;c3=int:2","benchmark_awfy_richards_noopt",1482
160,9297,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R7;c1=int:6;r2=R3;r3=R4;c2=int:19;c3=int:2","benchmark_awfy_richards_noopt",1462
161,9297,1,1,5,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | RET_REG(r1)","r1=R4;r2=R2;c1=int:6;r3=R5;c2=int:1","benchmark_awfy_richards_noopt",1495
162,9296,1,1,6,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | SETTP_REG_INT(r4,c1) | CALL1_REG_FUNC_REG(r3,c2,r4)","r1=R8;r2=R12;r3=R6;r4=R10;c1=int:256;c2=func@67024","benchmark_awfy_richards_noopt",2756
163,9296,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | SETTP_REG_INT(r2,c4)","r1=R6;r2=R10;c1=int:3;c2=int:6;r3=R8;r4=R11;c3=int:1;r5=R12;c4=int:256","benchmark_awfy_richards_noopt",2748
164,9294,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | SETTP_REG_INT(r4,c2) | CALL2_REG_FUNC_REG_REG(r1,c3,r4,r5)","r1=R5;r2=R8;c1=int:0;r3=R6;r4=R10;c2=int:256;c3=func@73736;r5=R4","benchmark_awfy_richards_noopt",2733
165,9294,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | SETTP_REG_INT(r2,c5)","r1=R6;r2=R10;c1=int:3;c2=int:6;r3=R8;r4=R11;c3=int:1;r5=R5;c4=int:0;c5=int:256","benchmark_awfy_richards_noopt",2725
166,8490,1,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r1,r5,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r1,c4,r3)","r1=R5;r2=R2;c1=int:1;r3=R3;r4=R7;c2=int:25;c3=int:6;r5=R8;c4=int:0","benchmark_awfy_richards_noopt",1119
167,8490,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r5,r4,c3)","r1=R3;r2=R7;c1=int:23;c2=int:6;r3=R2;r4=R8;c3=int:1;r5=R5;c4=int:25","benchmark_awfy_richards_noopt",1111
168,8490,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:23;c4=int:6;r3=R2;r4=R8;r5=R5","benchmark_awfy_richards_noopt",1107
169,8487,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | ISETUNLINKN_REG_REG_REG(r3,r4,r5) | RET_REG(r6)","r1=R8;r2=R5;r3=R11;r4=R4;r5=R9;r6=R20","benchmark_awfy_richards_noopt",1406
170,6981,3,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | BR_ID(c2)","r1=R8;r2=R3;r3=R19;c1=int:0;r4=R6;c2=label@2277","benchmark_awfy_richards_noopt",2209
171,6975,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINKBR_REG_ID(r4,c1)","r1=R26;r2=R24;r3=R23;r4=R25;c1=label@2656","benchmark_awfy_richards_noopt",2553
172,5007,1,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IDIV_REG_REG_INT(r4,r2,c3)","c1=label@2022;r1=R4;r2=R2;r3=R9;c2=int:7;r4=R1;c3=int:2","benchmark_awfy_richards_noopt",1992
