rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
42,40960,1,1,4,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R3;c1=int:65536;r2=R5;c2=int:1","benchmark_awfy_storage_noopt",182
43,40960,1,1,7,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | COPY_REG_REG(r4,r5)","r1=R8;r2=R4;c1=int:10;r3=R5;c2=int:1;r4=R10;r5=R18","benchmark_awfy_storage_noopt",305
44,40960,1,1,4,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2)","r1=R3;r2=R2;c1=int:1309;c2=int:13849","benchmark_awfy_storage_noopt",172
45,40960,1,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | RET_REG(r2)","r1=R5;c1=int:1;r2=R3","benchmark_awfy_storage_noopt",186
46,40960,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R5;c1=int:1;r3=R3;c2=int:1309","benchmark_awfy_storage_noopt",168
47,40960,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SWAP_REG_REG(r4,r1)","r1=R8;r2=R11;c1=int:2;r3=R4;c2=int:3;r4=R5","benchmark_awfy_storage_noopt",403
48,40960,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | IMULT_REG_REG_INT(r3,r1,c3)","c1=int:18;c2=int:1;r1=R2;r2=R5;r3=R3;c3=int:1309","benchmark_awfy_storage_noopt",164
49,40960,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | LOAD_REG_INT(r3,c4)","c1=int:18;c2=int:1;r1=R8;r2=R11;c3=int:2;r3=R4;c4=int:3","benchmark_awfy_storage_noopt",399
50,40960,1,1,6,candidate,"SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2)","r1=R1;c1=int:256;r2=R7;r3=R9;c2=int:0;r4=R3","objectarrayappend",19
51,40960,1,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL3_REG_FUNC_REG_REG_REG(r3,c3,r1,r4,r2)","r1=R1;c1=int:256;r2=R10;c2=int:768;r3=R4;c3=func@19112;r4=R5","benchmark_awfy_storage_noopt",316
52,40960,1,1,8,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c2,r4,r5,c1,r6)","r1=R13;c1=int:256;r2=R6;r3=R9;c2=func@24520;r4=R4;r5=R12;r6=R7","benchmark_awfy_storage_noopt",413
53,40960,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | ISETATTR1_REG_INT_REG(r3,c1,r4) | RET()","r1=R12;r2=R7;r3=R11;c1=int:1;r4=R9","benchmark_awfy_storage_noopt",434
54,40960,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R5;r2=R8;r3=R13;c1=int:256;r4=R6","benchmark_awfy_storage_noopt",410
55,40960,1,1,7,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ISETATTR1_REG_INT_REG(r5,c1,r6)","r1=R13;r2=R6;r3=R12;r4=R7;r5=R11;c1=int:1;r6=R9","benchmark_awfy_storage_noopt",431
56,40960,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | SWAP_REG_REG(r3,r4)","r1=R8;r2=R5;r3=R13;r4=R6","benchmark_awfy_storage_noopt",426
57,40960,1,1,4,candidate,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2)","r1=R2;r2=R3;c1=int:13849;c2=int:65536","benchmark_awfy_storage_noopt",176
58,40960,1,1,5,candidate,"UNLINK_REG(r1) | SWAP_REG_REG(r2,r3) | SWAP_REG_REG(r4,r5)","r1=R8;r2=R13;r3=R6;r4=R12;r5=R7","benchmark_awfy_storage_noopt",429
59,13650,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R8;c1=int:4;r2=R7;r3=R9;c2=label@374","benchmark_awfy_storage_noopt",333
60,13650,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R9;c1=int:1;r2=R8;c2=int:4;r3=R7","benchmark_awfy_storage_noopt",330
61,10,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | CALL_REG_FUNC(r2,c3)","r1=R8;c1=int:18;c2=int:1;r2=R0;c3=func@9336","benchmark_awfy_storage_noopt",215
62,10,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | CALL_REG_FUNC(r4,c2)","r1=R4;r2=R5;r3=R1;c1=label@107;r4=R6;c2=func@5184","benchmark_awfy_storage_noopt",64
63,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3)","r1=R8;c1=int:1;r2=R4;r3=R5;c2=int:7;c3=int:256","benchmark_awfy_storage_noopt",227
64,10,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c3)","r1=R4;c1=int:0;r2=R8;c2=int:1;r3=R5;c3=int:7","benchmark_awfy_storage_noopt",224
65,10,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2)","r1=R5;c1=int:7;r2=R8;c2=int:256;r3=R0","benchmark_awfy_storage_noopt",231
66,10,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R1;r2=R3","benchmark_awfy_storage_noopt",482
67,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@39;r1=R4;r2=R5;r3=R0;c2=int:1","benchmark_awfy_storage_noopt",27
68,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R12;c2=int:512;r2=R0;c3=label@16","benchmark_awfy_storage_noopt",4
69,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R10;r2=R2;c1=string@7912","benchmark_awfy_storage_noopt",121
70,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R10;c1=string@7344;r2=R1;c2=string@7496;r3=R2","benchmark_awfy_storage_noopt",111
71,1,1,1,4,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R6;r2=R1;r3=R10;c1=string@7344","benchmark_awfy_storage_noopt",107
72,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@39","benchmark_awfy_storage_noopt",19
