entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-heavy-retained,110,103,4,SAY_REG,5,12749,2549,625,9291,0.003006,complete
rexxcps-opaque-heavy-retained,110,109,17,SCONCAT_REG_STRING_REG,5,1166,233,41,417,0.000275,complete
rexxcps-opaque-heavy-retained,112,69,2,MTIME_REG,4,322749,80687,458,318458,0.076108,complete
rexxcps-opaque-heavy-retained,112,104,5,SAY_STRING,4,8250,2062,375,6000,0.001945,complete
rexxcps-opaque-heavy-retained,112,114,19,FDIV_REG_REG_FLOAT,4,793,198,42,459,0.000187,complete
rexxcps-opaque-heavy-retained,112,116,21,SCONCAT_REG_REG_STRING,4,625,156,83,292,0.000147,complete
rexxcps-opaque-heavy-retained,116,122,27,FDIV_REG_REG_REG,3,250,83,42,125,0.000059,complete
rexxcps-opaque-heavy-retained,117,111,10,STOF_REG,2,875,437,417,458,0.000206,complete
rexxcps-opaque-heavy-retained,117,123,27,SAPPEND_REG_REG,2,167,83,42,125,0.000039,complete
rexxcps-opaque-heavy-retained,119,106,3,RXVERS_REG,1,2917,2917,2917,2917,0.000688,complete
rexxcps-opaque-heavy-retained,119,115,7,JUMPR_REG_BINARY,1,667,667,667,667,0.000157,complete
rexxcps-opaque-heavy-retained,119,118,8,FSUB_REG_REG_REG,1,500,500,500,500,0.000118,complete
rexxcps-opaque-heavy-retained,119,120,11,BLT_ID_REG_INT,1,417,417,417,417,0.000098,complete
rexxcps-opaque-heavy-retained,119,120,11,RNE_REG_REG_REG,1,417,417,417,417,0.000098,complete
rexxcps-opaque-heavy-retained,119,124,23,INE_REG_REG_REG,1,125,125,125,125,0.000029,complete
rexxcps-opaque-heavy-retained,119,125,27,FDIV_REG_FLOAT_REG,1,83,83,83,83,0.000020,complete
rexxcps-opaque-heavy-stripped,1,2,86,BRF_ID_REG,2930580,44550655,15,0,35834,10.665084,complete
rexxcps-opaque-heavy-stripped,2,5,86,ENDLIFE_REG,1359846,20527195,15,0,29250,4.914052,complete
rexxcps-opaque-heavy-stripped,3,6,86,NULL_REG,1343104,20467097,15,0,10666,4.899665,complete
rexxcps-opaque-heavy-stripped,4,7,86,ICOPY_REG_REG,1122083,17090484,15,0,35125,4.091330,complete
rexxcps-opaque-heavy-stripped,5,8,86,IEQ_REG_REG_INT,908904,14083498,15,0,120500,3.371481,complete
rexxcps-opaque-heavy-stripped,6,9,72,SCOPY_REG_REG,812072,13237775,16,0,14625,3.169021,complete
rexxcps-opaque-heavy-stripped,7,10,119,BR_ID,798417,11490983,14,0,44584,2.750853,complete
rexxcps-opaque-heavy-stripped,8,11,119,BRT_ID_REG,740015,10794389,14,0,12500,2.584094,complete
rexxcps-opaque-heavy-stripped,9,13,86,LOAD_REG_INT,652467,9807120,15,0,18166,2.347749,complete
rexxcps-opaque-heavy-stripped,10,14,86,IADD_REG_REG_INT,575290,8667307,15,0,16041,2.074887,complete
rexxcps-opaque-heavy-stripped,11,12,67,STRCHAR_REG_REG_REG,574681,10270752,17,0,13125,2.458739,complete
rexxcps-opaque-heavy-stripped,12,15,86,IGT_REG_REG_REG,510325,8079830,15,0,12750,1.934249,complete
rexxcps-opaque-heavy-stripped,13,16,119,UNLINK_REG,497449,7402386,14,0,19583,1.772074,complete
rexxcps-opaque-heavy-stripped,14,18,119,IADD_REG_REG_REG,335231,5001832,14,0,11583,1.197400,complete
rexxcps-opaque-heavy-stripped,15,19,86,ILT_REG_REG_INT,317925,4981320,15,0,9667,1.192490,complete
