rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,106953,2,1,5,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3) | BRF_ID_REG(c2,r2)","r1=R2;r2=R5;c1=int:0;r3=R3;c2=label@1250","benchmark_awfy_richards_noopt",1233
73,23246,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETTP_REG_INT(r4,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r5,c3,r4,r6,r7,r3)","r1=R7;r2=R6;r3=R8;r4=R11;c1=int:2;c2=int:256;r5=R9;c3=func@59872;r6=R1;r7=R12","benchmark_awfy_richards_noopt",1712
74,23246,1,1,8,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r5,c3)","r1=R6;r2=R11;c1=int:18;r3=R5;c2=int:17;r4=R7;r5=R12;c3=int:0","benchmark_awfy_richards_noopt",1676
75,20921,3,1,7,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | SETTP_REG_INT(r4,c3)","r1=R25;r2=R27;r3=R4;c1=int:0;c2=label@2418;r4=R29;c3=int:256","benchmark_awfy_richards_noopt",2400
76,20310,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R0;r2=R27;r3=R26;c1=int:4;c2=label@2474","benchmark_awfy_richards_noopt",2427
77,20310,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | IGTE_REG_REG_INT(r1,r4,c2)","r1=R27;r2=R26;r3=R4;c1=int:0;r4=R0;c2=int:4","benchmark_awfy_richards_noopt",2422
78,20114,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | IEQ_REG_REG_INT(r5,r6,c2)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7;r6=R11","benchmark_awfy_richards_noopt",978
79,20114,3,1,13,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r4,c3) | SETTP_REG_INT(r2,c4) | CALL3_REG_FUNC_REG_REG_REG(r7,c5,r2,r8,r6)","r1=R9;r2=R17;c1=int:20;c2=int:6;r3=R11;r4=R18;c3=int:1;r5=R5;r6=R8;c4=int:256;r7=R4;c5=func@44032;r8=R19","benchmark_awfy_richards_noopt",1381
80,20114,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R5;r2=R6;r3=R10;c1=int:0;r4=R7;r5=R11;c2=label@1001","benchmark_awfy_richards_noopt",982
81,20114,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0;r5=R7","benchmark_awfy_richards_noopt",974
82,18588,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c3,c4,r5,r6,c5) | IGETUNLINK_REG_REG(r7,r5)","r1=R3;r2=R12;c1=int:0;c2=label@2748;r3=R6;r4=R10;c3=int:3;c4=int:6;r5=R5;r6=R11;c5=int:1;r7=R4","benchmark_awfy_richards_noopt",2689
83,18588,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R4;r2=R5;r3=R6;r4=R7;c1=int:0;c2=label@2725","benchmark_awfy_richards_noopt",2704
84,18588,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r6,r5,c4)","r1=R6;r2=R10;c1=int:3;c2=int:6;r3=R5;r4=R11;c3=int:1;r5=R4;r6=R7;c4=int:0","benchmark_awfy_richards_noopt",2696
85,18588,1,1,12,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c5,c6,r5,r6,c2)","c1=int:18;c2=int:1;r1=R3;r2=R12;c3=int:0;c4=label@2748;r3=R6;r4=R10;c5=int:3;c6=int:6;r5=R5;r6=R11","benchmark_awfy_richards_noopt",2685
86,14760,1,1,10,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c5,r2)","r1=R7;c1=int:18;c2=int:1;r2=R3;c3=int:23;c4=int:6;r3=R2;r4=R8;r5=R5;c5=int:0","benchmark_awfy_richards_noopt",1059
87,14760,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | SETTP_REG_INT(r4,c3)","r1=R7;r2=R8;c1=int:0;r3=R9;c2=label@1819;r4=R25;c3=int:256","benchmark_awfy_richards_noopt",1799
88,14760,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r1,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r1,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c5,c3,r1,r5,c4)","r1=R5;r2=R2;c1=int:0;r3=R3;r4=R7;c2=int:25;c3=int:6;r5=R8;c4=int:1;c5=int:19","benchmark_awfy_richards_noopt",1073
89,14760,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r5,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r3,r5,c4,r1)","r1=R3;r2=R7;c1=int:23;c2=int:6;r3=R2;r4=R8;c3=int:1;r5=R5;c4=int:0;c5=int:25","benchmark_awfy_richards_noopt",1065
90,14760,1,1,11,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c6,c4,r5,r4,c2)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:23;c4=int:6;r3=R2;r4=R8;r5=R5;c5=int:0;c6=int:25","benchmark_awfy_richards_noopt",1061
91,14760,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | SETTP_REG_INT(r4,c2) | CALL2_REG_FUNC_REG_REG(r5,c3,r4,r6)","r1=R8;r2=R9;c1=label@1819;r3=R7;r4=R25;c2=int:256;r5=R11;c3=func@49360;r6=R26","benchmark_awfy_richards_noopt",1803
92,14759,1,1,12,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r3,c5,c3,r7,r5,c4)","c1=label@1381;r1=R7;r2=R9;r3=R17;c2=int:20;c3=int:6;r4=R8;r5=R18;c4=int:1;r6=R19;c5=int:23;r7=R10","benchmark_awfy_richards_noopt",1320
93,14759,1,1,12,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c3,c4,r6,r7,c5)","r1=R7;r2=R4;c1=int:0;r3=R5;c2=label@1381;r4=R9;r5=R17;c3=int:20;c4=int:6;r6=R8;r7=R18;c5=int:1","benchmark_awfy_richards_noopt",1313
94,14759,1,1,11,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1) | IGT_REG_REG_REG(r8,r2,r1)","r1=R6;r2=R10;c1=int:1;r3=R8;r4=R17;c2=int:24;c3=int:6;r5=R18;r6=R4;r7=R20;r8=R11","benchmark_awfy_richards_noopt",1343
95,14759,1,1,11,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c4,c2,r5,r6,c3)","r1=R8;r2=R19;r3=R9;r4=R17;c1=int:23;c2=int:6;r5=R10;r6=R18;c3=int:1;r7=R6;c4=int:24","benchmark_awfy_richards_noopt",1331
96,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1) | UNLINKN_REG_REG(r6,r7)","r1=R4;r2=R17;c1=int:24;c2=int:6;r3=R6;r4=R20;c3=int:1;r5=R11;r6=R10;r7=R8","benchmark_awfy_richards_noopt",1356
97,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c4,c2,r5,r7,c3)","r1=R8;r2=R17;c1=int:23;c2=int:6;r3=R10;r4=R18;c3=int:1;r5=R6;c4=int:24;r6=R4;r7=R20","benchmark_awfy_richards_noopt",1335
98,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r6,c3,r3)","r1=R9;r2=R17;c1=int:20;c2=int:6;r3=R8;r4=R18;c3=int:1;r5=R19;c4=int:23;r6=R10;r7=R6","benchmark_awfy_richards_noopt",1323
99,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6) | UNLINKN_REG_REG(r6,r5)","r1=R8;r2=R17;c1=int:24;c2=int:6;r3=R10;r4=R18;c3=int:1;r5=R4;r6=R6;r7=R20;r8=R11","benchmark_awfy_richards_noopt",1348
100,14759,1,1,12,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r6,r7,c4) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R4;r2=R5;c1=label@1381;r3=R7;r4=R9;r5=R17;c2=int:20;c3=int:6;r6=R8;r7=R18;c4=int:1;r8=R19","benchmark_awfy_richards_noopt",1317
101,13139,2,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5) | RET_REG(r6)","r1=R6;r2=R4;r3=R10;r4=R8;c1=label@1379;r5=R11;r6=R18","benchmark_awfy_richards_noopt",1368
102,12327,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R3;r2=R9;c1=int:8;r3=R2;c2=int:0;c3=label@1978","benchmark_awfy_richards_noopt",1956
103,11627,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","c1=label@2389;r1=R6;r2=R8;r3=R29;c2=int:16;r4=R7;r5=R31;c3=int:0;r6=R9;c4=int:1","benchmark_awfy_richards_noopt",2301
104,11627,1,1,8,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c1)","r1=R6;r2=R31;c1=int:0;c2=label@2389;r3=R8;r4=R29;c3=int:16;r5=R7","benchmark_awfy_richards_noopt",2297
105,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3) | UNLINKN_REG_REG(r3,r1)","r1=R8;r2=R29;c1=int:16;r3=R7;r4=R31;c2=int:0;r5=R9;c3=int:1","benchmark_awfy_richards_noopt",2304
106,11627,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c3,r4)","r1=R7;r2=R8;r3=R31;c1=int:0;r4=R9;c2=int:1;c3=label@2357","benchmark_awfy_richards_noopt",2308
107,11627,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | INE_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1) | LINKATTR1_REG_REG_INT(r3,r4,c5)","c1=int:18;c2=int:1;r1=R6;r2=R31;c3=int:0;c4=label@2389;r3=R8;r4=R29;c5=int:16","benchmark_awfy_richards_noopt",2293
108,10127,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r1,c2) | IGETUNLINK_REG_REG(r6,r5)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0;r6=R0","benchmark_awfy_richards_noopt",1001
109,10127,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R0;r2=R7;r3=R6;c1=int:0;c2=label@1044","benchmark_awfy_richards_noopt",1013
110,10127,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | RET_REG(r6)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R10;r6=R11","benchmark_awfy_richards_noopt",1044
111,10127,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2) | INE_REG_REG_INT(r1,r4,c1)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R0","benchmark_awfy_richards_noopt",1008
112,10000,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | ISUB_REG_REG_INT(r3,r2,c2)","r1=R9;c1=int:18;c2=int:1;r2=R2;c3=int:8;r3=R3","benchmark_awfy_richards_noopt",1936
113,10000,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IEQ_REG_REG_INT(r3,r2,c2) | UNLINK_REG(r2)","r1=R9;c1=int:8;r2=R3;r3=R2;c2=int:0","benchmark_awfy_richards_noopt",1952
114,10000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R3;r2=R2;c1=int:1;r3=R9;c2=int:8","benchmark_awfy_richards_noopt",1946
115,10000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R2;r2=R9;c1=int:8;r3=R3;c2=int:1","benchmark_awfy_richards_noopt",1942
116,10000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | ISUB_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","c1=int:18;c2=int:1;r1=R2;r2=R9;c3=int:8;r3=R3","benchmark_awfy_richards_noopt",1938
117,10000,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IEQ_REG_REG_INT(r1,r3,c2)","r1=R2;r2=R9;c1=int:8;r3=R3;c2=int:0","benchmark_awfy_richards_noopt",1950
118,9999,1,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | SETTP_REG_INT(r1,c3) | CALL2_REG_FUNC_REG_REG(r2,c4,r1,r3)","r1=R12;c1=int:18;c2=int:1;c3=int:256;r2=R1;c4=func@65128;r3=R13","benchmark_awfy_richards_noopt",1538
119,9999,1,1,5,candidate,"IAND_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R4;r2=R5;c1=int:1;c2=int:0;c3=label@2022","benchmark_awfy_richards_noopt",1982
120,9999,1,1,12,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c2,c3,r1,r6,c4) | LINKATTR1_REG_REG_INT(r7,r5,c2) | LINKATTR1_REG_REG_INT(r3,r5,c5)","r1=R6;r2=R5;c1=int:0;r3=R3;r4=R4;r5=R12;c2=int:24;c3=int:6;r6=R1;c4=int:1;r7=R8;c5=int:2","benchmark_awfy_richards_noopt",1576
121,9999,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r1,c3) | CALL2_REG_FUNC_REG_REG(r4,c4,r1,r3)","r1=R9;c1=int:7;r2=R1;r3=R7;c2=int:4;c3=int:256;r4=R3;c4=func@70016","benchmark_awfy_richards_noopt",2005
122,9999,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IAND_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r3,c3)","r1=R5;r2=R9;c1=int:7;r3=R4;c2=int:1;c3=int:0","benchmark_awfy_richards_noopt",1978
123,9999,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | IGT_REG_REG_REG(r5,r6,r3)","r1=R3;r2=R12;c1=int:2;r3=R7;r4=R8;c2=int:6;c3=int:1;r5=R10;r6=R6","benchmark_awfy_richards_noopt",1593
124,9999,1,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c5,c2,r5,r4,c3) | LINKATTR1_REG_REG_INT(r7,r2,c5)","r1=R3;r2=R12;c1=int:19;c2=int:6;r3=R5;r4=R1;c3=int:1;r5=R6;c4=int:0;r6=R4;c5=int:24;r7=R8","benchmark_awfy_richards_noopt",1568
125,9999,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c1) | LINKATTR1_REG_REG_INT(r6,r2,c4) | SETLINKATTR1_REG_REG_INT_REG_INT(r7,r5,c2,r6,c3)","r1=R4;r2=R12;c1=int:24;c2=int:6;r3=R6;r4=R1;c3=int:1;r5=R8;r6=R3;c4=int:2;r7=R7","benchmark_awfy_richards_noopt",1581
126,9999,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | IGT_REG_REG_REG(r4,r5,r1) | UNLINKN_REG_REG(r1,r2)","r1=R7;r2=R8;c1=int:6;r3=R3;c2=int:1;r4=R10;r5=R6","benchmark_awfy_richards_noopt",1597
127,9999,1,1,6,candidate,"UNLINK_REG(r1) | IGT_REG_REG_REG(r2,r3,r4) | UNLINKN_REG_REG(r4,r5) | UNLINKN_REG_REG(r3,r6)","r1=R3;r2=R10;r3=R6;r4=R7;r5=R8;r6=R4","benchmark_awfy_richards_noopt",1603
128,9987,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1) | RET_REG(r5)","r1=R7;r2=R5;c1=int:0;r3=R6;r4=R11;c2=label@1001;r5=R10","benchmark_awfy_richards_noopt",987
129,9308,1,1,7,candidate,"BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r4,r2,c3) | UNLINK_REG(r2)","c1=label@2281;r1=R4;r2=R2;r3=R18;c2=int:26;r4=R8;c3=int:1","benchmark_awfy_richards_noopt",2147
130,9308,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R8;r2=R2;c1=int:1;r3=R18;c2=int:26","benchmark_awfy_richards_noopt",2154
131,9308,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISUB_REG_REG_INT(r3,r1,c2) | IEQ_REG_REG_INT(r2,r4,c3)","r1=R8;r2=R9;c1=int:65;r3=R6;c2=int:1;r4=R7;c3=int:0","benchmark_awfy_richards_noopt",2188
132,9308,1,1,9,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IADD_REG_REG_INT(r6,r4,c3)","r1=R4;r2=R7;r3=R5;c1=label@2281;r4=R2;r5=R18;c2=int:26;r6=R8;c3=int:1","benchmark_awfy_richards_noopt",2143
133,9308,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IGT_REG_REG_INT(r3,r2,c1) | UNLINK_REG(r2)","r1=R18;c1=int:26;r2=R8;r3=R3","benchmark_awfy_richards_noopt",2160
134,9308,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISUB_REG_REG_INT(r4,r3,c3)","r1=R9;r2=R18;c1=int:26;r3=R8;c2=int:65;r4=R6;c3=int:1","benchmark_awfy_richards_noopt",2184
135,9308,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r3)","r1=R8;r2=R18;c1=int:26;r3=R3;c2=label@2184","benchmark_awfy_richards_noopt",2164
136,9308,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGT_REG_REG_INT(r4,r3,c1)","r1=R2;r2=R18;c1=int:26;r3=R8;r4=R3","benchmark_awfy_richards_noopt",2158
137,9308,1,1,7,candidate,"UNLINK_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1) | IEQ_REG_REG_INT(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R9;r2=R6;r3=R8;c1=int:1;r4=R7;c2=int:0;c3=label@2220","benchmark_awfy_richards_noopt",2192
138,9305,2,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | IADD_REG_REG_INT(r3,r2,c2)","r1=R9;c1=int:18;c2=int:1;r2=R5;c3=int:9;r3=R6","benchmark_awfy_richards_noopt",789
139,9305,2,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r4,r3,c3)","r1=R6;r2=R5;c1=int:1;r3=R9;c2=int:9;r4=R4;c3=int:17","benchmark_awfy_richards_noopt",799
140,9305,2,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","c1=int:18;c2=int:1;r1=R5;r2=R9;c3=int:9;r3=R6","benchmark_awfy_richards_noopt",791
141,9304,4,1,10,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r6,c4)","r1=R2;r2=R7;c1=int:1;c2=label@2242;r3=R11;r4=R18;c3=int:11;r5=R10;r6=R19;c4=int:0","benchmark_awfy_richards_noopt",2220
