workload,instruction_index,dynamic_count,dynamic_share_percent,procedure,rxdas_line,instruction,source_step,pre_trace,post_trace,pattern,mapping,vm_count_identity
Towers,1400,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1225,"copy r15,r4",".srcstep 329 329 17 ""awfy_towers.crexx"" 116 27 38 ""    else if pile = 1 then top = pile1""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 4 329 329 0 ""pile1"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 15 329 329 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r2,c1)",r1=R15;r2=R4;c1=label@1415,rxvm=rxbvm
Towers,1410,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1231,"copy r15,r2",".srcstep 330 330 17 ""awfy_towers.crexx"" 117 10 21 ""    else top = pile2""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 2 330 330 0 ""pile2"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 15 330 330 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R15;r2=R2,rxvm=rxbvm
Towers,1430,40960,4.167765,§awfy_towers.towersbenchmark.movedisks(),1252,"copy r5,r7",".srcstep 341 341 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 7 341 341 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1)",r1=R5;r2=R7;c1=string@10,rxvm=rxbvm
Towers,1449,13660,1.389933,§awfy_towers.towersbenchmark.movedisks(),1265,"copy r4,r5",".srcstep 343 343 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 5 343 343 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r1,c1)",r1=R4;r2=R5;c1=label@1481,rxvm=rxbvm
Towers,1466,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1276,"copy r1,r5",".srcstep 344 344 17 ""awfy_towers.crexx"" 121 29 46 ""      else if pile = 1 then pile1 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 5 344 344 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r1,c1)",r1=R1;r2=R5;c1=label@1481,rxvm=rxbvm
Towers,1476,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1281,"copy r0,r5",".srcstep 345 345 17 ""awfy_towers.crexx"" 122 12 29 ""      else pile2 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 5 345 345 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R0;r2=R5,rxvm=rxbvm
Towers,1524,40960,4.167765,§awfy_towers.towersbenchmark.movedisks(),1313,"lb_5f4:         copy r13,r15",".srcstep 364 364 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 15 364 364 0 ""top"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 13 364 364 0 ""__inline_ret_362_363"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)",r1=R13;r2=R15;r3=R12,rxvm=rxbvm
Towers,1527,40960,4.167765,§awfy_towers.towersbenchmark.movedisks(),1319,"copy r12,r13",".srcstep 366 366 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 13 366 366 0 ""__inline_ret_362_363"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 12 366 366 0 ""disk"" """"","COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)",r1=R12;r2=R13;r3=R35;c1=int:256,rxvm=rxbvm
Towers,1596,13700,1.394003,§awfy_towers.towersbenchmark.movedisks(),1388,"copy r28,r23",".srcstep 380 380 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 23 380 380 0 ""pile0"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 28 380 380 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r2,c1)",r1=R28;r2=R23;c1=label@1628,rxvm=rxbvm
Towers,1613,13590,1.382811,§awfy_towers.towersbenchmark.movedisks(),1400,"copy r28,r21",".srcstep 381 381 17 ""awfy_towers.crexx"" 116 27 38 ""    else if pile = 1 then top = pile1""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 21 381 381 0 ""pile1"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 28 381 381 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r2,c1)",r1=R28;r2=R21;c1=label@1628,rxvm=rxbvm
Towers,1623,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1406,"copy r28,r20",".srcstep 382 382 17 ""awfy_towers.crexx"" 117 10 21 ""    else top = pile2""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 20 382 382 0 ""pile2"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 28 382 382 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R28;r2=R20,rxvm=rxbvm
Towers,1643,40940,4.165730,§awfy_towers.towersbenchmark.movedisks(),1427,"copy r22,r24",".srcstep 393 393 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 24 393 393 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1)",r1=R22;r2=R24;c1=string@10,rxvm=rxbvm
Towers,1662,13700,1.394003,§awfy_towers.towersbenchmark.movedisks(),1440,"copy r21,r22",".srcstep 395 395 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 22 395 395 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r1,c1)",r1=R21;r2=R22;c1=label@1694,rxvm=rxbvm
Towers,1679,13590,1.382811,§awfy_towers.towersbenchmark.movedisks(),1451,"copy r17,r22",".srcstep 396 396 17 ""awfy_towers.crexx"" 121 29 46 ""      else if pile = 1 then pile1 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 22 396 396 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r1,c1)",r1=R17;r2=R22;c1=label@1694,rxvm=rxbvm
Towers,1689,13650,1.388916,§awfy_towers.towersbenchmark.movedisks(),1456,"copy r16,r22",".srcstep 397 397 17 ""awfy_towers.crexx"" 122 12 29 ""      else pile2 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 22 397 397 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R16;r2=R22,rxvm=rxbvm
Towers,1737,40940,4.165730,§awfy_towers.towersbenchmark.movedisks(),1488,"lb_6c9:         copy r26,r28",".srcstep 416 416 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 28 416 416 0 ""top"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 26 416 416 0 ""__inline_ret_362_363"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)",r1=R26;r2=R28;r3=R25,rxvm=rxbvm
Towers,1740,40940,4.165730,§awfy_towers.towersbenchmark.movedisks(),1494,"copy r25,r26",".srcstep 418 418 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 26 418 418 0 ""__inline_ret_362_363"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 25 418 418 0 ""disk"" """"","COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)",r1=R25;r2=R26;r3=R35;c1=int:256,rxvm=rxbvm
