rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,278800,1,1,7,over_3_symbols,"BCF_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | COPY_REG_REG(r4,r5)","c1=label@90;r1=R7;r2=R9;r3=R4;c2=int:0;r4=R6;r5=R10","objectarrayappend",68
91,10,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r3) | LINKATTR1_REG_REG_INT(r6,r5,c1)","r1=R25;r2=R9;r3=R1;r4=R6;r5=R23;r6=R22;c1=int:1","benchmark_awfy_storage_opt",465
92,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IADD_REG_REG_INT(r4,r3,c1) | UNLINK_REG(r3)","r1=R9;r2=R25;r3=R4;c1=int:1;r4=R10","benchmark_awfy_storage_opt",328
93,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R23;r2=R1;r3=R22;c1=int:1;r4=R21","benchmark_awfy_storage_opt",471
94,10,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | ICOPY_REG_REG(r4,r3)","r1=R0;r2=R3;r3=R4;c1=int:0;r4=R5;r5=R25;c2=int:1","benchmark_awfy_storage_opt",313
95,10,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | IGT_REG_REG_REG(r5,r3,r4)","r1=R7;r2=R11;r3=R5;c1=int:1;r4=R4;c2=int:4;r5=R12","benchmark_awfy_storage_opt",368
96,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R5;r2=R6;r3=R7;c1=int:1;c2=int:256;r4=R8","benchmark_awfy_storage_opt",100
97,10,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | COPY_REG_REG(r4,r5) | COPY_REG_REG(r6,r2)","r1=R5;r2=R6;r3=R7;r4=R25;r5=R9;r6=R1","benchmark_awfy_storage_opt",460
98,10,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R10;r2=R5;r3=R6;r4=R7;r5=R25;r6=R9","benchmark_awfy_storage_opt",458
99,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R5;r2=R4;r3=R9;r4=R25;c1=int:1","benchmark_awfy_storage_opt",323
100,10,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r2,c1)","r1=R10;r2=R5;r3=R7;r4=R11;c1=int:1","benchmark_awfy_storage_opt",363
101,10,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@153;r4=R6;c2=int:2;c3=string@56","benchmark_awfy_storage_opt",75
102,10,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R22;r2=R23;c1=int:1;r3=R21;c2=label@485","benchmark_awfy_storage_opt",474
103,10,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | LOAD_REG_INT(r4,c3)","r1=R4;c1=int:4;r2=R12;r3=R5;c2=label@458;r4=R15;c3=int:6","benchmark_awfy_storage_opt",374
104,10,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R5;c2=int:256;r3=R8;r4=R2;c3=func@6640","benchmark_awfy_storage_opt",103
105,10,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | SETATTRS_REG_INT(r1,c2) | SETOBJTYPE_REG_STRING(r1,c3)","c1=int:1;r1=R3;c2=int:2;c3=string@944","benchmark_awfy_storage_opt",291
106,10,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | SETATTRS_REG_INT(r1,c2)","c1=int:1;r1=R3;c2=int:2","benchmark_awfy_storage_opt",289
107,10,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | SETATTRS_REG_INT(r1,c2) | SETOBJTYPE_REG_STRING(r1,c3) | LOAD_REG_INT(r2,c4)","c1=int:1;r1=R3;c2=int:2;c3=string@944;r2=R5;c4=int:74755","benchmark_awfy_storage_opt",293
108,10,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IADD_REG_REG_INT(r5,r4,c1)","r1=R5;r2=R9;r3=R25;r4=R4;c1=int:1;r5=R10","benchmark_awfy_storage_opt",326
109,10,1,1,7,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R4;r2=R0;r3=R3;c1=int:0;r4=R5;r5=R25;c2=int:1","benchmark_awfy_storage_opt",311
110,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R7;r2=R5;r3=R6;c1=int:1;c2=int:256","benchmark_awfy_storage_opt",98
111,10,1,1,7,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R10;r2=R7;r3=R11;r4=R5;c1=int:1;r5=R4;c2=int:4","benchmark_awfy_storage_opt",366
112,10,1,1,5,over_3_symbols,"UNLINK_REG(r1) | SETATTRS_REG_INT(r2,c1) | SETOBJTYPE_REG_STRING(r2,c2) | LOAD_REG_INT(r1,c3)","r1=R5;r2=R11;c1=int:3;c2=string@480;c3=int:0","benchmark_awfy_storage_opt",348
113,1,1,1,4,over_3_symbols,"APPEND_REG_REG(r1,r2) | SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;r2=R2;c1=string@9568;c2=int:0","benchmark_awfy_storage_opt",169
114,1,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | MINATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r2,c2) | STOI_REG(r3)","c1=label@50;r1=R4;r2=R0;c2=int:1;r3=R5","benchmark_awfy_storage_opt",33
115,1,1,1,5,over_3_symbols,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3) | APPEND_REG_REG(r1,r3)","r1=R10;c1=string@8976;r2=R1;c2=string@9136;r3=R2","benchmark_awfy_storage_opt",159
116,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c1,r3)","r1=R5;r2=R4;r3=R1;r4=R10;c1=string@8976","benchmark_awfy_storage_opt",153
117,1,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | SCONCAT_REG_REG_STRING(r3,r3,c2)","r1=R4;r2=R1;r3=R10;c1=string@8976;c2=string@9136","benchmark_awfy_storage_opt",155
118,1,1,1,5,over_3_symbols,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1) | MINATTRS_REG_INT(r2,c2)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@50","benchmark_awfy_storage_opt",25
119,1,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@69","benchmark_awfy_storage_opt",45
120,1,1,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINATTRS_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;c1=int:1;c2=label@50;r2=R0;r3=R5","benchmark_awfy_storage_opt",29
121,1,1,1,3,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1) | SAY_REG(r2) | SAY_STRING(c1)","r1=R2;r2=R10;c1=string@9568","benchmark_awfy_storage_opt",167
122,1,1,1,5,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2) | ITOS_REG(r3)","r1=R1;r2=R10;c1=string@8976;c2=string@9136;r3=R2","benchmark_awfy_storage_opt",157
123,1,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_storage_opt",39
124,1,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c3,r2)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0;c3=label@50","benchmark_awfy_storage_opt",22
125,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2) | SETATTRS_REG_INT(r4,c3)","r1=R4;c1=int:1;r2=R3;r3=R1;c2=label@153;r4=R6;c3=int:2","benchmark_awfy_storage_opt",72
126,1,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4) | BRT_ID_REG(c3,r3)","r1=R2;c1=int:0;r2=R4;c2=int:1;r3=R3;r4=R1;c3=label@153","benchmark_awfy_storage_opt",69
127,1,1,1,4,over_3_symbols,"MINATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | STOI_REG(r2) | ICOPY_REG_REG(r3,r2)","r1=R0;c1=int:1;r2=R5;r3=R1","benchmark_awfy_storage_opt",36
128,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | APPEND_REG_REG(r1,r2) | SAY_REG(r1)","r1=R10;c1=string@9136;r2=R2","benchmark_awfy_storage_opt",163
129,1,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0","benchmark_awfy_storage_opt",6
130,1,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | COPY_REG_REG(r2,r1) | BR_ID(c4)","c1=int:1;c2=label@19;r1=R12;c3=int:512;r2=R0;c4=label@22","benchmark_awfy_storage_opt",8
131,1,1,1,3,candidate,"STOI_REG(r1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_storage_opt",43
