rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
74,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r5,c2)","r1=R25;r2=R26;r3=R24;r4=R23;c1=int:1;r5=R5;c2=int:256","benchmark_awfy_towers_opt",250
75,10,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R5;r2=R6;r3=R7;c1=int:13;r4=R10;c2=int:0;r5=R12;c3=int:-1","benchmark_awfy_towers_opt",105
76,10,1,1,4,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | IGETUNLINK_REG_REG(r3,r2)","r1=R26;r2=R23;c1=int:2;r3=R22","benchmark_awfy_towers_opt",202
77,10,1,1,7,candidate,"ENDLIFE_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | LOAD_REG_INT(r4,c3)","r1=R8;r2=R16;c1=int:0;r3=R5;c2=int:1;r4=R21;c3=int:12","benchmark_awfy_towers_opt",165
78,10,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | LOAD_REG_INT(r4,c2)","r1=R21;r2=R22;c1=int:1;r3=R5;r4=R29;c2=int:12","benchmark_awfy_towers_opt",275
79,10,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | INE_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R9;r2=R31;r3=R2;c1=int:8191;c2=label@343","benchmark_awfy_towers_opt",308
80,10,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@346;r4=R6;c2=int:8;c3=string@8","benchmark_awfy_towers_opt",64
81,10,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r4,c3)","r1=R6;c1=int:1;r2=R7;r3=R5;c2=int:13;r4=R10;c3=int:0","benchmark_awfy_towers_opt",101
82,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | COPY_REG_REG(r3,r1)","r1=R6;c1=int:7;r2=R7;c2=int:0;c3=int:1;r3=R5","benchmark_awfy_towers_opt",94
83,10,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r2,c2)","r1=R6;c1=int:5;r2=R7;c2=int:0;c3=int:7","benchmark_awfy_towers_opt",87
84,10,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3) | LOAD_REG_INT(r3,c2)","r1=R6;c1=int:3;r2=R8;r3=R7;c2=int:0;c3=int:5","benchmark_awfy_towers_opt",80
85,10,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3) | LOAD_REG_INT(r5,c1)","r1=R5;c1=int:1;r2=R21;r3=R29;c2=int:12;r4=R30;c3=int:2;r5=R31","benchmark_awfy_towers_opt",281
86,10,1,1,9,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | LOAD_REG_INT(r4,c3) | LOAD_REG_INT(r5,c4)","r1=R5;c1=int:1;r2=R16;r3=R21;c2=int:12;r4=R22;c3=int:0;r5=R23;c4=int:2","benchmark_awfy_towers_opt",170
87,10,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1)","r1=R23;r2=R5;c1=int:2;r3=R26","benchmark_awfy_towers_opt",198
